distrito,fecha,poblacion
CARABANCHEL,2015-10-01,242881
TETUÁN,2015-10-01,152978
CHAMARTÍN,2015-10-01,142878
TETUÁN,2015-11-01,152876
PUENTE DE VALLECAS,2015-11-01,227667
SALAMANCA,2015-11-01,143760
VILLAVERDE,2015-11-01,141768
CENTRO,2015-11-01,133095
SAN BLAS-CANILLEJAS,2015-11-01,153784
VICÁLVARO,2015-11-01,69944
FUENCARRAL - EL PARDO,2015-11-01,235929
ARGANZUELA,2015-11-01,151757
CHAMBERÍ,2015-11-01,138037
MONCLOA - ARAVACA,2015-11-01,117079
LATINA,2015-11-01,234829
MORATALAZ,2015-11-01,94859
HORTALEZA,2015-11-01,177938
BARAJAS,2015-11-01,46340
RETIRO,2015-11-01,118649
USERA,2015-11-01,134374
CARABANCHEL,2015-11-01,242638
CIUDAD LINEAL,2015-11-01,213012
CHAMARTÍN,2015-11-01,142950
VILLA DE VALLECAS,2015-11-01,102111
CHAMBERÍ,2015-12-01,138053
PUENTE DE VALLECAS,2015-12-01,227852
RETIRO,2015-12-01,118831
SALAMANCA,2015-12-01,143719
CENTRO,2015-12-01,133133
USERA,2015-12-01,134400
SAN BLAS-CANILLEJAS,2015-12-01,153856
VICÁLVARO,2015-12-01,69958
CIUDAD LINEAL,2015-12-01,213048
FUENCARRAL - EL PARDO,2015-12-01,236059
VILLAVERDE,2015-12-01,141855
ARGANZUELA,2015-12-01,151901
HORTALEZA,2015-12-01,178130
CARABANCHEL,2015-12-01,242743
MONCLOA - ARAVACA,2015-12-01,117035
VILLA DE VALLECAS,2015-12-01,102296
TETUÁN,2015-12-01,153076
BARAJAS,2015-12-01,46373
LATINA,2015-12-01,234683
CHAMARTÍN,2015-12-01,143069
MORATALAZ,2015-12-01,94875
LATINA,2016-01-01,234975
VILLAVERDE,2016-01-01,142163
BARAJAS,2016-01-01,46530
TETUÁN,2016-01-01,153463
USERA,2016-01-01,134736
CIUDAD LINEAL,2016-01-01,213448
SALAMANCA,2016-01-01,144050
SAN BLAS-CANILLEJAS,2016-01-01,154017
VICÁLVARO,2016-01-01,70010
VILLA DE VALLECAS,2016-01-01,102742
PUENTE DE VALLECAS,2016-01-01,228283
RETIRO,2016-01-01,118980
HORTALEZA,2016-01-01,178682
MONCLOA - ARAVACA,2016-01-01,117207
ARGANZUELA,2016-01-01,152313
MORATALAZ,2016-01-01,95029
CENTRO,2016-01-01,133342
FUENCARRAL - EL PARDO,2016-01-01,236518
CHAMARTÍN,2016-01-01,143376
CARABANCHEL,2016-01-01,243321
CHAMBERÍ,2016-01-01,138212
LATINA,2016-02-01,234479
CIUDAD LINEAL,2016-02-01,212901
CHAMBERÍ,2016-02-01,137845
MORATALAZ,2016-02-01,94698
RETIRO,2016-02-01,118892
CARABANCHEL,2016-02-01,242997
HORTALEZA,2016-02-01,178692
MONCLOA - ARAVACA,2016-02-01,116889
VILLA DE VALLECAS,2016-02-01,102692
ARGANZUELA,2016-02-01,152034
BARAJAS,2016-02-01,46536
VILLAVERDE,2016-02-01,141880
TETUÁN,2016-02-01,153113
SAN BLAS-CANILLEJAS,2016-02-01,153859
SALAMANCA,2016-02-01,143728
VICÁLVARO,2016-02-01,69862
CHAMARTÍN,2016-02-01,142998
PUENTE DE VALLECAS,2016-02-01,227661
USERA,2016-02-01,134425
FUENCARRAL - EL PARDO,2016-02-01,236299
CENTRO,2016-02-01,132684
PUENTE DE VALLECAS,2016-03-01,228073
LATINA,2016-03-01,234801
SALAMANCA,2016-03-01,143944
USERA,2016-03-01,134689
VILLA DE VALLECAS,2016-03-01,103024
CENTRO,2016-03-01,132819
FUENCARRAL - EL PARDO,2016-03-01,236889
HORTALEZA,2016-03-01,179180
CARABANCHEL,2016-03-01,243504
RETIRO,2016-03-01,119034
VICÁLVARO,2016-03-01,69973
CIUDAD LINEAL,2016-03-01,213183
CHAMARTÍN,2016-03-01,143201
BARAJAS,2016-03-01,46667
CHAMBERÍ,2016-03-01,137898
SAN BLAS-CANILLEJAS,2016-03-01,154115
ARGANZUELA,2016-03-01,152302
TETUÁN,2016-03-01,153620
MONCLOA - ARAVACA,2016-03-01,117045
MORATALAZ,2016-03-01,94831
VILLAVERDE,2016-03-01,142373
MORATALAZ,2016-04-01,94977
VILLAVERDE,2016-04-01,142699
FUENCARRAL - EL PARDO,2016-04-01,237643
HORTALEZA,2016-04-01,179742
SALAMANCA,2016-04-01,144347
CARABANCHEL,2016-04-01,244213
USERA,2016-04-01,135224
SAN BLAS-CANILLEJAS,2016-04-01,154496
CHAMARTÍN,2016-04-01,143540
CENTRO,2016-04-01,133203
LATINA,2016-04-01,235262
VICÁLVARO,2016-04-01,70098
VILLA DE VALLECAS,2016-04-01,103313
MONCLOA - ARAVACA,2016-04-01,117284
PUENTE DE VALLECAS,2016-04-01,228659
BARAJAS,2016-04-01,46846
CHAMBERÍ,2016-04-01,138299
TETUÁN,2016-04-01,154099
CIUDAD LINEAL,2016-04-01,213671
ARGANZUELA,2016-04-01,152599
RETIRO,2016-04-01,119210
ARGANZUELA,2016-05-01,152181
SALAMANCA,2016-05-01,143709
HORTALEZA,2016-05-01,179536
BARAJAS,2016-05-01,46716
CARABANCHEL,2016-05-01,243531
CENTRO,2016-05-01,132364
LATINA,2016-05-01,234547
MONCLOA - ARAVACA,2016-05-01,117024
TETUÁN,2016-05-01,153648
FUENCARRAL - EL PARDO,2016-05-01,237457
VILLA DE VALLECAS,2016-05-01,103232
CIUDAD LINEAL,2016-05-01,212941
CHAMARTÍN,2016-05-01,143008
RETIRO,2016-05-01,118922
MORATALAZ,2016-05-01,94726
VILLAVERDE,2016-05-01,142348
PUENTE DE VALLECAS,2016-05-01,227844
CHAMBERÍ,2016-05-01,137650
SAN BLAS-CANILLEJAS,2016-05-01,154183
VICÁLVARO,2016-05-01,70115
USERA,2016-05-01,134893
CHAMBERÍ,2016-06-01,137717
VILLA DE VALLECAS,2016-06-01,103640
VICÁLVARO,2016-06-01,70163
PUENTE DE VALLECAS,2016-06-01,228156
BARAJAS,2016-06-01,46798
MORATALAZ,2016-06-01,94736
ARGANZUELA,2016-06-01,152304
FUENCARRAL - EL PARDO,2016-06-01,238005
TETUÁN,2016-06-01,154029
CIUDAD LINEAL,2016-06-01,213319
VILLAVERDE,2016-06-01,142716
SAN BLAS-CANILLEJAS,2016-06-01,154385
CARABANCHEL,2016-06-01,244112
RETIRO,2016-06-01,118982
USERA,2016-06-01,135202
SALAMANCA,2016-06-01,143844
CENTRO,2016-06-01,132477
HORTALEZA,2016-06-01,179805
LATINA,2016-06-01,234961
CHAMARTÍN,2016-06-01,143206
MONCLOA - ARAVACA,2016-06-01,117134
CENTRO,2016-07-01,131864
USERA,2016-07-01,134814
PUENTE DE VALLECAS,2016-07-01,227679
SALAMANCA,2016-07-01,143432
SAN BLAS-CANILLEJAS,2016-07-01,154206
VILLA DE VALLECAS,2016-07-01,103572
ARGANZUELA,2016-07-01,152111
MORATALAZ,2016-07-01,94573
BARAJAS,2016-07-01,46771
CARABANCHEL,2016-07-01,243586
RETIRO,2016-07-01,118793
MONCLOA - ARAVACA,2016-07-01,116928
VILLAVERDE,2016-07-01,142304
LATINA,2016-07-01,234509
CIUDAD LINEAL,2016-07-01,213027
HORTALEZA,2016-07-01,179675
VICÁLVARO,2016-07-01,70104
FUENCARRAL - EL PARDO,2016-07-01,237973
CHAMBERÍ,2016-07-01,137509
TETUÁN,2016-07-01,153682
CHAMARTÍN,2016-07-01,142981
USERA,2016-08-01,135021
CHAMARTÍN,2016-08-01,143280
CENTRO,2016-08-01,132300
VILLAVERDE,2016-08-01,142569
RETIRO,2016-08-01,118808
SAN BLAS-CANILLEJAS,2016-08-01,154360
BARAJAS,2016-08-01,46860
CIUDAD LINEAL,2016-08-01,213256
CARABANCHEL,2016-08-01,243904
PUENTE DE VALLECAS,2016-08-01,228047
MONCLOA - ARAVACA,2016-08-01,117036
LATINA,2016-08-01,234774
SALAMANCA,2016-08-01,143684
VILLA DE VALLECAS,2016-08-01,103828
ARGANZUELA,2016-08-01,152225
HORTALEZA,2016-08-01,180054
MORATALAZ,2016-08-01,94641
FUENCARRAL - EL PARDO,2016-08-01,238368
TETUÁN,2016-08-01,153958
VICÁLVARO,2016-08-01,70170
CHAMBERÍ,2016-08-01,137630
VICÁLVARO,2016-09-01,69975
RETIRO,2016-09-01,118660
PUENTE DE VALLECAS,2016-09-01,227532
CENTRO,2016-09-01,131802
CARABANCHEL,2016-09-01,243158
MONCLOA - ARAVACA,2016-09-01,116849
ARGANZUELA,2016-09-01,151815
FUENCARRAL - EL PARDO,2016-09-01,238410
CHAMBERÍ,2016-09-01,137388
HORTALEZA,2016-09-01,179913
SAN BLAS-CANILLEJAS,2016-09-01,154310
USERA,2016-09-01,134506
MORATALAZ,2016-09-01,94403
SALAMANCA,2016-09-01,143586
CHAMARTÍN,2016-09-01,143230
VILLAVERDE,2016-09-01,142334
BARAJAS,2016-09-01,46850
TETUÁN,2016-09-01,153352
CIUDAD LINEAL,2016-09-01,212783
VILLA DE VALLECAS,2016-09-01,103916
LATINA,2016-09-01,234067
VILLA DE VALLECAS,2016-10-01,104210
SALAMANCA,2016-10-01,144084
ARGANZUELA,2016-10-01,152120
BARAJAS,2016-10-01,46934
TETUÁN,2016-10-01,153689
FUENCARRAL - EL PARDO,2016-10-01,238722
MONCLOA - ARAVACA,2016-10-01,117220
USERA,2016-10-01,134899
CIUDAD LINEAL,2016-10-01,212970
CARABANCHEL,2016-10-01,243864
CHAMBERÍ,2016-10-01,137602
RETIRO,2016-10-01,118834
VILLAVERDE,2016-10-01,142674
CHAMARTÍN,2016-10-01,143575
MORATALAZ,2016-10-01,94475
VICÁLVARO,2016-10-01,70076
LATINA,2016-10-01,234421
CENTRO,2016-10-01,132311
HORTALEZA,2016-10-01,180386
SAN BLAS-CANILLEJAS,2016-10-01,154541
PUENTE DE VALLECAS,2016-10-01,227954
TETUÁN,2016-11-01,154268
FUENCARRAL - EL PARDO,2016-11-01,239266
HORTALEZA,2016-11-01,180795
CHAMBERÍ,2016-11-01,137956
PUENTE DE VALLECAS,2016-11-01,228477
RETIRO,2016-11-01,118999
VILLAVERDE,2016-11-01,143079
BARAJAS,2016-11-01,47034
CHAMARTÍN,2016-11-01,143838
CARABANCHEL,2016-11-01,244781
LATINA,2016-11-01,234766
VILLA DE VALLECAS,2016-11-01,104510
MORATALAZ,2016-11-01,94551
CIUDAD LINEAL,2016-11-01,213364
SALAMANCA,2016-11-01,144390
MONCLOA - ARAVACA,2016-11-01,117485
ARGANZUELA,2016-11-01,152449
SAN BLAS-CANILLEJAS,2016-11-01,154925
VICÁLVARO,2016-11-01,70201
CENTRO,2016-11-01,132651
USERA,2016-11-01,135349
HORTALEZA,2016-12-01,180879
CARABANCHEL,2016-12-01,244709
MONCLOA - ARAVACA,2016-12-01,117310
TETUÁN,2016-12-01,154222
CIUDAD LINEAL,2016-12-01,213133
VILLA DE VALLECAS,2016-12-01,104565
LATINA,2016-12-01,234486
USERA,2016-12-01,135189
FUENCARRAL - EL PARDO,2016-12-01,239225
CENTRO,2016-12-01,132422
VICÁLVARO,2016-12-01,70203
ARGANZUELA,2016-12-01,152337
SAN BLAS-CANILLEJAS,2016-12-01,154782
SALAMANCA,2016-12-01,144249
MORATALAZ,2016-12-01,94495
CHAMBERÍ,2016-12-01,137943
BARAJAS,2016-12-01,47000
VILLAVERDE,2016-12-01,143059
RETIRO,2016-12-01,118844
PUENTE DE VALLECAS,2016-12-01,228249
CHAMARTÍN,2016-12-01,143816
CHAMARTÍN,2017-01-01,143938
RETIRO,2017-01-01,118848
VILLAVERDE,2017-01-01,143253
VILLA DE VALLECAS,2017-01-01,104780
SAN BLAS-CANILLEJAS,2017-01-01,155063
CARABANCHEL,2017-01-01,244976
MORATALAZ,2017-01-01,94432
MONCLOA - ARAVACA,2017-01-01,117137
TETUÁN,2017-01-01,154346
VICÁLVARO,2017-01-01,70251
BARAJAS,2017-01-01,47030
PUENTE DE VALLECAS,2017-01-01,228372
FUENCARRAL - EL PARDO,2017-01-01,239531
SALAMANCA,2017-01-01,144197
USERA,2017-01-01,135366
CHAMBERÍ,2017-01-01,137869
ARGANZUELA,2017-01-01,152357
CIUDAD LINEAL,2017-01-01,213168
HORTALEZA,2017-01-01,181234
CENTRO,2017-01-01,132178
LATINA,2017-01-01,234480
HORTALEZA,2017-02-01,181476
SAN BLAS-CANILLEJAS,2017-02-01,155323
SALAMANCA,2017-02-01,144451
MORATALAZ,2017-02-01,94426
LATINA,2017-02-01,234936
CHAMARTÍN,2017-02-01,144154
BARAJAS,2017-02-01,47136
CENTRO,2017-02-01,132536
CHAMBERÍ,2017-02-01,138016
VICÁLVARO,2017-02-01,70344
MONCLOA - ARAVACA,2017-02-01,117256
ARGANZUELA,2017-02-01,152645
PUENTE DE VALLECAS,2017-02-01,228713
USERA,2017-02-01,135730
RETIRO,2017-02-01,118911
FUENCARRAL - EL PARDO,2017-02-01,240089
VILLA DE VALLECAS,2017-02-01,105033
VILLAVERDE,2017-02-01,143585
CIUDAD LINEAL,2017-02-01,213481
TETUÁN,2017-02-01,154785
CARABANCHEL,2017-02-01,245506
PUENTE DE VALLECAS,2017-03-01,228270
CARABANCHEL,2017-03-01,245211
VILLAVERDE,2017-03-01,143471
MONCLOA - ARAVACA,2017-03-01,117047
MORATALAZ,2017-03-01,94413
LATINA,2017-03-01,234696
BARAJAS,2017-03-01,47184
HORTALEZA,2017-03-01,181312
VILLA DE VALLECAS,2017-03-01,105099
ARGANZUELA,2017-03-01,152174
VICÁLVARO,2017-03-01,70354
CHAMARTÍN,2017-03-01,143962
SALAMANCA,2017-03-01,143955
CENTRO,2017-03-01,131752
FUENCARRAL - EL PARDO,2017-03-01,240036
CHAMBERÍ,2017-03-01,137638
TETUÁN,2017-03-01,154394
USERA,2017-03-01,135457
RETIRO,2017-03-01,118599
CIUDAD LINEAL,2017-03-01,213223
SAN BLAS-CANILLEJAS,2017-03-01,155249
TETUÁN,2017-04-01,154345
PUENTE DE VALLECAS,2017-04-01,228274
CENTRO,2017-04-01,131566
MORATALAZ,2017-04-01,94380
SAN BLAS-CANILLEJAS,2017-04-01,155366
VILLAVERDE,2017-04-01,143682
HORTALEZA,2017-04-01,181645
USERA,2017-04-01,135658
VICÁLVARO,2017-04-01,70451
MONCLOA - ARAVACA,2017-04-01,117073
CARABANCHEL,2017-04-01,245361
VILLA DE VALLECAS,2017-04-01,105518
FUENCARRAL - EL PARDO,2017-04-01,240569
LATINA,2017-04-01,234679
CHAMARTÍN,2017-04-01,144043
BARAJAS,2017-04-01,47305
SALAMANCA,2017-04-01,143920
CIUDAD LINEAL,2017-04-01,213416
ARGANZUELA,2017-04-01,152195
CHAMBERÍ,2017-04-01,137640
RETIRO,2017-04-01,118618
FUENCARRAL - EL PARDO,2017-05-01,240994
CENTRO,2017-05-01,131745
ARGANZUELA,2017-05-01,152438
MORATALAZ,2017-05-01,94419
VILLAVERDE,2017-05-01,144166
PUENTE DE VALLECAS,2017-05-01,228916
CHAMARTÍN,2017-05-01,144276
USERA,2017-05-01,136021
VILLA DE VALLECAS,2017-05-01,105996
LATINA,2017-05-01,234994
BARAJAS,2017-05-01,47461
SALAMANCA,2017-05-01,144147
CIUDAD LINEAL,2017-05-01,213921
HORTALEZA,2017-05-01,182176
SAN BLAS-CANILLEJAS,2017-05-01,155624
TETUÁN,2017-05-01,154838
CARABANCHEL,2017-05-01,246175
MONCLOA - ARAVACA,2017-05-01,117213
CHAMBERÍ,2017-05-01,137820
RETIRO,2017-05-01,118691
VICÁLVARO,2017-05-01,70649
TETUÁN,2017-06-01,155181
VILLAVERDE,2017-06-01,144529
SALAMANCA,2017-06-01,144424
CARABANCHEL,2017-06-01,246800
PUENTE DE VALLECAS,2017-06-01,229366
CENTRO,2017-06-01,131898
HORTALEZA,2017-06-01,182358
RETIRO,2017-06-01,118757
LATINA,2017-06-01,235277
BARAJAS,2017-06-01,47586
VICÁLVARO,2017-06-01,70711
CHAMARTÍN,2017-06-01,144466
MORATALAZ,2017-06-01,94468
SAN BLAS-CANILLEJAS,2017-06-01,155842
VILLA DE VALLECAS,2017-06-01,106331
MONCLOA - ARAVACA,2017-06-01,117362
FUENCARRAL - EL PARDO,2017-06-01,241384
CHAMBERÍ,2017-06-01,137958
ARGANZUELA,2017-06-01,152588
USERA,2017-06-01,136287
CIUDAD LINEAL,2017-06-01,214273
CHAMBERÍ,2017-07-01,137779
TETUÁN,2017-07-01,154913
CENTRO,2017-07-01,131497
LATINA,2017-07-01,235095
PUENTE DE VALLECAS,2017-07-01,229066
BARAJAS,2017-07-01,47590
CARABANCHEL,2017-07-01,246516
MONCLOA - ARAVACA,2017-07-01,117236
CHAMARTÍN,2017-07-01,144322
USERA,2017-07-01,136134
VILLA DE VALLECAS,2017-07-01,106544
VILLAVERDE,2017-07-01,144495
MORATALAZ,2017-07-01,94436
SAN BLAS-CANILLEJAS,2017-07-01,155720
SALAMANCA,2017-07-01,143931
HORTALEZA,2017-07-01,182437
CIUDAD LINEAL,2017-07-01,214257
ARGANZUELA,2017-07-01,152540
RETIRO,2017-07-01,118643
FUENCARRAL - EL PARDO,2017-07-01,241528
VICÁLVARO,2017-07-01,70711
LATINA,2017-08-01,235208
TETUÁN,2017-08-01,155135
RETIRO,2017-08-01,118774
VILLAVERDE,2017-08-01,144855
CHAMARTÍN,2017-08-01,144510
VICÁLVARO,2017-08-01,70820
MORATALAZ,2017-08-01,94530
USERA,2017-08-01,136361
FUENCARRAL - EL PARDO,2017-08-01,241854
ARGANZUELA,2017-08-01,152491
CIUDAD LINEAL,2017-08-01,214479
VILLA DE VALLECAS,2017-08-01,106854
CHAMBERÍ,2017-08-01,137950
MONCLOA - ARAVACA,2017-08-01,117357
SAN BLAS-CANILLEJAS,2017-08-01,155840
CENTRO,2017-08-01,131467
HORTALEZA,2017-08-01,182778
SALAMANCA,2017-08-01,144184
CARABANCHEL,2017-08-01,246992
BARAJAS,2017-08-01,47624
PUENTE DE VALLECAS,2017-08-01,229431
CENTRO,2017-09-01,132035
BARAJAS,2017-09-01,47760
USERA,2017-09-01,136831
VILLA DE VALLECAS,2017-09-01,107186
SALAMANCA,2017-09-01,144751
ARGANZUELA,2017-09-01,152732
CARABANCHEL,2017-09-01,247557
CIUDAD LINEAL,2017-09-01,214758
VICÁLVARO,2017-09-01,70956
FUENCARRAL - EL PARDO,2017-09-01,242455
MORATALAZ,2017-09-01,94646
PUENTE DE VALLECAS,2017-09-01,230101
CHAMBERÍ,2017-09-01,138250
HORTALEZA,2017-09-01,183276
CHAMARTÍN,2017-09-01,144950
SAN BLAS-CANILLEJAS,2017-09-01,156251
LATINA,2017-09-01,235682
RETIRO,2017-09-01,118965
TETUÁN,2017-09-01,155566
MONCLOA - ARAVACA,2017-09-01,117667
VILLAVERDE,2017-09-01,145357
MORATALAZ,2017-10-01,94634
SALAMANCA,2017-10-01,145421
BARAJAS,2017-10-01,47760
LATINA,2017-10-01,236119
MONCLOA - ARAVACA,2017-10-01,118055
CIUDAD LINEAL,2017-10-01,215259
VICÁLVARO,2017-10-01,71109
CHAMARTÍN,2017-10-01,145241
VILLA DE VALLECAS,2017-10-01,107554
PUENTE DE VALLECAS,2017-10-01,230837
CARABANCHEL,2017-10-01,248398
ARGANZUELA,2017-10-01,153160
CENTRO,2017-10-01,132744
TETUÁN,2017-10-01,156235
HORTALEZA,2017-10-01,183663
RETIRO,2017-10-01,119209
VILLAVERDE,2017-10-01,145791
FUENCARRAL - EL PARDO,2017-10-01,243157
CHAMBERÍ,2017-10-01,138697
SAN BLAS-CANILLEJAS,2017-10-01,156569
USERA,2017-10-01,137158
CHAMBERÍ,2017-11-01,138668
VICÁLVARO,2017-11-01,71097
FUENCARRAL - EL PARDO,2017-11-01,243261
HORTALEZA,2017-11-01,183876
SAN BLAS-CANILLEJAS,2017-11-01,156407
ARGANZUELA,2017-11-01,153040
VILLAVERDE,2017-11-01,145792
RETIRO,2017-11-01,119198
SALAMANCA,2017-11-01,145564
CIUDAD LINEAL,2017-11-01,214973
PUENTE DE VALLECAS,2017-11-01,230804
BARAJAS,2017-11-01,47861
USERA,2017-11-01,137074
MORATALAZ,2017-11-01,94561
MONCLOA - ARAVACA,2017-11-01,118194
CARABANCHEL,2017-11-01,248431
CENTRO,2017-11-01,132619
TETUÁN,2017-11-01,156215
VILLA DE VALLECAS,2017-11-01,107615
CHAMARTÍN,2017-11-01,145209
LATINA,2017-11-01,236049
MONCLOA - ARAVACA,2017-12-01,118223
SAN BLAS-CANILLEJAS,2017-12-01,156635
CHAMBERÍ,2017-12-01,138842
CHAMARTÍN,2017-12-01,145344
LATINA,2017-12-01,236452
TETUÁN,2017-12-01,156470
ARGANZUELA,2017-12-01,153347
VILLAVERDE,2017-12-01,145993
MORATALAZ,2017-12-01,94521
CIUDAD LINEAL,2017-12-01,215100
SALAMANCA,2017-12-01,145692
CENTRO,2017-12-01,132781
FUENCARRAL - EL PARDO,2017-12-01,243552
HORTALEZA,2017-12-01,184334
BARAJAS,2017-12-01,47919
USERA,2017-12-01,137412
VILLA DE VALLECAS,2017-12-01,107860
VICÁLVARO,2017-12-01,71120
RETIRO,2017-12-01,119349
PUENTE DE VALLECAS,2017-12-01,231175
CARABANCHEL,2017-12-01,248941
CARABANCHEL,2018-01-01,249478
VILLA DE VALLECAS,2018-01-01,108127
FUENCARRAL - EL PARDO,2018-01-01,244130
RETIRO,2018-01-01,119514
VILLAVERDE,2018-01-01,146218
USERA,2018-01-01,137611
HORTALEZA,2018-01-01,184856
LATINA,2018-01-01,236916
CENTRO,2018-01-01,132808
MORATALAZ,2018-01-01,94570
CHAMBERÍ,2018-01-01,139056
CHAMARTÍN,2018-01-01,145564
CIUDAD LINEAL,2018-01-01,215392
PUENTE DE VALLECAS,2018-01-01,231524
TETUÁN,2018-01-01,156665
MONCLOA - ARAVACA,2018-01-01,118431
VICÁLVARO,2018-01-01,71230
SAN BLAS-CANILLEJAS,2018-01-01,156983
ARGANZUELA,2018-01-01,153438
BARAJAS,2018-01-01,48078
SALAMANCA,2018-01-01,145815
RETIRO,2018-02-01,119516
USERA,2018-02-01,137951
PUENTE DE VALLECAS,2018-02-01,232104
TETUÁN,2018-02-01,156869
SAN BLAS-CANILLEJAS,2018-02-01,157219
CHAMBERÍ,2018-02-01,139112
VILLA DE VALLECAS,2018-02-01,108354
CHAMARTÍN,2018-02-01,145564
CENTRO,2018-02-01,132888
FUENCARRAL - EL PARDO,2018-02-01,244467
MORATALAZ,2018-02-01,94648
BARAJAS,2018-02-01,48196
CARABANCHEL,2018-02-01,249943
HORTALEZA,2018-02-01,185151
CIUDAD LINEAL,2018-02-01,215563
LATINA,2018-02-01,237110
ARGANZUELA,2018-02-01,153531
VILLAVERDE,2018-02-01,146831
SALAMANCA,2018-02-01,145893
VICÁLVARO,2018-02-01,71305
MONCLOA - ARAVACA,2018-02-01,118501
SALAMANCA,2018-03-01,145471
RETIRO,2018-03-01,119375
VILLA DE VALLECAS,2018-03-01,108506
TETUÁN,2018-03-01,156596
ARGANZUELA,2018-03-01,153340
CENTRO,2018-03-01,132284
CIUDAD LINEAL,2018-03-01,215520
PUENTE DE VALLECAS,2018-03-01,231815
MONCLOA - ARAVACA,2018-03-01,118395
CHAMARTÍN,2018-03-01,145380
MORATALAZ,2018-03-01,94631
BARAJAS,2018-03-01,48311
FUENCARRAL - EL PARDO,2018-03-01,244477
VICÁLVARO,2018-03-01,71262
CHAMBERÍ,2018-03-01,138877
VILLAVERDE,2018-03-01,146864
USERA,2018-03-01,137838
LATINA,2018-03-01,236798
HORTALEZA,2018-03-01,185275
CARABANCHEL,2018-03-01,249673
SAN BLAS-CANILLEJAS,2018-03-01,157159
FUENCARRAL - EL PARDO,2018-04-01,244943
PUENTE DE VALLECAS,2018-04-01,232763
VILLAVERDE,2018-04-01,147453
HORTALEZA,2018-04-01,185902
CIUDAD LINEAL,2018-04-01,215892
USERA,2018-04-01,138325
MORATALAZ,2018-04-01,94781
TETUÁN,2018-04-01,156940
RETIRO,2018-04-01,119455
CHAMARTÍN,2018-04-01,145628
SAN BLAS-CANILLEJAS,2018-04-01,157715
MONCLOA - ARAVACA,2018-04-01,118598
SALAMANCA,2018-04-01,145678
CHAMBERÍ,2018-04-01,139075
ARGANZUELA,2018-04-01,153707
VILLA DE VALLECAS,2018-04-01,108898
CENTRO,2018-04-01,132530
CARABANCHEL,2018-04-01,250607
LATINA,2018-04-01,237374
BARAJAS,2018-04-01,48482
VICÁLVARO,2018-04-01,71469
MONCLOA - ARAVACA,2018-05-01,118605
FUENCARRAL - EL PARDO,2018-05-01,244883
CARABANCHEL,2018-05-01,250552
CHAMBERÍ,2018-05-01,138881
SAN BLAS-CANILLEJAS,2018-05-01,157600
RETIRO,2018-05-01,119333
VICÁLVARO,2018-05-01,71487
ARGANZUELA,2018-05-01,153425
PUENTE DE VALLECAS,2018-05-01,232826
MORATALAZ,2018-05-01,94809
VILLA DE VALLECAS,2018-05-01,109036
USERA,2018-05-01,138366
VILLAVERDE,2018-05-01,147468
HORTALEZA,2018-05-01,186031
TETUÁN,2018-05-01,156734
LATINA,2018-05-01,237207
SALAMANCA,2018-05-01,145470
CHAMARTÍN,2018-05-01,145570
CIUDAD LINEAL,2018-05-01,215859
CENTRO,2018-05-01,132190
BARAJAS,2018-05-01,48546
CHAMBERÍ,2018-06-01,138713
CENTRO,2018-06-01,131884
MONCLOA - ARAVACA,2018-06-01,118692
SAN BLAS-CANILLEJAS,2018-06-01,157541
ARGANZUELA,2018-06-01,153415
VILLA DE VALLECAS,2018-06-01,109159
LATINA,2018-06-01,237083
USERA,2018-06-01,138504
CARABANCHEL,2018-06-01,250671
CHAMARTÍN,2018-06-01,145430
TETUÁN,2018-06-01,156703
VICÁLVARO,2018-06-01,71417
CIUDAD LINEAL,2018-06-01,215684
VILLAVERDE,2018-06-01,147566
HORTALEZA,2018-06-01,186096
SALAMANCA,2018-06-01,145304
FUENCARRAL - EL PARDO,2018-06-01,244993
PUENTE DE VALLECAS,2018-06-01,232904
RETIRO,2018-06-01,119261
MORATALAZ,2018-06-01,94686
BARAJAS,2018-06-01,48497
CARABANCHEL,2018-07-01,251087
VICÁLVARO,2018-07-01,71448
BARAJAS,2018-07-01,48611
SALAMANCA,2018-07-01,145428
CIUDAD LINEAL,2018-07-01,215909
VILLA DE VALLECAS,2018-07-01,109385
LATINA,2018-07-01,237342
ARGANZUELA,2018-07-01,153518
MORATALAZ,2018-07-01,94690
VILLAVERDE,2018-07-01,147798
HORTALEZA,2018-07-01,186457
PUENTE DE VALLECAS,2018-07-01,233380
FUENCARRAL - EL PARDO,2018-07-01,245505
RETIRO,2018-07-01,119213
TETUÁN,2018-07-01,156969
CHAMARTÍN,2018-07-01,145564
MONCLOA - ARAVACA,2018-07-01,118761
CENTRO,2018-07-01,131964
SAN BLAS-CANILLEJAS,2018-07-01,157805
CHAMBERÍ,2018-07-01,138837
USERA,2018-07-01,138635
TETUÁN,2018-08-01,157186
MORATALAZ,2018-08-01,94698
RETIRO,2018-08-01,119287
SAN BLAS-CANILLEJAS,2018-08-01,157971
PUENTE DE VALLECAS,2018-08-01,233797
USERA,2018-08-01,138890
SALAMANCA,2018-08-01,145630
VILLAVERDE,2018-08-01,148071
VICÁLVARO,2018-08-01,71673
VILLA DE VALLECAS,2018-08-01,109710
MONCLOA - ARAVACA,2018-08-01,118748
CARABANCHEL,2018-08-01,251748
CHAMARTÍN,2018-08-01,145615
FUENCARRAL - EL PARDO,2018-08-01,245705
LATINA,2018-08-01,237630
CHAMBERÍ,2018-08-01,138922
BARAJAS,2018-08-01,48699
HORTALEZA,2018-08-01,186928
