"fecha","distrito","poblacion"
2013-07-01,"PUENTE DE VALLECAS","230.296"
2013-07-01,"RETIRO","119.423"
2013-07-01,"SALAMANCA","143.949"
2013-07-01,"SAN BLAS-CANILLEJAS","154.401"
2013-07-01,"TETUÁN","153.087"
2013-07-01,"USERA","134.517"
2013-07-01,"VICÁLVARO"," 69.872"
2013-07-01,"VILLA DE VALLECAS"," 98.291"
2013-07-01,"VILLAVERDE","143.073"
2013-08-01,"ARGANZUELA","152.293"
2013-08-01,"BARAJAS"," 45.858"
2013-08-01,"CARABANCHEL","244.244"
2013-08-01,"CENTRO","135.148"
2013-08-01,"CHAMARTÍN","143.357"
2013-08-01,"CHAMBERÍ","139.326"
2013-08-01,"CIUDAD LINEAL","216.116"
2013-08-01,"FUENCARRAL - EL PARDO","233.171"
2013-08-01,"HORTALEZA","173.195"
2013-08-01,"LATINA","240.256"
2013-08-01,"MONCLOA - ARAVACA","116.083"
2013-08-01,"MORATALAZ"," 96.842"
2013-08-01,"PUENTE DE VALLECAS","230.409"
2013-08-01,"RETIRO","119.258"
2013-08-01,"SALAMANCA","143.826"
2013-08-01,"SAN BLAS-CANILLEJAS","154.386"
2013-08-01,"TETUÁN","153.226"
2013-08-01,"USERA","134.526"
2013-08-01,"VICÁLVARO"," 69.973"
2013-08-01,"VILLA DE VALLECAS"," 98.459"
2013-08-01,"VILLAVERDE","143.182"
2013-09-01,"ARGANZUELA","152.589"
2013-09-01,"BARAJAS"," 45.894"
2013-09-01,"CARABANCHEL","244.647"
2013-09-01,"CENTRO","135.594"
2013-09-01,"CHAMARTÍN","143.525"
2013-09-01,"CHAMBERÍ","139.614"
2013-09-01,"CIUDAD LINEAL","216.442"
2013-09-01,"FUENCARRAL - EL PARDO","233.620"
2013-09-01,"HORTALEZA","173.594"
2013-09-01,"LATINA","240.417"
2013-09-01,"MONCLOA - ARAVACA","116.361"
2013-09-01,"MORATALAZ"," 96.843"
2013-09-01,"PUENTE DE VALLECAS","230.908"
2013-09-01,"RETIRO","119.395"
2013-09-01,"SALAMANCA","144.068"
2013-09-01,"SAN BLAS-CANILLEJAS","154.560"
2013-09-01,"TETUÁN","153.529"
2013-09-01,"USERA","134.813"
2013-09-01,"VICÁLVARO"," 70.051"
2013-09-01,"VILLA DE VALLECAS"," 98.761"
2013-09-01,"VILLAVERDE","143.396"
2013-10-01,"ARGANZUELA","152.314"
2013-10-01,"BARAJAS"," 45.806"
2013-10-01,"CARABANCHEL","244.292"
2013-10-01,"CENTRO","135.472"
2013-10-01,"CHAMARTÍN","143.301"
2013-10-01,"CHAMBERÍ","139.508"
2013-10-01,"CIUDAD LINEAL","215.902"
2013-10-01,"FUENCARRAL - EL PARDO","233.464"
2013-10-01,"HORTALEZA","173.385"
2013-10-01,"LATINA","239.720"
2013-10-01,"MONCLOA - ARAVACA","116.307"
2013-10-01,"MORATALAZ"," 96.716"
2013-10-01,"PUENTE DE VALLECAS","230.125"
2013-10-01,"RETIRO","119.343"
2013-10-01,"SALAMANCA","144.139"
2013-10-01,"SAN BLAS-CANILLEJAS","154.190"
2013-10-01,"TETUÁN","153.277"
