Fecha;Lugar;Precio_m2;Variacion_mensual;Variacion_trimestral;Variacion anual
abr-17;Carabanchel;9,9;0,9;1,5;10,5
mar-17;Carabanchel;9,8;0,1;3,3;9,8
feb-17;Carabanchel;9,8;0,5;4,7;9,1
ene-17;Carabanchel;9,7;2,7;4,6;9,3
dic-16;Carabanchel;9,5;1,4;2,4;7,2
nov-16;Carabanchel;9,3;0,4;1;5,4
oct-16;Carabanchel;9,3;0,6;1,4;5,2
sept-16;Carabanchel;9,2;0;1,6;4,7
ago-16;Carabanchel;9,2;0,8;3;6
jul-16;Carabanchel;9,2;0,8;2,7;5,6
jun-16;Carabanchel;9,1;1,3;2,1;5,3
may-16;Carabanchel;9;0,6;0,3;4
abr-16;Carabanchel;8,9;0,2;0,3;4
mar-16;Carabanchel;8,9;-0,5;0,9;3,8
feb-16;Carabanchel;8,9;0,6;1,1;4,7
ene-16;Carabanchel;8,9;0,8;0,7;4,4
dic-15;Carabanchel;8,8;-0,3;0;3,8
nov-15;Carabanchel;8,8;0,1;1,5;4,5
oct-15;Carabanchel;8,8;0,1;1,8;4,8
sept-15;Carabanchel;8,8;1,3;2,2;5,9
ago-15;Carabanchel;8,7;0,4;0,9;4,7
jul-15;Carabanchel;8,7;0,5;1,2;4,1
jun-15;Carabanchel;8,6;0;0,6;2,4
may-15;Carabanchel;8,6;0,7;1,1;2,1
abr-15;Carabanchel;8,6;0;0,7;2
mar-15;Carabanchel;8,6;0,4;0,9;1,6
feb-15;Carabanchel;8,5;0,3;0,9;1
ene-15;Carabanchel;8,5;0,1;1;0,2
dic-14;Carabanchel;8,5;0,5;2;-1,3
nov-14;Carabanchel;8,5;0,4;1,8;-3,3
oct-14;Carabanchel;8,4;1,1;1,1;-4,5
sept-14;Carabanchel;8,3;0,2;-1,2;-4,7
ago-14;Carabanchel;8,3;-0,2;-1,6;-4,9
jul-14;Carabanchel;8,3;-1,1;-0,9;-4,6
jun-14;Carabanchel;8,4;-0,3;-0,1;-4,3
may-14;Carabanchel;8,5;0,5;0,1;-4,3
abr-14;Carabanchel;8,4;-0,4;-1;-5,7
mar-14;Carabanchel;8,4;-0,1;-2;-5,4
feb-14;Carabanchel;8,5;-0,5;-3,5;-6,7
ene-14;Carabanchel;8,5;-1,4;-3,8;-6,5
dic-13;Carabanchel;8,6;-1,6;-1,5;-5,2
nov-13;Carabanchel;8,8;-0,8;0,1;-5
oct-13;Carabanchel;8,8;0,9;1;-4,4
sept-13;Carabanchel;8,7;0;-0,6;-5,2
ago-13;Carabanchel;8,7;0,1;-1;-5,8
jul-13;Carabanchel;8,7;-0,7;-1,9;-6,7
jun-13;Carabanchel;8,8;-0,4;-1,3;-7,9
may-13;Carabanchel;8,8;-0,9;-2,5;-7,9
abr-13;Carabanchel;8,9;-0,1;-1,9;-7,6
mar-13;Carabanchel;8,9;-1,5;-1,8;-7,1
feb-13;Carabanchel;9,1;-0,3;-1,7;-7,1
ene-13;Carabanchel;9,1;0;-1,6;-6,8
dic-12;Carabanchel;9,1;-1,4;-1,6;-6,5
nov-12;Carabanchel;9,2;-0,2;-0,8;-4,3
oct-12;Carabanchel;9,2;0;-1,5;-5
sept-12;Carabanchel;9,2;-0,6;-3,4;-5,7
ago-12;Carabanchel;9,3;-0,9;-3,3;-5,1
jul-12;Carabanchel;9,4;-1,9;-2,8;-5,7
jun-12;Carabanchel;9,6;-0,4;-0,4;-4,7
may-12;Carabanchel;9,6;-0,5;-1,6;-4,4
abr-12;Carabanchel;9,6;0,4;-1,1;-4,1
mar-12;Carabanchel;9,6;-1,5;-1,2;-3,6
feb-12;Carabanchel;9,8;0;1,3;-2,5
ene-12;Carabanchel;9,8;0,3;0,4;-5,3
dic-11;Carabanchel;9,7;1;-0,7;-2,8
nov-11;Carabanchel;9,6;-0,9;-1,7;-3,8
oct-11;Carabanchel;9,7;-0,8;-2,3;-2,9
sept-11;Carabanchel;9,8;0;-2,4;-2,1
ago-11;Carabanchel;9,8;-1,5;-2,5;-2,1
jul-11;Carabanchel;9,9;-0,9;-1,2;-1,9
jun-11;Carabanchel;10;-0,1;0,7;0,3
may-11;Carabanchel;10;-0,1;0,4;0,4
abr-11;Carabanchel;10,1;0,9;-2,3;-2,6
mar-11;Carabanchel;10;-0,4;-0,4;-7,5
feb-11;Carabanchel;10;-2,9;0;-1,8
ene-11;Carabanchel;10,3;2,9;2,9;1,6
dic-10;Carabanchel;10;0;0;0
nov-10;Carabanchel;10;0;0;0
oct-10;Carabanchel;10;0;-1,2;0,9
sept-10;Carabanchel;10;0;0;4,6
ago-10;Carabanchel;10;-1,2;0;NA
jul-10;Carabanchel;10,1;1,3;-1,9;NA
jun-10;Carabanchel;10;0;-7,1;NA
may-10;Carabanchel;10;-3,1;-1,8;NA
abr-10;Carabanchel;10,3;-4,1;1,9;NA
mar-10;Carabanchel;10,8;5,8;7,7;NA
feb-10;Carabanchel;10,2;0,4;1,8;NA
ene-10;Carabanchel;10,1;1,4;2,2;NA
dic-09;Carabanchel;10;0;4,6;NA
nov-09;Carabanchel;10;0,9;NA;NA
oct-09;Carabanchel;9,9;3,7;NA;NA
sept-09;Carabanchel;9,6;NA;NA;NA
ago-09;Carabanchel;NA;NA;NA;NA
jul-09;Carabanchel;NA;NA;NA;NA
jun-09;Carabanchel;NA;NA;NA;NA
may-09;Carabanchel;NA;NA;NA;NA
abr-09;Carabanchel;NA;NA;NA;NA
mar-09;Carabanchel;NA;NA;NA;NA
feb-09;Carabanchel;NA;NA;NA;NA
ene-09;Carabanchel;NA;NA;NA;NA
dic-08;Carabanchel;NA;NA;NA;NA
nov-08;Carabanchel;NA;NA;NA;NA
oct-08;Carabanchel;NA;NA;NA;NA
sept-08;Carabanchel;NA;NA;NA;NA
ago-08;Carabanchel;NA;NA;NA;NA
jul-08;Carabanchel;NA;NA;NA;NA
jun-08;Carabanchel;NA;NA;NA;NA
may-08;Carabanchel;NA;NA;NA;NA
abr-08;Carabanchel;NA;NA;NA;NA
mar-08;Carabanchel;NA;NA;NA;NA
feb-08;Carabanchel;NA;NA;NA;NA
ene-08;Carabanchel;NA;NA;NA;NA
dic-07;Carabanchel;NA;NA;NA;NA
nov-07;Carabanchel;NA;NA;NA;NA
oct-07;Carabanchel;NA;NA;NA;NA
sept-07;Carabanchel;NA;NA;NA;NA
ago-07;Carabanchel;NA;NA;NA;NA
jul-07;Carabanchel;NA;NA;NA;NA
jun-07;Carabanchel;NA;NA;NA;NA
may-07;Carabanchel;NA;NA;NA;NA
abr-07;Carabanchel;NA;NA;NA;NA
mar-07;Carabanchel;NA;NA;NA;NA
feb-07;Carabanchel;NA;NA;NA;NA
ene-07;Carabanchel;NA;NA;NA;NA
dic-06;Carabanchel;NA;NA;NA;NA
nov-06;Carabanchel;NA;NA;NA;NA
oct-06;Carabanchel;NA;NA;NA;NA
sept-06;Carabanchel;NA;NA;NA;NA
ago-06;Carabanchel;NA;NA;NA;NA
jul-06;Carabanchel;NA;NA;NA;NA
jun-06;Carabanchel;NA;NA;NA;NA
may-06;Carabanchel;NA;NA;NA;NA
abr-06;Carabanchel;NA;NA;NA;NA
mar-06;Carabanchel;NA;NA;NA;NA
feb-06;Carabanchel;NA;NA;NA;NA
ene-06;Carabanchel;NA;NA;NA;NA
abr-24;Centro;23,6;1;4,3;17,9
mar-24;Centro;23,3;1,1;5,6;16,7
feb-24;Centro;23,1;2,1;5,8;12,8
ene-24;Centro;22,6;2,3;6,7;12,1
dic-23;Centro;22,1;1,3;7,3;13,2
nov-23;Centro;21,8;3,1;7,5;14,3
oct-23;Centro;21,2;2,8;5,9;12,5
sept-23;Centro;20,6;1,4;2,4;10,9
ago-23;Centro;20,3;1,5;0,3;10,7
jul-23;Centro;20;-0,5;0;10,7
jun-23;Centro;20,1;-0,7;0,5;11,8
may-23;Centro;20,2;1,2;-1,1;13,3
abr-23;Centro;20;0;-0,8;12,2
mar-23;Centro;20;-2,3;2,4;12,7
feb-23;Centro;20,5;1,5;7,2;16
ene-23;Centro;20,2;3,2;7,1;16,5
dic-22;Centro;19,5;2,3;5,2;13,9
nov-22;Centro;19,1;1,4;4,1;12,3
oct-22;Centro;18,8;1,3;4,2;11,7
sept-22;Centro;18,6;1,3;3,3;11,6
ago-22;Centro;18,3;1,5;2,6;12,8
jul-22;Centro;18,1;0,5;1,3;12,3
jun-22;Centro;18;0,6;1,3;12,3
may-22;Centro;17,9;0,2;1,2;11,6
abr-22;Centro;17,8;0,5;3;11,4
mar-22;Centro;17,7;0,6;3,5;9,6
feb-22;Centro;17,6;2;3,8;8,6
ene-22;Centro;17,3;1;2,7;6,5
dic-21;Centro;17,1;0,8;3;3,6
nov-21;Centro;17;0,9;4,6;0
oct-21;Centro;16,8;1,3;4,7;-3
sept-21;Centro;16,6;2,4;3,9;-5,9
ago-21;Centro;16,3;1;1,6;-8,7
jul-21;Centro;16,1;0,5;0,6;-10,6
jun-21;Centro;16;0;-1,1;-13,5
may-21;Centro;16;0;-1,5;-16,8
abr-21;Centro;16;-1,2;-1,5;-16,4
mar-21;Centro;16,2;-0,4;-2,2;-14,8
feb-21;Centro;16,2;0;-4,4;-14,5
ene-21;Centro;16,2;-1,8;-6,4;-13,3
dic-20;Centro;16,5;-2,6;-6,4;-10,6
nov-20;Centro;17;-2,1;-4,5;-8,8
oct-20;Centro;17,4;-1,8;-3,5;-6,6
sept-20;Centro;17,7;-0,6;-4,4;-4,1
ago-20;Centro;17,8;-1,2;-7,5;-2,9
jul-20;Centro;18;-2,7;-6;-1,3
jun-20;Centro;18,5;-3,8;-2,6;1,8
may-20;Centro;19,2;0,5;1,2;5,8
abr-20;Centro;19,1;0,8;2,1;4,9
mar-20;Centro;19;0;2,6;4,8
feb-20;Centro;19;1,3;2;4,5
ene-20;Centro;18,7;1,3;0,8;4,2
dic-19;Centro;18,5;-0,6;0,4;2,9
nov-19;Centro;18,6;0,2;1,7;2,2
oct-19;Centro;18,6;0,9;2;1,5
sept-19;Centro;18,4;0,6;1,5;0,7
ago-19;Centro;18,3;0,5;0,8;0,3
jul-19;Centro;18,2;0,4;0;0,2
jun-19;Centro;18,2;0;0,2;-0,8
may-19;Centro;18,2;-0,4;-0,1;-0,9
abr-19;Centro;18,2;0,7;1,4;-1,7
mar-19;Centro;18,1;-0,3;0,8;-1,8
feb-19;Centro;18,2;1,1;-0,3;-0,4
ene-19;Centro;18;0;-1,8;0
dic-18;Centro;18;-1,4;-1,8;1,5
nov-18;Centro;18,2;-0,5;-0,2;3,1
oct-18;Centro;18,3;0;0,6;5
sept-18;Centro;18,3;0,2;0;5,9
ago-18;Centro;18,3;0,4;-0,3;6,6
jul-18;Centro;18,2;-0,6;-1,9;5,5
jun-18;Centro;18,3;0;-0,7;6,2
may-18;Centro;18,3;-1,2;0,4;6,1
abr-18;Centro;18,6;0,6;3,1;6,1
mar-18;Centro;18,4;1,1;4,2;6,7
feb-18;Centro;18,2;1,4;3,2;6
ene-18;Centro;18;1,6;3,1;5,8
dic-17;Centro;17,7;0,2;2,4;6,8
nov-17;Centro;17,7;1,3;3,2;8,8
oct-17;Centro;17,4;0,9;1,1;9,2
sept-17;Centro;17,3;1;0,3;10,4
ago-17;Centro;17,1;-0,7;-0,8;11,8
jul-17;Centro;17,3;0,1;-1,4;12,2
jun-17;Centro;17,2;-0,1;-0,3;12,1
may-17;Centro;17,3;-1,3;0,3;11,5
abr-17;Centro;17,5;1,2;2,9;14,5
mar-17;Centro;17,3;0,4;4,3;14,3
feb-17;Centro;17,2;1,3;6;14,8
ene-17;Centro;17;2,5;6,3;13,3
dic-16;Centro;16,6;2;5,8;14
nov-16;Centro;16,2;1,7;6;12,5
oct-16;Centro;16;2;3,9;11,9
sept-16;Centro;15,7;2,2;1,8;10,6
ago-16;Centro;15,3;-0,3;-1;9,3
jul-16;Centro;15,4;0;0,7;10,8
jun-16;Centro;15,4;-0,7;1,6;11,1
may-16;Centro;15,5;1,4;3,3;11,5
abr-16;Centro;15,3;0,9;1,9;10,4
mar-16;Centro;15,1;0,9;4,1;10,1
feb-16;Centro;15;0;3,8;9,1
ene-16;Centro;15;3,1;5;8,9
dic-15;Centro;14,5;0,7;2,6;6,4
nov-15;Centro;14,4;1,1;2,9;5,9
oct-15;Centro;14,3;0,8;2,9;4,8
sept-15;Centro;14,2;1;2,3;4,7
ago-15;Centro;14;1;1;5,2
jul-15;Centro;13,9;0,3;0,3;4,2
jun-15;Centro;13,8;-0,3;0,7;3,8
may-15;Centro;13,9;0,3;1;3,7
abr-15;Centro;13,8;0,7;0,6;3,8
mar-15;Centro;13,8;0;0,6;3,1
feb-15;Centro;13,8;-0,1;0,8;3,1
ene-15;Centro;13,8;0,7;1;3,8
dic-14;Centro;13,7;0,2;1;3,1
nov-14;Centro;13,6;0;2,3;2,3
oct-14;Centro;13,6;0,8;2,3;2,3
sept-14;Centro;13,5;1,5;1,5;1,5
ago-14;Centro;13,3;0;-0,4;0
jul-14;Centro;13,3;0;0;0
jun-14;Centro;13,3;-0,4;0;0
may-14;Centro;13,4;0,4;0,4;-0,3
abr-14;Centro;13,3;0;0,5;-1,5
mar-14;Centro;13,3;0;0,6;-2,2
feb-14;Centro;13,3;0,5;0;-2,3
ene-14;Centro;13,3;0,1;-0,5;-2,8
dic-13;Centro;13,3;-0,6;-0,6;-3,6
nov-13;Centro;13,3;0;0;-4
oct-13;Centro;13,3;0;0;-4,5
sept-13;Centro;13,3;0;0;-5,1
ago-13;Centro;13,3;0;-0,8;-5
jul-13;Centro;13,3;0;-1,5;-5,2
jun-13;Centro;13,3;-0,7;-2,2;-5,9
may-13;Centro;13,4;-0,8;-1,5;-6
abr-13;Centro;13,5;-0,7;-0,7;-6,3
mar-13;Centro;13,6;0;-0,8;-6,3
feb-13;Centro;13,6;0;-1,8;-7,2
ene-13;Centro;13,6;-0,8;-2,2;-8,3
dic-12;Centro;13,8;-1;-2,2;-8,3
nov-12;Centro;13,9;-0,5;-1;-7,4
oct-12;Centro;14;-0,7;-0,8;-6,1
sept-12;Centro;14,1;0,1;-0,8;-5,4
ago-12;Centro;14;-0,2;-1,8;-6,4
jul-12;Centro;14,1;-0,7;-2,7;-6,2
jun-12;Centro;14,2;-0,8;-2,6;-5,6
may-12;Centro;14,3;-1,1;-2,8;-4,8
abr-12;Centro;14,4;-0,7;-2,9;-3,7
mar-12;Centro;14,5;-1,1;-3;-4,3
feb-12;Centro;14,7;-1,1;-2;-4,4
ene-12;Centro;14,9;-0,8;0,1;-4,1
dic-11;Centro;15;0;0,9;-2,5
nov-11;Centro;15;0,9;0;-2,5
oct-11;Centro;14,9;0;-0,9;-3,6
sept-11;Centro;14,9;-0,9;-0,9;-2,4
ago-11;Centro;15;0;0;-1,8
jul-11;Centro;15;0;0;-2,5
jun-11;Centro;15;0;-1,3;-3,6
may-11;Centro;15;0;-2,5;-3,2
abr-11;Centro;15;-1,3;-3,3;-3,2
mar-11;Centro;15,2;-1,2;-1,2;-3,2
feb-11;Centro;15,4;-0,9;0;-3,8
ene-11;Centro;15,5;0,9;0,7;-4,5
dic-10;Centro;15,4;0;1;-2,4
nov-10;Centro;15,4;-0,2;0,7;-3,7
oct-10;Centro;15,4;1,2;0,2;-3,4
sept-10;Centro;15,2;-0,3;-2,1;-4,8
ago-10;Centro;15,3;-0,7;-1,4;-2,2
jul-10;Centro;15,4;-1,1;-0,7;-2,8
jun-10;Centro;15,6;0,4;-0,9;-3,2
may-10;Centro;15,5;0;-3,1;-3,8
abr-10;Centro;15,5;-1,3;-4,6;-11,4
mar-10;Centro;15,7;-1,9;-0,4;-10,9
feb-10;Centro;16;-1,5;0,1;-12,6
ene-10;Centro;16,3;3,1;1,8;-8,5
dic-09;Centro;15,8;-1,4;-1,5;-17,7
nov-09;Centro;16;0,1;2,3;-10
oct-09;Centro;16;-0,3;0,8;-13
sept-09;Centro;16;2,4;-0,4;NA
ago-09;Centro;15,6;-1,3;-3;NA
jul-09;Centro;15,8;-1,5;-9,5;NA
jun-09;Centro;16,1;-0,2;-8,8;NA
may-09;Centro;16,1;-7,9;-12;NA
abr-09;Centro;17,5;-0,6;-1,4;NA
mar-09;Centro;17,6;-3,8;-8;NA
feb-09;Centro;18,3;3,1;3,1;NA
ene-09;Centro;17,8;-7,3;-3,2;NA
dic-08;Centro;19,1;7,8;NA;NA
nov-08;Centro;17,8;-3,2;NA;NA
oct-08;Centro;18,3;NA;NA;NA
sept-08;Centro;NA;NA;NA;NA
ago-08;Centro;NA;NA;NA;NA
jul-08;Centro;NA;NA;NA;NA
jun-08;Centro;NA;NA;NA;NA
may-08;Centro;NA;NA;NA;NA
abr-08;Centro;NA;NA;NA;NA
mar-08;Centro;NA;NA;NA;NA
feb-08;Centro;NA;NA;NA;NA
ene-08;Centro;NA;NA;NA;NA
dic-07;Centro;NA;NA;NA;NA
nov-07;Centro;NA;NA;NA;NA
oct-07;Centro;NA;NA;NA;NA
sept-07;Centro;NA;NA;NA;NA
ago-07;Centro;NA;NA;NA;NA
jul-07;Centro;NA;NA;NA;NA
jun-07;Centro;NA;NA;NA;NA
may-07;Centro;NA;NA;NA;NA
abr-07;Centro;NA;NA;NA;NA
mar-07;Centro;NA;NA;NA;NA
feb-07;Centro;NA;NA;NA;NA
ene-07;Centro;NA;NA;NA;NA
dic-06;Centro;NA;NA;NA;NA
nov-06;Centro;NA;NA;NA;NA
oct-06;Centro;NA;NA;NA;NA
sept-06;Centro;NA;NA;NA;NA
ago-06;Centro;NA;NA;NA;NA
jul-06;Centro;NA;NA;NA;NA
jun-06;Centro;NA;NA;NA;NA
may-06;Centro;NA;NA;NA;NA
abr-06;Centro;NA;NA;NA;NA
mar-06;Centro;NA;NA;NA;NA
feb-06;Centro;NA;NA;NA;NA
ene-06;Centro;NA;NA;NA;NA
abr-24;Chamart’n;20,1;1;2,8;14,8
mar-24;Chamart’n;19,9;1,5;3,6;13,7
feb-24;Chamart’n;19,6;0,3;3,7;12,8
ene-24;Chamart’n;19,5;1,8;5,5;15,3
dic-23;Chamart’n;19,2;1,6;5,9;15
nov-23;Chamart’n;18,9;2;4,4;13,2
oct-23;Chamart’n;18,5;2,2;4,9;11
sept-23;Chamart’n;18,1;0,2;3,6;8,8
ago-23;Chamart’n;18,1;2,5;2,3;9,6
jul-23;Chamart’n;17,7;0,9;0,9;8,4
jun-23;Chamart’n;17,5;-1;0,1;8,8
may-23;Chamart’n;17,7;1,1;1,8;9,9
abr-23;Chamart’n;17,5;0,1;3,3;9,5
mar-23;Chamart’n;17,5;0,7;4,8;9,8
feb-23;Chamart’n;17,4;2,5;4,1;11,3
ene-23;Chamart’n;16,9;1,5;1,5;10,4
dic-22;Chamart’n;16,7;0;0,2;8,7
nov-22;Chamart’n;16,7;0;1,2;8,8
oct-22;Chamart’n;16,7;0,1;2,4;9,2
sept-22;Chamart’n;16,7;1;3,6;10,5
ago-22;Chamart’n;16,5;1,3;2,6;10,1
jul-22;Chamart’n;16,3;1,3;1,9;8,6
jun-22;Chamart’n;16,1;0;1;7,2
may-22;Chamart’n;16,1;0,6;3,1;7,3
abr-22;Chamart’n;16;0,4;4,2;6,6
mar-22;Chamart’n;15,9;2,1;3,8;5,4
feb-22;Chamart’n;15,6;1,7;1,7;2,3
ene-22;Chamart’n;15,3;0;0,4;0,4
dic-21;Chamart’n;15,4;0;1,8;-0,4
nov-21;Chamart’n;15,3;0,4;2,3;-1,9
oct-21;Chamart’n;15,3;1,3;1,9;-3,7
sept-21;Chamart’n;15,1;0,6;0,6;-5,7
ago-21;Chamart’n;15;-0,1;-0,1;-7,3
jul-21;Chamart’n;15;0;0;-8,3
jun-21;Chamart’n;15;0;-0,8;-8,8
may-21;Chamart’n;15;0;-1,7;-9,7
abr-21;Chamart’n;15;-0,8;-1,8;-9,1
mar-21;Chamart’n;15,1;-0,9;-1,9;-7,5
feb-21;Chamart’n;15,3;-0,2;-2,4;-5,7
ene-21;Chamart’n;15,3;-0,8;-3,7;-4,9
dic-20;Chamart’n;15,4;-1,5;-3,7;-4,9
nov-20;Chamart’n;15,6;-1,5;-3,2;-3,9
oct-20;Chamart’n;15,9;-0,8;-3;-3,2
sept-20;Chamart’n;16;-1;-2,7;-2,5
ago-20;Chamart’n;16,2;-1,2;-2,6;-1,4
jul-20;Chamart’n;16,4;-0,5;-0,8;0,5
jun-20;Chamart’n;16,4;-0,9;0,6;1,2
may-20;Chamart’n;16,6;0,7;2,6;1,8
abr-20;Chamart’n;16,5;0,9;2,6;1,8
mar-20;Chamart’n;16,3;1,1;0,9;1,7
feb-20;Chamart’n;16,2;0,7;-0,6;1,3
ene-20;Chamart’n;16,1;-0,8;-2;1,6
dic-19;Chamart’n;16,2;-0,5;-1,3;1,5
nov-19;Chamart’n;16,3;-0,8;-0,7;1,8
oct-19;Chamart’n;16,4;0;0,7;2,1
sept-19;Chamart’n;16,4;0,1;1;2,4
ago-19;Chamart’n;16,4;0,6;0,5;2,1
jul-19;Chamart’n;16,3;0,3;0,5;2
jun-19;Chamart’n;16,2;-0,3;1,1;2,2
may-19;Chamart’n;16,3;0,6;2,1;2,6
abr-19;Chamart’n;16,2;0,9;2,4;2,4
mar-19;Chamart’n;16,1;0,6;0,7;3,1
feb-19;Chamart’n;16;0,9;-0,1;3,9
ene-19;Chamart’n;15,8;-0,8;-1,5;3,4
dic-18;Chamart’n;16;-0,1;-0,4;3,5
nov-18;Chamart’n;16;-0,5;-0,4;4,1
oct-18;Chamart’n;16,1;0,2;0,6;6,3
sept-18;Chamart’n;16;-0,1;0,8;7,2
ago-18;Chamart’n;16;0,5;1;7,4
jul-18;Chamart’n;16;0,4;0,9;7,7
jun-18;Chamart’n;15,9;0,1;2,1;8,2
may-18;Chamart’n;15,9;0,4;3,4;8,3
abr-18;Chamart’n;15,8;1,6;3,4;9,3
mar-18;Chamart’n;15,6;1,4;1,1;9,3
feb-18;Chamart’n;15,4;0,4;0,1;8,6
ene-18;Chamart’n;15,3;-0,7;1,3;10,1
dic-17;Chamart’n;15,4;0,4;3,1;11,3
nov-17;Chamart’n;15,4;1,7;2,8;11,1
oct-17;Chamart’n;15,1;1;1,8;9,3
sept-17;Chamart’n;15;0,1;1,7;9,1
ago-17;Chamart’n;14,9;0,7;1,9;9,8
jul-17;Chamart’n;14,8;0,9;2,4;8,7
jun-17;Chamart’n;14,7;0,3;3,1;8,6
may-17;Chamart’n;14,7;1,3;3,6;9,4
abr-17;Chamart’n;14,5;1,5;4,2;9,2
mar-17;Chamart’n;14,3;0,8;3;8,2
feb-17;Chamart’n;14,1;1,8;2,4;7,4
ene-17;Chamart’n;13,9;0,4;0,6;6,1
dic-16;Chamart’n;13,8;0,2;1;6,4
nov-16;Chamart’n;13,8;0;1,6;7
oct-16;Chamart’n;13,8;0,8;1,2;8,6
sept-16;Chamart’n;13,7;0,8;1,3;8,6
ago-16;Chamart’n;13,6;-0,3;1,5;8,5
jul-16;Chamart’n;13,6;0,8;2,9;8
jun-16;Chamart’n;13,5;1;2,8;8,4
may-16;Chamart’n;13,4;1,1;1,7;7,2
abr-16;Chamart’n;13,3;0,7;1,2;6,1
mar-16;Chamart’n;13,2;0;1,3;5,2
feb-16;Chamart’n;13,2;0,6;2;4,5
ene-16;Chamart’n;13,1;0,7;2,9;3,9
dic-15;Chamart’n;13;0,7;3;3,2
nov-15;Chamart’n;12,9;1,5;3;3,5
oct-15;Chamart’n;12,7;0,8;0,7;3
sept-15;Chamart’n;12,6;0,8;1,2;2,7
ago-15;Chamart’n;12,5;-0,9;0,3;1,9
jul-15;Chamart’n;12,6;1,2;1,1;2,8
jun-15;Chamart’n;12,5;-0,1;-0,2;1,4
may-15;Chamart’n;12,5;0;-0,9;1,6
abr-15;Chamart’n;12,5;-0,1;-0,9;1,6
mar-15;Chamart’n;12,5;-0,8;-0,7;1,8
feb-15;Chamart’n;12,6;0;1,1;2,7
ene-15;Chamart’n;12,6;0,1;2,1;3,2
dic-14;Chamart’n;12,6;1;2,5;3,9
nov-14;Chamart’n;12,5;1;1,5;3
oct-14;Chamart’n;12,4;0,5;0,5;1,6
sept-14;Chamart’n;12,3;0;-0,2;1
ago-14;Chamart’n;12,3;0;-0,1;2,2
jul-14;Chamart’n;12,3;-0,2;-0,1;1,6
jun-14;Chamart’n;12,3;0,1;0,2;0,5
may-14;Chamart’n;12,3;0;0,3;-0,5
abr-14;Chamart’n;12,3;0,1;0,7;-1,6
mar-14;Chamart’n;12,3;0,2;1,4;-1,9
feb-14;Chamart’n;12,3;0,5;1,3;-1,8
ene-14;Chamart’n;12,2;0,7;0,4;-3,2
dic-13;Chamart’n;12,1;0,1;-0,3;-4,2
nov-13;Chamart’n;12,1;-0,4;0,7;-4,7
oct-13;Chamart’n;12,2;0;0,5;-2,6
sept-13;Chamart’n;12,2;1,1;-0,7;-2,5
ago-13;Chamart’n;12;-0,5;-2,7;-4,9
jul-13;Chamart’n;12,1;-1,2;-3,3;-5,1
jun-13;Chamart’n;12,3;-1;-2,3;-4,7
may-13;Chamart’n;12,4;-1,1;-1;-5,5
abr-13;Chamart’n;12,5;-0,2;-0,9;-5,1
mar-13;Chamart’n;12,5;0,3;-1;-6,2
feb-13;Chamart’n;12,5;-1;-1,7;-6,5
ene-13;Chamart’n;12,6;-0,3;1,1;-5,6
dic-12;Chamart’n;12,7;-0,4;1,4;-5,5
nov-12;Chamart’n;12,7;1,8;0,5;-4,8
oct-12;Chamart’n;12,5;0,1;-2,1;-5,9
sept-12;Chamart’n;12,5;-1,3;-2,9;-5,9
ago-12;Chamart’n;12,7;-0,8;-3,3;-5,2
jul-12;Chamart’n;12,8;-0,8;-3,3;-6
jun-12;Chamart’n;12,9;-1,7;-3,8;-5,9
may-12;Chamart’n;13,1;-0,8;-2,1;-5
abr-12;Chamart’n;13,2;-1,3;-1,4;-4,8
mar-12;Chamart’n;13,4;0;-0,3;-4,7
feb-12;Chamart’n;13,4;-0,1;0;-4,3
ene-12;Chamart’n;13,4;-0,2;0,8;-5,3
dic-11;Chamart’n;13,4;0,3;1,1;-4,1
nov-11;Chamart’n;13,4;0,6;0,1;-5
oct-11;Chamart’n;13,3;0,1;-2,1;-5
sept-11;Chamart’n;13,3;-0,6;-3;-3,3
ago-11;Chamart’n;13,3;-1,6;-3,1;-5
jul-11;Chamart’n;13,6;-0,8;-2,2;-3,7
jun-11;Chamart’n;13,7;-0,7;-2,5;-3,5
may-11;Chamart’n;13,8;-0,6;-1,4;-7,4
abr-11;Chamart’n;13,9;-1,1;-1,9;-6,6
mar-11;Chamart’n;14;0,3;0,3;-6,8
feb-11;Chamart’n;14;-1,2;-0,6;-4,6
ene-11;Chamart’n;14,1;1,1;1,1;-1,3
dic-10;Chamart’n;14;-0,6;1,9;-1
nov-10;Chamart’n;14,1;0,6;0,1;-2,4
oct-10;Chamart’n;14;1,9;-0,8;-3,4
sept-10;Chamart’n;13,7;-2,3;-3,2;-0,9
ago-10;Chamart’n;14;-0,3;-5,6;-2,1
jul-10;Chamart’n;14,1;-0,6;-5,1;0
jun-10;Chamart’n;14,2;-4,7;-5,8;0,3
may-10;Chamart’n;14,9;0,2;1,6;NA
abr-10;Chamart’n;14,8;-1,3;3,6;NA
mar-10;Chamart’n;15;2,7;6,6;NA
feb-10;Chamart’n;14,6;2,2;1,7;NA
ene-10;Chamart’n;14,3;1,5;-1;NA
dic-09;Chamart’n;14,1;-2;2;NA
nov-09;Chamart’n;14,4;-0,5;0,4;NA
oct-09;Chamart’n;14,5;4,6;2,7;NA
sept-09;Chamart’n;13,8;-3,5;-2;NA
ago-09;Chamart’n;14,3;1,8;NA;NA
jul-09;Chamart’n;14,1;-0,3;NA;NA
jun-09;Chamart’n;14,1;NA;NA;NA
may-09;Chamart’n;NA;NA;NA;NA
