Fecha;Lugar;Precio_m2;Variacion_mensual;Variacion_trimestral;Variacion anual
oct-14;Arganzuela;11;0,3;0,3;0,3
sept-14;Arganzuela;11;0;0;0
ago-14;Arganzuela;11;0;-1;-1
jul-14;Arganzuela;11;0;-1;-1,8
jun-14;Arganzuela;11;-1;-0,4;-1,7
may-14;Arganzuela;11,1;0;1,1;-1,2
abr-14;Arganzuela;11,1;0,6;2;-1,2
mar-14;Arganzuela;11;0,5;1,3;-2,8
feb-14;Arganzuela;11;0,9;-0,7;-3
ene-14;Arganzuela;10,9;0;-1;-3,2
dic-13;Arganzuela;10,9;-1,6;-0,9;-2,5
nov-13;Arganzuela;11,1;0,6;-0,3;-2,7
oct-13;Arganzuela;11;0;-1,8;-4,4
sept-13;Arganzuela;11;-1;-1,7;-4,7
ago-13;Arganzuela;11,1;-0,8;-1,2;-3,4
jul-13;Arganzuela;11,2;0;-0,5;-3
jun-13;Arganzuela;11,2;-0,5;-1,5;-4,1
may-13;Arganzuela;11,3;0;-0,7;-3,2
abr-13;Arganzuela;11,3;-1;0;-4
mar-13;Arganzuela;11,4;0,3;1,7;-3,6
feb-13;Arganzuela;11,3;0,7;-0,4;-4,1
ene-13;Arganzuela;11,3;0,7;-2,2;-5,2
dic-12;Arganzuela;11,2;-1,8;-3,1;-8,2
nov-12;Arganzuela;11,4;-1,1;-1;-5,5
oct-12;Arganzuela;11,5;-0,3;-0,3;-2,7
sept-12;Arganzuela;11,5;0,3;-1,1;-3,1
ago-12;Arganzuela;11,5;-0,3;-1,1;-4,2
jul-12;Arganzuela;11,5;-1,1;-1,5;-3,8
jun-12;Arganzuela;11,7;0,3;-1;-3,3
may-12;Arganzuela;11,6;-0,8;-1,6;-3,7
abr-12;Arganzuela;11,7;-0,6;-1,3;-1,7
mar-12;Arganzuela;11,8;-0,3;-3,2;1
feb-12;Arganzuela;11,8;-0,5;-1,9;-0,8
ene-12;Arganzuela;11,9;-2,5;0,4;-3,1
dic-11;Arganzuela;12,2;1,1;2,3;-2
nov-11;Arganzuela;12,1;1,9;0,4;-2,5
oct-11;Arganzuela;11,8;-0,6;-1,4;-0,6
sept-11;Arganzuela;11,9;-0,8;-1,4;0,7
ago-11;Arganzuela;12;0;-0,6;1,6
jul-11;Arganzuela;12;-0,6;0,6;0,4
jun-11;Arganzuela;12,1;0;3,4;0
may-11;Arganzuela;12,1;1,2;1,3;0,9
abr-11;Arganzuela;11,9;2,1;-2,7;-1,2
mar-11;Arganzuela;11,7;-2,1;-6,1;-3,3
feb-11;Arganzuela;11,9;-2,8;-3,6;-4,7
ene-11;Arganzuela;12,3;-1,4;3;-1,9
dic-10;Arganzuela;12,4;0,5;5,2;1,7
nov-10;Arganzuela;12,4;3,9;4,7;1,2
oct-10;Arganzuela;11,9;0,7;-0,4;NA
sept-10;Arganzuela;11,8;0;-2,1;NA
ago-10;Arganzuela;11,8;-1,2;-1,2;NA
jul-10;Arganzuela;12;-0,9;-0,9;NA
jun-10;Arganzuela;12,1;0,9;0;NA
may-10;Arganzuela;12;-0,9;-4,3;NA
abr-10;Arganzuela;12,1;0;-3,4;NA
mar-10;Arganzuela;12,1;-3,4;-1,3;NA
feb-10;Arganzuela;12,5;0;2,3;NA
ene-10;Arganzuela;12,5;2,3;NA;NA
dic-09;Arganzuela;12,2;0;NA;NA
nov-09;Arganzuela;12,2;NA;NA;NA
oct-09;Arganzuela;NA;NA;NA;NA
sept-09;Arganzuela;NA;NA;NA;NA
ago-09;Arganzuela;NA;NA;NA;NA
jul-09;Arganzuela;NA;NA;NA;NA
jun-09;Arganzuela;NA;NA;NA;NA
may-09;Arganzuela;NA;NA;NA;NA
abr-09;Arganzuela;NA;NA;NA;NA
mar-09;Arganzuela;NA;NA;NA;NA
feb-09;Arganzuela;NA;NA;NA;NA
ene-09;Arganzuela;NA;NA;NA;NA
dic-08;Arganzuela;NA;NA;NA;NA
nov-08;Arganzuela;NA;NA;NA;NA
oct-08;Arganzuela;NA;NA;NA;NA
sept-08;Arganzuela;NA;NA;NA;NA
ago-08;Arganzuela;NA;NA;NA;NA
jul-08;Arganzuela;NA;NA;NA;NA
jun-08;Arganzuela;NA;NA;NA;NA
may-08;Arganzuela;NA;NA;NA;NA
abr-08;Arganzuela;NA;NA;NA;NA
mar-08;Arganzuela;NA;NA;NA;NA
feb-08;Arganzuela;NA;NA;NA;NA
ene-08;Arganzuela;NA;NA;NA;NA
dic-07;Arganzuela;NA;NA;NA;NA
nov-07;Arganzuela;NA;NA;NA;NA
oct-07;Arganzuela;NA;NA;NA;NA
sept-07;Arganzuela;NA;NA;NA;NA
ago-07;Arganzuela;NA;NA;NA;NA
jul-07;Arganzuela;NA;NA;NA;NA
jun-07;Arganzuela;NA;NA;NA;NA
may-07;Arganzuela;NA;NA;NA;NA
abr-07;Arganzuela;NA;NA;NA;NA
mar-07;Arganzuela;NA;NA;NA;NA
feb-07;Arganzuela;NA;NA;NA;NA
ene-07;Arganzuela;NA;NA;NA;NA
dic-06;Arganzuela;NA;NA;NA;NA
nov-06;Arganzuela;NA;NA;NA;NA
oct-06;Arganzuela;NA;NA;NA;NA
sept-06;Arganzuela;NA;NA;NA;NA
ago-06;Arganzuela;NA;NA;NA;NA
jul-06;Arganzuela;NA;NA;NA;NA
jun-06;Arganzuela;NA;NA;NA;NA
may-06;Arganzuela;NA;NA;NA;NA
abr-06;Arganzuela;NA;NA;NA;NA
mar-06;Arganzuela;NA;NA;NA;NA
feb-06;Arganzuela;NA;NA;NA;NA
ene-06;Arganzuela;NA;NA;NA;NA
abr-24;Barajas;14,1;1,1;-0,2;11,3
mar-24;Barajas;13,9;-0,2;-0,6;9,9
feb-24;Barajas;13,9;-1,1;-0,3;11,3
ene-24;Barajas;14,1;0,8;3;13,1
