año,mes,distrito,total,hombres_total,mujeres_total,no_estudios_total,no_estudios_hombres,no_estudios_mujeres,estudios_primarios_incompletos_total,estudios_primarios_incompletos_hombres,estudios_primarios_incompletos_mujeres,estudios_primarios_total,estudios_primarios_hombres,estudios_primarios_mujeres,programa_fp_total,programa_fp_hombres,programa_fp_mujeres,educacion_general_total,educacion_general_hombres,educacion_general_mujeres,estudios_tecnico_profesionales_superiores_total,estudios_tecnico_profesionales_superiores_hombres,estudios_tecnico_profesionales_superiores_mujeres,estudios_universitarios_ciclo1_total,estudios_universitarios_ciclo1_hombres,estudios_universitarios_ciclo1_mujeres,estudios_universitarios_ciclo2y3_total,estudios_universitarios_ciclo2y3_hombres,estudios_universitarios_ciclo2y3_mujeres,otros_total,otros_hombres,otros_mujeres,otro_fp_total,otro_fp_hombres,otro_fp_mujeres
2013,Febrero,04. Salamanca,7.945,3.567,4.378,24,12,12,190,92,98,552,239,313,338,148,190,3.546,1.700,1.846,447,204,243,603,255,348,2.211,899,1.312,34,18,16,0,0,0
2013,Febrero,05. Chamartín,7.226,3.311,3.915,19,8,11,237,115,122,269,133,136,281,135,146,3.115,1.463,1.652,431,223,208,603,268,335,2.238,959,1.279,33,7,26,0,0,0
2013,Febrero,06. Tetuán,12.655,6.329,6.326,51,36,15,2.099,1.166,933,1.597,854,743,624,278,346,5.348,2.756,2.592,619,307,312,563,207,356,1.732,720,1.012,22,5,17,0,0,0
2013,Febrero,07. Chamberí,8.069,3.750,4.319,65,29,36,268,149,119,768,394,374,277,110,167,3.241,1.626,1.615,372,180,192,589,226,363,2.460,1.022,1.438,29,14,15,0,0,0
2013,Febrero,08. Fuencarral-El Pardo,14.151,6.725,7.426,25,16,9,748,388,360,2.198,1.211,987,813,344,469,5.782,2.849,2.933,879,438,441,938,335,603,2.710,1.124,1.586,58,20,38,0,0,0
2013,Febrero,09. Moncloa-Aravaca,6.470,3.080,3.390,33,17,16,343,199,144,572,301,271,312,145,167,2.722,1.351,1.371,354,185,169,472,194,278,1.633,680,953,29,8,21,0,0,0
2013,Febrero,10. Latina,20.950,10.753,10.197,204,119,85,2.211,1.342,869,2.619,1.502,1.117,1.514,686,828,10.112,5.349,4.763,1.382,659,723,1.057,376,681,1.836,712,1.124,15,8,7,0,0,0
2013,Febrero,11. Carabanchel,24.275,12.555,11.720,236,132,104,1.475,856,619,5.050,2.845,2.205,1.520,639,881,12.259,6.642,5.617,1.265,571,694,911,311,600,1.540,550,990,19,9,10,0,0,0
2013,Febrero,12. Usera,14.011,7.197,6.814,67,35,32,1.141,638,503,2.627,1.508,1.119,900,374,526,7.610,4.020,3.590,586,239,347,381,123,258,690,254,436,9,6,3,0,0,0
2013,Febrero,13. Puente de Vallecas,26.638,14.258,12.380,2.035,1.180,855,3.262,1.889,1.373,3.670,2.085,1.585,1.638,744,894,13.519,7.374,6.145,1.017,459,558,558,177,381,936,349,587,3,1,2,0,0,0
2013,Febrero,14. Moratalaz,7.662,3.778,3.884,296,155,141,519,272,247,621,341,280,491,215,276,3.949,2.034,1.915,519,261,258,443,166,277,816,331,485,8,3,5,0,0,0
2013,Febrero,15. Ciudad Lineal,16.554,8.356,8.198,214,126,88,423,240,183,3.366,1.935,1.431,921,401,520,7.550,3.929,3.621,932,436,496,959,365,594,2.158,912,1.246,31,12,19,0,0,0
2013,Febrero,16. Hortaleza,11.474,5.510,5.964,49,25,24,509,285,224,665,385,280,753,307,446,5.899,3.002,2.897,762,368,394,785,290,495,2.033,843,1.190,19,5,14,0,0,0
2013,Febrero,17. Villaverde,16.217,8.594,7.623,145,67,78,744,447,297,2.872,1.706,1.166,1.031,417,614,9.715,5.319,4.396,692,301,391,437,132,305,572,202,370,9,3,6,0,0,0
2013,Febrero,18. Villa de Vallecas,10.145,4.898,5.247,168,84,84,1.512,855,657,1.659,904,755,642,252,390,4.591,2.223,2.368,553,222,331,406,134,272,602,220,382,12,4,8,0,0,0
2013,Febrero,19. Vicálvaro,6.351,3.166,3.185,367,211,156,534,313,221,580,321,259,470,201,269,3.263,1.705,1.558,408,167,241,283,90,193,442,156,286,4,2,2,0,0,0
2013,Febrero,20. San Blas-Canillejas,12.994,6.619,6.375,154,98,56,435,258,177,2.026,1.154,872,863,366,497,7.028,3.769,3.259,779,349,430,639,220,419,1.054,399,655,16,6,10,0,0,0
2013,Febrero,21. Barajas,2.833,1.329,1.504,38,19,19,125,61,64,234,134,100,136,76,60,1.493,702,791,182,92,90,210,83,127,412,161,251,3,1,2,0,0,0
2013,Marzo,Ciudad de Madrid,257.657,129.300,128.357,4.357,2.475,1.882,17.853,10.205,7.648,36.229,20.510,15.719,14.952,6.534,8.418,124.261,64.937,59.324,13.972,6.591,7.381,12.881,4.815,8.066,32.705,13.066,19.639,447,167,280,0,0,0
2013,Marzo,01. Centro,12.265,6.500,5.765,91,57,34,465,300,165,1.884,1.172,712,519,256,263,5.411,3.032,2.379,613,311,302,708,290,418,2.547,1.070,1.477,27,12,15,0,0,0
2013,Marzo,02. Arganzuela,11.168,5.286,5.882,55,29,26,353,194,159,1.560,923,637,569,250,319,4.675,2.329,2.346,731,348,383,883,333,550,2.280,854,1.426,62,26,36,0,0,0
2013,Marzo,03. Retiro,6.782,3.158,3.624,28,21,7,107,60,47,683,351,332,300,154,146,2.779,1.340,1.439,411,204,207,541,249,292,1.912,774,1.138,21,5,16,0,0,0
2013,Marzo,04. Salamanca,7.966,3.563,4.403,26,14,12,219,114,105,559,251,308,338,147,191,3.551,1.680,1.871,456,212,244,584,242,342,2.204,888,1.316,29,15,14,0,0,0
2013,Marzo,05. Chamartín,7.253,3.292,3.961,18,8,10,272,131,141,276,130,146,278,123,155,3.088,1.430,1.658,428,226,202,598,269,329,2.262,969,1.293,33,6,27,0,0,0
2013,Marzo,06. Tetuán,12.760,6.397,6.363,47,31,16,2.130,1.177,953,1.590,864,726,647,284,363,5.420,2.817,2.603,622,309,313,580,204,376,1.703,706,997,21,5,16,0,0,0
