año,mes,distrito,total,hombres_total,mujeres_total,no_estudios_total,no_estudios_hombres,no_estudios_mujeres,estudios_primarios_incompletos_total,estudios_primarios_incompletos_hombres,estudios_primarios_incompletos_mujeres,estudios_primarios_total,estudios_primarios_hombres,estudios_primarios_mujeres,programa_fp_total,programa_fp_hombres,programa_fp_mujeres,educacion_general_total,educacion_general_hombres,educacion_general_mujeres,estudios_tecnico_profesionales_superiores_total,estudios_tecnico_profesionales_superiores_hombres,estudios_tecnico_profesionales_superiores_mujeres,estudios_universitarios_ciclo1_total,estudios_universitarios_ciclo1_hombres,estudios_universitarios_ciclo1_mujeres,estudios_universitarios_ciclo2y3_total,estudios_universitarios_ciclo2y3_hombres,estudios_universitarios_ciclo2y3_mujeres,otros_total,otros_hombres,otros_mujeres,otro_fp_total,otro_fp_hombres,otro_fp_mujeres
2015,Mayo,13. Puente de Vallecas,23.292,11.856,11.436,1.888,1.004,884,2.868,1.547,1.321,3.406,1.824,1.582,1.580,710,870,11.497,5.938,5.559,849,386,463,400,132,268,797,313,484,7,2,5,0,0,0
2015,Mayo,14. Moratalaz,6.704,3.144,3.560,167,79,88,387,189,198,1.252,619,633,379,158,221,3.160,1.544,1.616,400,184,216,286,99,187,662,267,395,11,5,6,0,0,0
2015,Mayo,15. Ciudad Lineal,14.318,6.903,7.415,117,58,59,398,195,203,3.330,1.747,1.583,796,347,449,6.196,3.117,3.079,842,380,462,699,284,415,1.912,766,1.146,28,9,19,0,0,0
2015,Mayo,16. Hortaleza,9.903,4.567,5.336,50,25,25,514,268,246,1.303,676,627,626,253,373,4.528,2.196,2.332,641,270,371,570,202,368,1.641,668,973,30,9,21,0,0,0
2015,Mayo,17. Villaverde,14.090,7.066,7.024,124,53,71,1.126,633,493,2.610,1.388,1.222,870,366,504,8.003,4.129,3.874,592,247,345,292,93,199,468,157,311,5,0,5,0,0,0
2015,Mayo,18. Villa de Vallecas,8.786,3.970,4.816,133,51,82,1.368,709,659,1.501,769,732,562,199,363,3.923,1.800,2.123,499,187,312,281,83,198,513,170,343,6,2,4,0,0,0
2015,Mayo,19. Vicálvaro,5.665,2.665,3.000,234,121,113,464,265,199,1.175,596,579,370,150,220,2.563,1.247,1.316,325,132,193,190,53,137,340,100,240,4,1,3,0,0,0
2015,Mayo,20. San Blas-Canillejas,11.525,5.501,6.024,127,65,62,435,224,211,2.131,1.150,981,819,307,512,5.865,2.920,2.945,702,290,412,447,159,288,982,381,601,17,5,12,0,0,0
2015,Mayo,21. Barajas,2.452,1.134,1.318,38,17,21,101,50,51,285,134,151,119,62,57,1.226,594,632,164,80,84,149,58,91,364,136,228,6,3,3,0,0,0
2015,Junio,Ciudad de Madrid,212.389,100.861,111.528,3.779,1.910,1.869,15.614,8.213,7.401,38.187,19.845,18.342,12.711,5.198,7.513,95.536,47.343,48.193,11.182,4.869,6.313,8.856,3.168,5.688,26.013,10.145,15.868,511,170,341,0,0,0
2015,Junio,01. Centro,9.567,5.085,4.482,116,64,52,406,250,156,2.209,1.273,936,391,190,201,3.613,2.077,1.536,469,236,233,391,166,225,1.933,816,1.117,39,13,26,0,0,0
2015,Junio,02. Arganzuela,8.994,4.102,4.892,60,38,22,314,160,154,1.668,920,748,534,201,333,3.392,1.615,1.777,583,253,330,624,220,404,1.753,675,1.078,66,20,46,0,0,0
2015,Junio,03. Retiro,5.203,2.340,2.863,22,11,11,77,53,24,732,369,363,227,100,127,1.947,894,1.053,328,164,164,375,157,218,1.459,581,878,36,11,25,0,0,0
2015,Junio,04. Salamanca,6.098,2.658,3.440,26,7,19,137,62,75,1.442,689,753,238,92,146,1.941,915,1.026,302,129,173,360,135,225,1.612,613,999,40,16,24,0,0,0
2015,Junio,05. Chamartín,5.745,2.537,3.208,11,2,9,168,90,78,866,409,457,203,78,125,2.068,953,1.115,285,124,161,416,157,259,1.700,714,986,28,10,18,0,0,0
2015,Junio,06. Tetuán,10.583,5.100,5.483,49,23,26,1.485,781,704,1.701,884,817,560,233,327,4.537,2.263,2.274,480,224,256,411,150,261,1.345,538,807,15,4,11,0,0,0
2015,Junio,07. Chamberí,6.128,2.733,3.395,69,33,36,212,105,107,920,458,462,239,83,156,2.114,1.032,1.082,285,127,158,370,142,228,1.867,736,1.131,52,17,35,0,0,0
2015,Junio,08. Fuencarral-El Pardo,11.505,5.079,6.426,27,12,15,549,266,283,1.841,904,937,674,277,397,4.772,2.196,2.576,710,305,405,694,242,452,2.195,862,1.333,43,15,28,0,0,0
2015,Junio,09. Moncloa-Aravaca,5.142,2.352,2.790,29,11,18,269,141,128,512,263,249,246,97,149,2.099,1.022,1.077,272,128,144,335,128,207,1.339,550,789,41,12,29,0,0,0
2015,Junio,10. Latina,17.132,8.421,8.711,234,124,110,1.837,999,838,2.305,1.279,1.026,1.337,561,776,8.034,4.100,3.934,1.113,496,617,721,269,452,1.530,585,945,21,8,13,0,0,0
2015,Junio,11. Carabanchel,19.948,9.684,10.264,211,104,107,1.438,737,701,5.033,2.576,2.457,1.165,462,703,9.265,4.733,4.532,1.028,448,580,597,203,394,1.198,416,782,13,5,8,0,0,0
2015,Junio,12. Usera,11.823,5.672,6.151,87,46,41,1.101,553,548,2.268,1.168,1.100,810,334,476,6.262,3.113,3.149,491,186,305,267,85,182,528,183,345,9,4,5,0,0,0
2015,Junio,13. Puente de Vallecas,22.746,11.392,11.354,1.882,992,890,2.778,1.491,1.287,3.311,1.741,1.570,1.560,687,873,11.203,5.700,5.503,811,363,448,386,112,274,806,303,503,9,3,6,0,0,0
2015,Junio,14. Moratalaz,6.615,3.069,3.546,156,72,84,418,205,213,1.241,615,626,390,171,219,3.032,1.463,1.569,385,173,212,306,101,205,675,264,411,12,5,7,0,0,0
2015,Junio,15. Ciudad Lineal,13.950,6.630,7.320,114,52,62,406,204,202,3.265,1.694,1.571,805,335,470,5.956,2.953,3.003,823,367,456,663,262,401,1.890,755,1.135,28,8,20,0,0,0
2015,Junio,16. Hortaleza,9.674,4.381,5.293,42,20,22,469,236,233,1.369,699,670,628,242,386,4.342,2.075,2.267,621,259,362,577,200,377,1.603,644,959,23,6,17,0,0,0
2015,Junio,17. Villaverde,13.765,6.800,6.965,129,56,73,1.162,653,509,2.536,1.341,1.195,854,344,510,7.745,3.916,3.829,565,230,335,312,105,207,456,154,302,6,1,5,0,0,0
2015,Junio,18. Villa de Vallecas,8.586,3.828,4.758,137,52,85,1.358,697,661,1.437,726,711,581,206,375,3.804,1.722,2.082,501,187,314,262,73,189,497,163,334,9,2,7,0,0,0
2015,Junio,19. Vicálvaro,5.574,2.560,3.014,219,112,107,479,258,221,1.152,576,576,366,148,218,2.533,1.214,1.319,296,110,186,190,49,141,335,92,243,4,1,3,0,0,0
2015,Junio,20. San Blas-Canillejas,11.221,5.312,5.909,121,62,59,446,223,223,2.090,1.125,965,788,298,490,5.703,2.806,2.897,680,282,398,446,151,295,935,360,575,12,5,7,0,0,0
2015,Junio,21. Barajas,2.390,1.126,1.264,38,17,21,105,49,56,289,136,153,115,59,56,1.174,581,593,154,78,76,153,61,92,357,141,216,5,4,1,0,0,0
2015,Julio,Ciudad de Madrid,211.198,98.429,112.769,3.662,1.858,1.804,15.210,7.970,7.240,37.134,19.048,18.086,11.972,4.907,7.065,93.282,45.653,47.629,11.252,4.807,6.445,9.712,3.224,6.488,28.544,10.829,17.715,430,133,297,0,0,0
2015,Julio,01. Centro,9.687,5.121,4.566,118,69,49,402,242,160,2.151,1.247,904,368,174,194,3.597,2.061,1.536,470,230,240,444,187,257,2.105,898,1.207,32,13,19,0,0,0
2015,Julio,02. Arganzuela,9.115,4.076,5.039,58,36,22,300,160,140,1.626,874,752,501,187,314,3.317,1.576,1.741,578,258,320,708,240,468,1.976,731,1.245,51,14,37,0,0,0
2015,Julio,03. Retiro,5.273,2.346,2.927,23,15,8,76,51,25,713,362,351,207,95,112,1.930,875,1.055,331,170,161,392,162,230,1.571,607,964,30,9,21,0,0,0
2015,Julio,04. Salamanca,6.205,2.627,3.578,27,9,18,153,68,85,1.431,666,765,229,95,134,1.888,851,1.037,316,135,181,369,130,239,1.759,662,1.097,33,11,22,0,0,0
2015,Julio,05. Chamartín,5.841,2.527,3.314,10,1,9,167,83,84,904,410,494,188,75,113,1.982,919,1.063,294,122,172,434,149,285,1.840,763,1.077,22,5,17,0,0,0
2015,Julio,06. Tetuán,10.513,4.953,5.560,46,25,21,1.444,763,681,1.649,835,814,522,210,312,4.481,2.197,2.284,459,202,257,460,150,310,1.444,568,876,8,3,5,0,0,0
2015,Julio,07. Chamberí,6.188,2.722,3.466,64,30,34,209,110,99,868,428,440,207,76,131,2.107,1.038,1.069,280,131,149,408,144,264,2.004,753,1.251,41,12,29,0,0,0
2015,Julio,08. Fuencarral-El Pardo,11.486,4.981,6.505,26,12,14,550,272,278,1.769,842,927,642,263,379,4.616,2.112,2.504,689,288,401,750,248,502,2.406,933,1.473,38,11,27,0,0,0
2015,Julio,09. Moncloa-Aravaca,5.126,2.259,2.867,23,6,17,244,124,120,486,239,247,228,96,132,2.025,958,1.067,275,125,150,367,123,244,1.446,578,868,32,10,22,0,0,0
2015,Julio,10. Latina,16.984,8.158,8.826,222,115,107,1.745,940,805,2.221,1.205,1.016,1.275,538,737,7.863,3.957,3.906,1.109,485,624,813,270,543,1.718,642,1.076,18,6,12,0,0,0
2015,Julio,11. Carabanchel,19.658,9.397,10.261,200,94,106,1.379,711,668,4.900,2.515,2.385,1.130,455,675,8.973,4.523,4.450,1.019,440,579,695,202,493,1.349,452,897,13,5,8,0,0,0
2015,Julio,12. Usera,11.660,5.532,6.128,80,41,39,1.063,533,530,2.179,1.128,1.051,776,316,460,6.150,3.036,3.114,499,181,318,304,87,217,598,204,394,11,6,5,0,0,0
2015,Julio,13. Puente de Vallecas,22.377,11.086,11.291,1.820,958,862,2.694,1.445,1.249,3.234,1.701,1.533,1.456,645,811,11.007,5.515,5.492,840,370,470,417,120,297,900,329,571,9,3,6,0,0,0
2015,Julio,14. Moratalaz,6.577,3.001,3.576,158,72,86,410,206,204,1.244,591,653,357,169,188,2.959,1.417,1.542,395,176,219,313,98,215,731,268,463,10,4,6,0,0,0
2015,Julio,15. Ciudad Lineal,13.910,6.441,7.469,111,51,60,419,206,213,3.136,1.596,1.540,758,322,436,5.835,2.825,3.010,850,382,468,730,272,458,2.043,781,1.262,28,6,22,0,0,0
2015,Julio,16. Hortaleza,9.704,4.253,5.451,38,18,20,459,225,234,1.374,690,684,602,226,376,4.203,1.963,2.240,643,254,389,617,190,427,1.748,683,1.065,20,4,16,0,0,0
2015,Julio,17. Villaverde,13.482,6.556,6.926,135,60,75,1.199,671,528,2.418,1.280,1.138,802,323,479,7.492,3.740,3.752,556,213,343,334,102,232,536,166,370,10,1,9,0,0,0
2015,Julio,18. Villa de Vallecas,8.336,3.635,4.701,132,51,81,1.275,647,628,1.346,654,692,548,191,357,3.682,1.656,2.026,486,179,307,292,76,216,570,180,390,5,1,4,0,0,0
2015,Julio,19. Vicálvaro,5.591,2.498,3.093,218,114,104,511,261,250,1.158,570,588,330,128,202,2.455,1.155,1.300,309,112,197,219,53,166,389,104,285,2,1,1,0,0,0
2015,Julio,20. San Blas-Canillejas,11.093,5.177,5.916,118,65,53,423,211,212,2.058,1.086,972,733,272,461,5.563,2.724,2.839,698,280,418,475,155,320,1.013,380,633,12,4,8,0,0,0
2015,Julio,21. Barajas,2.392,1.083,1.309,35,16,19,88,41,47,269,129,140,113,51,62,1.157,555,602,156,74,82,171,66,105,398,147,251,5,4,1,0,0,0
2015,Agosto,Ciudad de Madrid,213.287,98.786,114.501,3.459,1.750,1.709,15.222,7.929,7.293,37.070,18.958,18.112,12.083,4.930,7.153,93.494,45.638,47.856,11.521,4.887,6.634,10.257,3.325,6.932,29.795,11.254,18.541,386,115,271,0,0,0
2015,Agosto,01. Centro,9.832,5.140,4.692,114,67,47,392,235,157,2.138,1.220,918,373,177,196,3.640,2.079,1.561,496,237,259,472,190,282,2.178,922,1.256,29,13,16,0,0,0
2015,Agosto,02. Arganzuela,9.236,4.117,5.119,52,33,19,309,174,135,1.626,868,758,507,188,319,3.275,1.567,1.708,581,257,324,748,249,499,2.098,770,1.328,40,11,29,0,0,0
2015,Agosto,03. Retiro,5.397,2.341,3.056,26,17,9,81,48,33,709,344,365,207,96,111,1.947,880,1.067,338,166,172,418,167,251,1.647,616,1.031,24,7,17,0,0,0
2015,Agosto,04. Salamanca,6.218,2.600,3.618,27,9,18,161,73,88,1.401,642,759,226,91,135,1.896,839,1.057,326,139,187,366,130,236,1.787,669,1.118,28,8,20,0,0,0
2015,Agosto,05. Chamartín,5.995,2.583,3.412,10,2,8,154,72,82,981,448,533,195,76,119,1.987,918,1.069,304,128,176,446,148,298,1.900,787,1.113,18,4,14,0,0,0
2015,Agosto,06. Tetuán,10.499,4.873,5.626,39,19,20,1.416,735,681,1.617,802,815,517,208,309,4.448,2.161,2.287,462,193,269,484,156,328,1.507,596,911,9,3,6,0,0,0
2015,Agosto,07. Chamberí,6.338,2.771,3.567,59,27,32,213,104,109,877,432,445,219,76,143,2.137,1.069,1.068,281,132,149,422,151,271,2.089,770,1.319,41,10,31,0,0,0
2015,Agosto,08. Fuencarral-El Pardo,11.717,5.043,6.674,23,9,14,539,253,286,1.793,859,934,634,254,380,4.664,2.134,2.530,724,312,412,789,256,533,2.521,957,1.564,30,9,21,0,0,0
2015,Agosto,09. Moncloa-Aravaca,5.259,2.338,2.921,21,6,15,234,122,112,523,265,258,211,87,124,2.068,991,1.077,278,118,160,378,128,250,1.519,612,907,27,9,18,0,0,0
2015,Agosto,10. Latina,17.160,8.166,8.994,214,115,99,1.737,930,807,2.196,1.175,1.021,1.316,562,754,7.897,3.940,3.957,1.122,494,628,867,275,592,1.785,666,1.119,26,9,17,0,0,0
2015,Agosto,11. Carabanchel,19.747,9.339,10.408,190,89,101,1.401,710,691,4.852,2.473,2.379,1.146,456,690,8.976,4.487,4.489,1.018,436,582,730,205,525,1.421,478,943,13,5,8,0,0,0
2015,Agosto,12. Usera,11.709,5.569,6.140,81,40,41,1.060,518,542,2.172,1.125,1.047,778,321,457,6.158,3.066,3.092,504,183,321,312,89,223,632,220,412,12,7,5,0,0,0
2015,Agosto,13. Puente de Vallecas,22.450,11.086,11.364,1.687,883,804,2.709,1.457,1.252,3.232,1.713,1.519,1.469,634,835,11.047,5.528,5.519,873,387,486,450,124,326,974,357,617,9,3,6,0,0,0
2015,Agosto,14. Moratalaz,6.646,3.006,3.640,146,66,80,438,221,217,1.274,611,663,353,170,183,2.941,1.395,1.546,397,168,229,333,95,238,755,276,479,9,4,5,0,0,0
2015,Agosto,15. Ciudad Lineal,13.948,6.427,7.521,101,46,55,429,214,215,3.067,1.562,1.505,757,317,440,5.810,2.819,2.991,861,380,481,786,287,499,2.114,798,1.316,23,4,19,0,0,0
2015,Agosto,16. Hortaleza,9.961,4.341,5.620,40,18,22,455,219,236,1.447,717,730,606,217,389,4.235,1.983,2.252,677,272,405,659,204,455,1.823,708,1.115,19,3,16,0,0,0
2015,Agosto,17. Villaverde,13.431,6.506,6.925,147,66,81,1.213,681,532,2.352,1.258,1.094,788,322,466,7.450,3.667,3.783,564,220,344,363,109,254,543,181,362,11,2,9,0,0,0
2015,Agosto,18. Villa de Vallecas,8.456,3.675,4.781,130,52,78,1.268,647,621,1.342,660,682,556,205,351,3.712,1.652,2.060,496,174,322,336,87,249,612,198,414,4,0,4,0,0,0
2015,Agosto,19. Vicálvaro,5.571,2.482,3.089,217,116,101,492,260,232,1.151,566,585,350,131,219,2.396,1.125,1.271,327,119,208,226,53,173,410,111,299,2,1,1,0,0,0
2015,Agosto,20. San Blas-Canillejas,11.304,5.271,6.033,108,59,49,432,213,219,2.049,1.089,960,761,292,469,5.654,2.769,2.885,728,296,432,500,151,349,1.062,400,662,10,2,8,0,0,0
2015,Agosto,21. Barajas,2.413,1.112,1.301,27,11,16,89,43,46,271,129,142,114,50,64,1.156,569,587,164,76,88,172,71,101,418,162,256,2,1,1,0,0,0
2015,Septiembre,Ciudad de Madrid,212.309,99.502,112.807,3.624,1.857,1.767,15.367,8.026,7.341,37.975,19.416,18.559,12.340,5.087,7.253,93.827,46.129,47.698,11.551,5.075,6.476,9.329,3.143,6.186,27.890,10.641,17.249,406,128,278,0,0,0
2015,Septiembre,01. Centro,9.583,5.029,4.554,111,64,47,419,253,166,2.125,1.213,912,395,186,209,3.547,2.035,1.512,476,237,239,439,182,257,2.034,843,1.191,37,16,21,0,0,0
2015,Septiembre,02. Arganzuela,9.018,4.083,4.935,52,32,20,288,163,125,1.579,846,733,539,212,327,3.301,1.615,1.686,579,252,327,667,216,451,1.964,728,1.236,49,19,30,0,0,0
2015,Septiembre,03. Retiro,5.283,2.300,2.983,26,16,10,87,51,36,723,343,380,205,96,109,1.943,881,1.062,331,162,169,383,158,225,1.555,585,970,30,8,22,0,0,0
2015,Septiembre,04. Salamanca,6.130,2.632,3.498,25,8,17,152,68,84,1.546,714,832,227,88,139,1.756,812,944,328,149,179,367,134,233,1.697,651,1.046,32,8,24,0,0,0
2015,Septiembre,05. Chamartín,5.833,2.540,3.293,10,2,8,157,77,80,1.096,506,590,201,77,124,1.828,841,987,319,140,179,409,144,265,1.790,746,1.044,23,7,16,0,0,0
2015,Septiembre,06. Tetuán,10.444,4.945,5.499,40,20,20,1.448,770,678,1.669,838,831,539,218,321,4.409,2.155,2.254,468,212,256,446,156,290,1.417,574,843,8,2,6,0,0,0
2015,Septiembre,07. Chamberí,6.208,2.773,3.435,66,28,38,206,104,102,899,446,453,218,75,143,2.176,1.096,1.080,288,144,144,380,132,248,1.937,737,1.200,38,11,27,0,0,0
2015,Septiembre,08. Fuencarral-El Pardo,11.543,5.045,6.498,27,10,17,543,257,286,1.816,881,935,647,256,391,4.747,2.182,2.565,713,312,401,689,220,469,2.329,918,1.411,32,9,23,0,0,0
2015,Septiembre,09. Moncloa-Aravaca,5.155,2.301,2.854,18,5,13,248,131,117,528,269,259,223,92,131,2.047,986,1.061,277,123,154,343,116,227,1.442,573,869,29,6,23,0,0,0
2015,Septiembre,10. Latina,17.248,8.290,8.958,225,122,103,1.763,962,801,2.263,1.207,1.056,1.348,581,767,8.018,4.023,3.995,1.133,512,621,789,260,529,1.681,611,1.070,28,12,16,0,0,0
2015,Septiembre,11. Carabanchel,19.856,9.477,10.379,190,90,100,1.404,720,684,4.956,2.534,2.422,1.186,478,708,9.067,4.543,4.524,1.070,476,594,652,187,465,1.316,443,873,15,6,9,0,0,0
2015,Septiembre,12. Usera,11.952,5.750,6.202,87,46,41,1.102,543,559,2.252,1.156,1.096,813,341,472,6.299,3.148,3.151,509,200,309,279,94,185,602,217,385,9,5,4,0,0,0
2015,Septiembre,13. Puente de Vallecas,22.674,11.275,11.399,1.820,969,851,2.711,1.431,1.280,3.253,1.720,1.533,1.506,656,850,11.194,5.636,5.558,881,411,470,414,127,287,887,323,564,8,2,6,0,0,0
2015,Septiembre,14. Moratalaz,6.527,2.983,3.544,155,75,80,399,196,203,1.310,616,694,352,168,184,2.928,1.404,1.524,367,158,209,300,97,203,709,266,443,7,3,4,0,0,0
2015,Septiembre,15. Ciudad Lineal,13.901,6.449,7.452,96,50,46,455,223,232,3.121,1.580,1.541,766,328,438,5.848,2.817,3.031,868,398,470,739,292,447,1.987,757,1.230,21,4,17,0,0,0
2015,Septiembre,16. Hortaleza,9.772,4.362,5.410,40,16,24,451,220,231,1.563,790,773,609,233,376,4.091,1.941,2.150,683,288,395,592,193,399,1.728,679,1.049,15,2,13,0,0,0
2015,Septiembre,17. Villaverde,13.578,6.615,6.963,150,68,82,1.221,668,553,2.386,1.269,1.117,810,335,475,7.615,3.785,3.830,561,222,339,325,96,229,502,171,331,8,1,7,0,0,0
2015,Septiembre,18. Villa de Vallecas,8.472,3.743,4.729,131,55,76,1.299,667,632,1.375,676,699,534,189,345,3.763,1.696,2.067,495,194,301,299,83,216,573,183,390,3,0,3,0,0,0
2015,Septiembre,19. Vicálvaro,5.503,2.458,3.045,224,113,111,472,252,220,1.192,591,601,338,122,216,2.379,1.114,1.265,321,116,205,207,49,158,367,99,268,3,2,1,0,0,0
2015,Septiembre,20. San Blas-Canillejas,11.279,5.374,5.905,106,58,48,443,220,223,2.047,1.096,951,767,301,466,5.730,2.866,2.864,737,302,435,441,138,303,1.000,389,611,8,4,4,0,0,0
2015,Septiembre,21. Barajas,2.350,1.078,1.272,25,10,15,99,50,49,276,125,151,117,55,62,1.141,553,588,147,67,80,169,69,100,373,148,225,3,1,2,0,0,0
2015,Octubre,Ciudad de Madrid,214.338,100.807,113.531,3.772,1.898,1.874,15.564,8.106,7.458,38.935,19.973,18.962,12.897,5.335,7.562,94.485,46.540,47.945,11.695,5.186,6.509,9.190,3.151,6.039,27.380,10.492,16.888,420,126,294,0,0,0
2015,Octubre,01. Centro,9.592,5.092,4.500,112,68,44,411,249,162,2.192,1.269,923,389,192,197,3.564,2.070,1.494,461,229,232,435,168,267,1.990,829,1.161,38,18,20,0,0,0
2015,Octubre,02. Arganzuela,9.141,4.180,4.961,57,34,23,299,166,133,1.639,879,760,548,222,326,3.345,1.643,1.702,595,280,315,648,216,432,1.958,724,1.234,52,16,36,0,0,0
2015,Octubre,03. Retiro,5.326,2.375,2.951,30,15,15,90,51,39,758,366,392,226,103,123,1.965,912,1.053,323,165,158,392,163,229,1.518,597,921,24,3,21,0,0,0
2015,Octubre,04. Salamanca,6.167,2.619,3.548,22,5,17,148,66,82,1.668,773,895,226,87,139,1.706,761,945,337,143,194,373,142,231,1.658,636,1.022,29,6,23,0,0,0
2015,Octubre,05. Chamartín,5.799,2.529,3.270,13,2,11,151,74,77,1.084,495,589,205,79,126,1.811,848,963,326,140,186,404,131,273,1.786,754,1.032,19,6,13,0,0,0
2015,Octubre,06. Tetuán,10.616,5.026,5.590,40,17,23,1.455,782,673,1.655,848,807,579,222,357,4.491,2.182,2.309,488,223,265,457,165,292,1.440,583,857,11,4,7,0,0,0
2015,Octubre,07. Chamberí,6.232,2.767,3.465,68,26,42,210,103,107,917,451,466,230,76,154,2.188,1.094,1.094,306,152,154,364,136,228,1.905,717,1.188,44,12,32,0,0,0
2015,Octubre,08. Fuencarral-El Pardo,11.643,5.131,6.512,30,12,18,539,262,277,1.847,913,934,664,269,395,4.785,2.193,2.592,748,331,417,700,238,462,2.293,903,1.390,37,10,27,0,0,0
2015,Octubre,09. Moncloa-Aravaca,5.186,2.334,2.852,24,9,15,253,129,124,534,273,261,238,100,138,2.082,1.020,1.062,288,126,162,343,118,225,1.399,553,846,25,6,19,0,0,0
2015,Octubre,10. Latina,17.330,8.348,8.982,242,124,118,1.806,963,843,2.293,1.225,1.068,1.395,621,774,8.060,4.037,4.023,1.139,515,624,773,268,505,1.597,585,1.012,25,10,15,0,0,0
2015,Octubre,11. Carabanchel,20.184,9.660,10.524,195,89,106,1.479,746,733,5.056,2.587,2.469,1.217,498,719,9.211,4.647,4.564,1.061,463,598,647,178,469,1.304,447,857,14,5,9,0,0,0
2015,Octubre,12. Usera,12.051,5.785,6.266,85,46,39,1.109,548,561,2.266,1.160,1.106,820,344,476,6.409,3.197,3.212,505,187,318,269,94,175,576,204,372,12,5,7,0,0,0
2015,Octubre,13. Puente de Vallecas,22.987,11.435,11.552,1.931,1.021,910,2.687,1.414,1.273,3.334,1.758,1.576,1.613,698,915,11.218,5.665,5.553,897,419,478,412,137,275,886,320,566,9,3,6,0,0,0
2015,Octubre,14. Moratalaz,6.522,2.960,3.562,159,73,86,397,195,202,1.302,610,692,386,170,216,2.895,1.376,1.519,388,172,216,306,99,207,679,262,417,10,3,7,0,0,0
2015,Octubre,15. Ciudad Lineal,14.068,6.532,7.536,87,44,43,443,220,223,3.270,1.648,1.622,814,335,479,5.910,2.864,3.046,848,395,453,714,268,446,1.959,752,1.207,23,6,17,0,0,0
2015,Octubre,16. Hortaleza,9.824,4.413,5.411,39,16,23,462,239,223,1.619,827,792,635,253,382,4.088,1.922,2.166,692,298,394,573,193,380,1.696,660,1.036,20,5,15,0,0,0
2015,Octubre,17. Villaverde,13.758,6.739,7.019,154,66,88,1.257,693,564,2.474,1.308,1.166,849,355,494,7.653,3.812,3.841,580,245,335,301,94,207,483,165,318,7,1,6,0,0,0
2015,Octubre,18. Villa de Vallecas,8.542,3.779,4.763,135,60,75,1.349,683,666,1.402,685,717,567,205,362,3.773,1.718,2.055,496,188,308,277,76,201,538,163,375,5,1,4,0,0,0
2015,Octubre,19. Vicálvaro,5.605,2.538,3.067,219,111,108,468,250,218,1.258,632,626,378,144,234,2.408,1.139,1.269,318,117,201,201,53,148,349,90,259,6,2,4,0,0,0
2015,Octubre,20. San Blas-Canillejas,11.413,5.477,5.936,104,52,52,449,223,226,2.093,1.139,954,798,301,497,5.796,2.896,2.900,742,323,419,437,146,291,989,395,594,5,2,3,0,0,0
2015,Octubre,21. Barajas,2.352,1.088,1.264,26,8,18,102,50,52,274,127,147,120,61,59,1.127,544,583,157,75,82,164,68,96,377,153,224,5,2,3,0,0,0
2015,Noviembre,Ciudad de Madrid,212.075,99.686,112.389,3.873,1.929,1.944,15.567,8.055,7.512,39.037,20.019,19.018,12.594,5.163,7.431,93.468,45.944,47.524,11.352,5.038,6.314,8.913,3.068,5.845,26.874,10.346,16.528,397,124,273,0,0,0
2015,Noviembre,01. Centro,9.560,5.115,4.445,127,72,55,397,240,157,2.193,1.292,901,400,202,198,3.547,2.076,1.471,436,215,221,432,175,257,1.998,827,1.171,30,16,14,0,0,0
2015,Noviembre,02. Arganzuela,9.020,4.124,4.896,59,32,27,302,161,141,1.672,887,785,528,212,316,3.338,1.621,1.717,581,281,300,619,217,402,1.875,700,1.175,46,13,33,0,0,0
2015,Noviembre,03. Retiro,5.255,2.344,2.911,45,19,26,88,51,37,731,358,373,217,98,119,1.962,909,1.053,319,164,155,370,140,230,1.501,600,901,22,5,17,0,0,0
2015,Noviembre,04. Salamanca,6.111,2.624,3.487,17,5,12,123,50,73,1.699,782,917,226,89,137,1.699,788,911,317,144,173,367,147,220,1.639,615,1.024,24,4,20,0,0,0
2015,Noviembre,05. Chamartín,5.773,2.485,3.288,15,4,11,152,71,81,1.084,495,589,198,71,127,1.776,812,964,315,133,182,412,142,270,1.801,750,1.051,20,7,13,0,0,0
2015,Noviembre,06. Tetuán,10.497,4.976,5.521,36,15,21,1.438,769,669,1.684,859,825,546,209,337,4.475,2.196,2.279,477,210,267,428,150,278,1.402,565,837,11,3,8,0,0,0
2015,Noviembre,07. Chamberí,6.155,2.715,3.440,66,24,42,232,114,118,886,450,436,231,75,156,2.175,1.064,1.111,292,142,150,357,129,228,1.877,706,1.171,39,11,28,0,0,0
2015,Noviembre,08. Fuencarral-El Pardo,11.404,5.033,6.371,28,10,18,523,248,275,1.806,896,910,653,261,392,4.718,2.161,2.557,708,310,398,679,239,440,2.251,896,1.355,38,12,26,0,0,0
2015,Noviembre,09. Moncloa-Aravaca,5.126,2.312,2.814,26,13,13,248,134,114,528,265,263,249,102,147,2.049,989,1.060,283,127,156,350,125,225,1.367,550,817,26,7,19,0,0,0
2015,Noviembre,10. Latina,17.168,8.292,8.876,246,126,120,1.835,967,868,2.309,1.226,1.083,1.359,586,773,7.992,4.038,3.954,1.105,496,609,735,246,489,1.557,597,960,30,10,20,0,0,0
2015,Noviembre,11. Carabanchel,20.095,9.591,10.504,198,84,114,1.496,750,746,5.010,2.556,2.454,1.224,499,725,9.190,4.617,4.573,1.048,453,595,658,184,474,1.258,442,816,13,6,7,0,0,0
2015,Noviembre,12. Usera,11.964,5.720,6.244,86,48,38,1.092,546,546,2.241,1.128,1.113,809,350,459,6.402,3.171,3.231,508,190,318,258,89,169,558,193,365,10,5,5,0,0,0
