Paro registrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado en la Ciudad de Madrid (desde mayo de 2005);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Características;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.2.1. Paro registrado por Distrito, Grupo de edad y Sexo por Mes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Total;Total;Total;16 a 19 años;16 a 19 años;16 a 19 años;20 a 24 años;20 a 24 años;20 a 24 años;25 a 29 años;25 a 29 años;25 a 29 años;30 a 34 años;30 a 34 años;30 a 34 años;35 a 39 años;35 a 39 años;35 a 39 años;40 a 44 años;40 a 44 años;40 a 44 años;45 a 49 años;45 a 49 años;45 a 49 años;50 a 54 años;50 a 54 años;50 a 54 años;55 a 59 años;55 a 59 años;55 a 59 años;60 y más años;60 y más años;60 y más años
2018;Enero;15. Ciudad Lineal;11.557;5.116;6.441;142;86;56;531;264;267;875;385;490;1.042;461;581;1.208;491;717;1.331;586;745;1.467;671;796;1.772;797;975;1.786;797;989;1.403;578;825
2018;Enero;16. Hortaleza;8.379;3.630;4.749;96;50;46;392;206;186;662;322;340;751;314;437;920;359;561;1.058;424;634;1.120;444;676;1.131;482;649;1.280;574;706;969;455;514
2018;Enero;17. Villaverde;11.450;5.129;6.321;250;127;123;785;379;406;997;405;592;1.079;447;632;1.257;511;746;1.529;627;902;1.518;689;829;1.533;710;823;1.492;740;752;1.010;494;516
2018;Enero;18. Villa de Vallecas;7.493;3.232;4.261;188;108;80;484;240;244;663;297;366;822;341;481;974;380;594;1.106;463;643;902;349;553;859;384;475;824;380;444;671;290;381
2018;Enero;19. Vicálvaro;4.775;2.113;2.662;123;72;51;327;174;153;379;178;201;404;176;228;516;214;302;598;225;373;767;309;458;676;305;371;594;267;327;391;193;198
2018;Enero;20. San Blas-Canillejas;9.543;4.256;5.287;179;108;71;470;214;256;758;316;442;832;346;486;910;385;525;1.034;421;613;1.333;577;756;1.410;642;768;1.559;769;790;1.058;478;580
2018;Enero;21. Barajas;1.974;903;1.071;28;20;8;79;35;44;144;65;79;175;74;101;201;88;113;281;127;154;265;124;141;258;117;141;292;141;151;251;112;139
2018;Febrero;Ciudad de Madrid;181.056;81.837;99.219;3.277;1.834;1.443;10.037;4.953;5.084;15.548;7.075;8.473;17.403;7.463;9.940;19.793;8.410;11.383;22.259;9.545;12.714;23.979;11.016;12.963;24.926;11.416;13.510;24.823;11.601;13.222;19.011;8.524;10.487
2018;Febrero;01. Centro;8.241;4.277;3.964;50;31;19;290;147;143;723;344;379;892;411;481;1.025;508;517;1.069;573;496;1.138;615;523;1.106;593;513;1.087;588;499;861;467;394
2018;Febrero;02. Arganzuela;7.416;3.304;4.112;64;27;37;313;158;155;648;301;347;752;331;421;811;325;486;904;380;524;958;465;493;1.028;428;600;1.086;516;570;852;373;479
2018;Febrero;03. Retiro;4.487;1.992;2.495;40;24;16;189;91;98;379;197;182;416;189;227;470;203;267;556;237;319;553;253;300;648;280;368;622;259;363;614;259;355
2018;Febrero;04. Salamanca;5.310;2.273;3.037;33;17;16;186;94;92;485;221;264;494;217;277;569;236;333;646;271;375;634;285;349;786;321;465;778;334;444;699;277;422
2018;Febrero;05. Chamartín;4.964;2.198;2.766;33;22;11;147;79;68;398;187;211;479;211;268;503;216;287;535;211;324;664;286;378;713;312;401;815;371;444;677;303;374
2018;Febrero;06. Tetuán;8.827;4.017;4.810;151;96;55;458;219;239;752;314;438;899;362;537;930;405;525;1.059;457;602;1.185;586;599;1.289;618;671;1.180;538;642;924;422;502
2018;Febrero;07. Chamberí;5.241;2.314;2.927;34;21;13;198;96;102;530;230;300;601;259;342;576;267;309;634;268;366;623;271;352;700;312;388;737;329;408;608;261;347
2018;Febrero;08. Fuencarral-El Pardo;9.803;4.224;5.579;114;62;52;444;225;219;798;390;408;880;354;526;1.164;474;690;1.320;543;777;1.393;618;775;1.217;533;684;1.299;553;746;1.174;472;702
2018;Febrero;09. Moncloa-Aravaca;4.408;1.955;2.453;55;24;31;197;94;103;394;160;234;402;171;231;459;192;267;515;210;305;568;264;304;661;301;360;673;326;347;484;213;271
2018;Febrero;10. Latina;14.415;6.625;7.790;264;136;128;821;429;392;1.237;576;661;1.382;628;754;1.618;721;897;1.699;730;969;2.035;956;1.079;2.045;948;1.097;1.876;879;997;1.438;622;816
2018;Febrero;11. Carabanchel;17.253;7.819;9.434;391;218;173;1.119;510;609;1.441;669;772;1.606;657;949;1.961;832;1.129;2.240;970;1.270;2.379;1.118;1.261;2.344;1.118;1.226;2.142;984;1.158;1.630;743;887
2018;Febrero;12. Usera;9.995;4.605;5.390;253;141;112;693;341;352;883;404;479;967;425;542;1.110;469;641;1.252;537;715;1.362;610;752;1.302;629;673;1.258;615;643;915;434;481
2018;Febrero;13. Puente de Vallecas;19.585;9.213;10.372;567;334;233;1.393;678;715;1.847;847;1.000;1.940;816;1.124;2.159;942;1.217;2.254;1.029;1.225;2.428;1.202;1.226;2.606;1.226;1.380;2.633;1.297;1.336;1.758;842;916
2018;Febrero;14. Moratalaz;5.557;2.488;3.069;114;64;50;368;192;176;481;232;249;494;225;269;550;237;313;583;238;345;741;327;414;801;365;436;818;366;452;607;242;365
2018;Febrero;15. Ciudad Lineal;11.573;5.129;6.444;170;95;75;574;280;294;873;375;498;1.055;472;583;1.139;465;674;1.318;577;741;1.466;693;773;1.785;802;983;1.785;790;995;1.408;580;828
2018;Febrero;16. Hortaleza;8.422;3.643;4.779;112;66;46;400;207;193;665;320;345;767;330;437;907;351;556;1.041;410;631;1.120;450;670;1.136;468;668;1.298;586;712;976;455;521
2018;Febrero;17. Villaverde;11.519;5.190;6.329;278;140;138;809;410;399;1.019;412;607;1.068;444;624;1.249;503;746;1.529;640;889;1.518;682;836;1.534;716;818;1.492;741;751;1.023;502;521
2018;Febrero;18. Villa de Vallecas;7.587;3.252;4.335;195;109;86;511;251;260;675;301;374;852;341;511;980;387;593;1.126;473;653;905;349;556;849;376;473;827;370;457;667;295;372
2018;Febrero;19. Vicálvaro;4.849;2.163;2.686;136;80;56;346;178;168;414;201;213;440;203;237;488;204;284;623;239;384;740;294;446;686;312;374;586;263;323;390;189;201
2018;Febrero;20. San Blas-Canillejas;9.612;4.268;5.344;194;108;86;510;238;272;762;330;432;841;340;501;917;386;531;1.052;423;629;1.298;564;734;1.433;651;782;1.547;761;786;1.058;467;591
2018;Febrero;21. Barajas;1.992;888;1.104;29;19;10;71;36;35;144;64;80;176;77;99;208;87;121;304;129;175;271;128;143;257;107;150;284;135;149;248;106;142
2018;Marzo;Ciudad de Madrid;179.406;80.906;98.500;3.384;1.883;1.501;10.110;5.018;5.092;15.431;6.999;8.432;17.269;7.358;9.911;19.450;8.218;11.232;21.765;9.303;12.462;23.601;10.716;12.885;24.689;11.344;13.345;24.721;11.564;13.157;18.986;8.503;10.483
2018;Marzo;01. Centro;8.176;4.254;3.922;60;36;24;270;128;142;702;326;376;878;409;469;1.025;512;513;1.080;583;497;1.120;612;508;1.112;605;507;1.075;584;491;854;459;395
2018;Marzo;02. Arganzuela;7.237;3.236;4.001;62;29;33;329;161;168;639;310;329;726;317;409;810;328;482;865;371;494;904;428;476;993;425;568;1.064;504;560;845;363;482
2018;Marzo;03. Retiro;4.444;1.951;2.493;40;24;16;183;95;88;369;186;183;444;194;250;449;195;254;535;229;306;549;231;318;648;285;363;617;257;360;610;255;355
2018;Marzo;04. Salamanca;5.184;2.164;3.020;37;18;19;166;84;82;453;202;251;508;204;304;551;234;317;623;250;373;622;254;368;757;312;445;771;328;443;696;278;418
2018;Marzo;05. Chamartín;4.887;2.155;2.732;35;22;13;150;79;71;360;171;189;467;207;260;498;204;294;523;210;313;655;280;375;713;304;409;824;381;443;662;297;365
2018;Marzo;06. Tetuán;8.798;4.026;4.772;162;104;58;460;227;233;759;316;443;873;338;535;931;409;522;1.053;463;590;1.178;586;592;1.261;608;653;1.189;539;650;932;436;496
2018;Marzo;07. Chamberí;5.165;2.272;2.893;36;22;14;192;86;106;526;232;294;574;247;327;576;258;318;602;253;349;619;269;350;693;303;390;730;333;397;617;269;348
2018;Marzo;08. Fuencarral-El Pardo;9.569;4.109;5.460;124;72;52;457;225;232;786;386;400;861;350;511;1.126;463;663;1.254;501;753;1.340;575;765;1.180;517;663;1.282;553;729;1.159;467;692
2018;Marzo;09. Moncloa-Aravaca;4.343;1.965;2.378;49;25;24;217;117;100;370;151;219;393;175;218;443;181;262;511;214;297;555;261;294;673;309;364;654;325;329;478;207;271
2018;Marzo;10. Latina;14.342;6.557;7.785;287;149;138;824;432;392;1.194;552;642;1.395;631;764;1.612;702;910;1.685;718;967;1.984;931;1.053;2.037;944;1.093;1.852;860;992;1.472;638;834
2018;Marzo;11. Carabanchel;17.340;7.880;9.460;420;224;196;1.163;564;599;1.459;663;796;1.594;662;932;1.982;841;1.141;2.216;955;1.261;2.400;1.111;1.289;2.337;1.130;1.207;2.142;996;1.146;1.627;734;893
2018;Marzo;12. Usera;10.005;4.593;5.412;260;146;114;716;349;367;895;413;482;957;411;546;1.091;471;620;1.262;538;724;1.370;605;765;1.281;611;670;1.256;608;648;917;441;476
2018;Marzo;13. Puente de Vallecas;19.475;9.130;10.345;557;332;225;1.402;674;728;1.849;844;1.005;1.966;851;1.115;2.092;904;1.188;2.222;1.008;1.214;2.361;1.161;1.200;2.615;1.221;1.394;2.634;1.281;1.353;1.777;854;923
2018;Marzo;14. Moratalaz;5.529;2.475;3.054;113;62;51;362;188;174;492;239;253;477;216;261;547;228;319;565;227;338;754;340;414;800;367;433;812;366;446;607;242;365
2018;Marzo;15. Ciudad Lineal;11.419;5.008;6.411;170;94;76;575;272;303;884;383;501;1.021;437;584;1.152;474;678;1.298;567;731;1.430;646;784;1.705;764;941;1.792;810;982;1.392;561;831
2018;Marzo;16. Hortaleza;8.297;3.591;4.706;121;69;52;387;198;189;670;322;348;737;305;432;858;339;519;1.024;405;619;1.094;440;654;1.148;480;668;1.279;576;703;979;457;522
2018;Marzo;17. Villaverde;11.480;5.168;6.312;295;146;149;813;415;398;1.038;436;602;1.092;461;631;1.242;502;740;1.458;601;857;1.506;661;845;1.522;714;808;1.493;725;768;1.021;507;514
2018;Marzo;18. Villa de Vallecas;7.576;3.253;4.323;189;99;90;512;259;253;698;305;393;870;354;516;952;363;589;1.100;465;635;903;361;542;849;378;471;841;380;461;662;289;373
2018;Marzo;19. Vicálvaro;4.764;2.126;2.638;137;82;55;343;189;154;405;196;209;427;189;238;460;179;281;603;231;372;719;294;425;685;318;367;597;268;329;388;180;208
2018;Marzo;20. San Blas-Canillejas;9.411;4.136;5.275;200;110;90;507;231;276;746;314;432;837;328;509;855;356;499;993;389;604;1.272;547;725;1.428;643;785;1.533;752;781;1.040;466;574
2018;Marzo;21. Barajas;1.965;857;1.108;30;18;12;82;45;37;137;52;85;172;72;100;198;75;123;293;125;168;266;123;143;252;106;146;284;138;146;251;103;148
2018;Abril;Ciudad de Madrid;175.464;78.484;96.980;3.373;1.825;1.548;9.785;4.791;4.994;15.025;6.729;8.296;16.809;7.088;9.721;19.036;7.951;11.085;21.107;8.975;12.132;22.841;10.308;12.533;24.070;10.970;13.100;24.393;11.355;13.038;19.025;8.492;10.533
2018;Abril;01. Centro;7.932;4.144;3.788;78;46;32;248;119;129;667;309;358;847;389;458;998;508;490;1.029;555;474;1.094;595;499;1.085;597;488;1.036;568;468;850;458;392
2018;Abril;02. Arganzuela;7.047;3.100;3.947;67;31;36;304;150;154;606;285;321;708;316;392;776;308;468;826;344;482;878;410;468;987;405;582;1.053;485;568;842;366;476
2018;Abril;03. Retiro;4.324;1.892;2.432;36;19;17;166;87;79;347;165;182;402;174;228;434;194;240;514;228;286;534;224;310;662;279;383;616;262;354;613;260;353
2018;Abril;04. Salamanca;5.016;2.096;2.920;39;20;19;168;93;75;419;191;228;489;201;288;513;212;301;587;239;348;598;255;343;742;289;453;763;324;439;698;272;426
2018;Abril;05. Chamartín;4.776;2.080;2.696;39;23;16;145;83;62;342;156;186;462;199;263;494;193;301;519;213;306;645;274;371;688;295;393;799;356;443;643;288;355
2018;Abril;06. Tetuán;8.611;3.905;4.706;157;94;63;446;221;225;740;301;439;863;334;529;916;381;535;1.012;430;582;1.147;570;577;1.208;583;625;1.183;546;637;939;445;494
2018;Abril;07. Chamberí;5.004;2.188;2.816;34;15;19;190;89;101;501;217;284;564;252;312;528;228;300;579;242;337;606;261;345;681;304;377;715;319;396;606;261;345
2018;Abril;08. Fuencarral-El Pardo;9.355;3.998;5.357;108;61;47;451;223;228;760;351;409;857;359;498;1.078;444;634;1.227;498;729;1.273;552;721;1.165;504;661;1.280;543;737;1.156;463;693
2018;Abril;09. Moncloa-Aravaca;4.303;1.936;2.367;45;21;24;209;101;108;397;171;226;383;171;212;447;185;262;466;190;276;564;261;303;653;305;348;660;329;331;479;202;277
2018;Abril;10. Latina;13.982;6.315;7.667;279;145;134;790;403;387;1.186;528;658;1.350;605;745;1.573;666;907;1.660;715;945;1.897;883;1.014;1.950;896;1.054;1.833;850;983;1.464;624;840
2018;Abril;11. Carabanchel;16.982;7.675;9.307;419;211;208;1.121;535;586;1.415;653;762;1.581;653;928;1.954;826;1.128;2.149;918;1.231;2.314;1.066;1.248;2.264;1.081;1.183;2.111;992;1.119;1.654;740;914
2018;Abril;12. Usera;9.838;4.437;5.401;270;143;127;712;340;372;881;404;477;947;382;565;1.079;451;628;1.252;529;723;1.291;562;729;1.241;583;658;1.238;592;646;927;451;476
2018;Abril;13. Puente de Vallecas;18.951;8.790;10.161;559;320;239;1.356;629;727;1.761;791;970;1.866;791;1.075;2.031;883;1.148;2.137;954;1.183;2.298;1.131;1.167;2.533;1.181;1.352;2.600;1.240;1.360;1.810;870;940
2018;Abril;14. Moratalaz;5.412;2.385;3.027;135;69;66;344;179;165;478;229;249;481;209;272;514;210;304;542;217;325;723;317;406;781;351;430;806;361;445;608;243;365
2018;Abril;15. Ciudad Lineal;11.122;4.840;6.282;171;90;81;553;249;304;856;374;482;963;409;554;1.152;468;684;1.237;528;709;1.377;616;761;1.661;744;917;1.747;789;958;1.405;573;832
2018;Abril;16. Hortaleza;8.113;3.499;4.614;109;67;42;373;189;184;631;300;331;723;292;431;857;340;517;988;382;606;1.067;431;636;1.116;467;649;1.272;572;700;977;459;518
2018;Abril;17. Villaverde;11.303;5.027;6.276;277;136;141;826;421;405;1.032;430;602;1.081;440;641;1.222;489;733;1.437;585;852;1.459;630;829;1.486;687;799;1.464;716;748;1.019;493;526
2018;Abril;18. Villa de Vallecas;7.383;3.143;4.240;186;100;86;487;234;253;692;301;391;829;331;498;930;351;579;1.070;449;621;868;351;517;836;369;467;830;367;463;655;290;365
2018;Abril;19. Vicálvaro;4.750;2.108;2.642;135;77;58;341;190;151;407;198;209;411;185;226;478;182;296;614;243;371;724;284;440;665;307;358;589;259;330;386;183;203
2018;Abril;20. San Blas-Canillejas;9.317;4.092;5.225;202;118;84;483;218;265;755;319;436;835;328;507;859;351;508;971;391;580;1.231;527;704;1.424;644;780;1.507;741;766;1.050;455;595
2018;Abril;21. Barajas;1.943;834;1.109;28;19;9;72;38;34;152;56;96;167;68;99;203;81;122;291;125;166;253;108;145;242;99;143;291;144;147;244;96;148
2018;Mayo;Ciudad de Madrid;170.620;75.685;94.935;3.221;1.711;1.510;9.205;4.502;4.703;14.417;6.346;8.071;16.244;6.737;9.507;18.345;7.615;10.730;20.330;8.521;11.809;22.113;9.897;12.216;23.496;10.651;12.845;24.072;11.136;12.936;19.177;8.569;10.608
2018;Mayo;01. Centro;7.715;4.010;3.705;74;41;33;222;117;105;653;302;351;829;380;449;937;477;460;972;507;465;1.083;592;491;1.063;571;492;1.029;571;458;853;452;401
2018;Mayo;02. Arganzuela;6.917;3.004;3.913;72;35;37;278;135;143;562;256;306;686;294;392;781;314;467;796;330;466;848;394;454;979;387;592;1.058;490;568;857;369;488
2018;Mayo;03. Retiro;4.251;1.864;2.387;39;20;19;144;75;69;352;162;190;401;176;225;426;189;237;492;215;277;514;210;304;646;281;365;629;270;359;608;266;342
2018;Mayo;04. Salamanca;4.904;2.035;2.869;40;24;16;187;99;88;408;187;221;481;198;283;478;196;282;553;216;337;578;244;334;735;295;440;759;313;446;685;263;422
2018;Mayo;05. Chamartín;4.705;2.059;2.646;34;19;15;150;86;64;339;168;171;433;184;249;473;186;287;523;203;320;633;276;357;667;287;380;802;358;444;651;292;359
2018;Mayo;06. Tetuán;8.258;3.719;4.539;141;79;62;394;196;198;724;291;433;848;341;507;850;359;491;947;395;552;1.047;513;534;1.183;565;618;1.177;536;641;947;444;503
2018;Mayo;07. Chamberí;4.916;2.123;2.793;36;17;19;193;89;104;511;207;304;545;238;307;502;216;286;568;238;330;580;245;335;656;288;368;711;316;395;614;269;345
2018;Mayo;08. Fuencarral-El Pardo;9.123;3.884;5.239;91;48;43;414;198;216;715;326;389;821;316;505;1.068;439;629;1.200;509;691;1.228;528;700;1.159;506;653;1.266;540;726;1.161;474;687
2018;Mayo;09. Moncloa-Aravaca;4.177;1.889;2.288;44;17;27;194;106;88;354;155;199;363;151;212;439;188;251;475;194;281;533;249;284;642;295;347;645;324;321;488;210;278
2018;Mayo;10. Latina;13.412;5.973;7.439;265;135;130;738;375;363;1.095;485;610;1.252;540;712;1.480;614;866;1.571;649;922;1.818;834;984;1.916;887;1.029;1.792;817;975;1.485;637;848
2018;Mayo;11. Carabanchel;16.419;7.305;9.114;386;188;198;1.044;476;568;1.346;594;752;1.569;628;941;1.862;762;1.100;2.076;885;1.191;2.224;1.017;1.207;2.198;1.049;1.149;2.056;960;1.096;1.658;746;912
2018;Mayo;12. Usera;9.552;4.269;5.283;273;139;134;661;328;333;827;372;455;906;383;523;1.035;414;621;1.210;497;713;1.276;555;721;1.208;556;652;1.233;586;647;923;439;484
2018;Mayo;13. Puente de Vallecas;18.513;8.472;10.041;536;291;245;1.311;594;717;1.716;764;952;1.829;735;1.094;1.974;835;1.139;2.046;900;1.146;2.274;1.104;1.170;2.480;1.166;1.314;2.533;1.212;1.321;1.814;871;943
2018;Mayo;14. Moratalaz;5.356;2.366;2.990;127;73;54;342;176;166;475;229;246;461;201;260;492;205;287;556;220;336;711;312;399;754;344;410;823;358;465;615;248;367
2018;Mayo;15. Ciudad Lineal;10.671;4.672;5.999;144;88;56;495;225;270;833;365;468;919;396;523;1.092;456;636;1.166;500;666;1.331;596;735;1.584;715;869;1.709;763;946;1.398;568;830
2018;Mayo;16. Hortaleza;7.921;3.358;4.563;110;60;50;354;187;167;583;256;327;694;277;417;865;347;518;945;362;583;1.042;410;632;1.069;426;643;1.265;567;698;994;466;528
2018;Mayo;17. Villaverde;11.071;4.901;6.170;280;139;141;760;385;375;1.019;413;606;1.041;416;625;1.201;488;713;1.390;576;814;1.437;617;820;1.467;664;803;1.429;696;733;1.047;507;540
2018;Mayo;18. Villa de Vallecas;7.221;3.069;4.152;192;105;87;464;226;238;645;283;362;801;325;476;885;327;558;1.031;425;606;877;360;517;827;357;470;829;363;466;670;298;372
2018;Mayo;19. Vicálvaro;4.598;2.005;2.593;127;69;58;318;170;148;399;181;218;402;177;225;454;183;271;581;213;368;692;274;418;650;302;348;579;253;326;396;183;213
2018;Mayo;20. San Blas-Canillejas;9.038;3.933;5.105;188;112;76;473;224;249;720;293;427;799;319;480;842;336;506;968;385;583;1.151;466;685;1.368;617;751;1.463;709;754;1.066;472;594
2018;Mayo;21. Barajas;1.882;775;1.107;22;12;10;69;35;34;141;57;84;164;62;102;209;84;125;264;102;162;236;101;135;245;93;152;285;134;151;247;95;152
2018;Junio;Ciudad de Madrid;166.473;73.039;93.434;3.447;1.823;1.624;8.333;4.119;4.214;13.804;5.993;7.811;15.879;6.453;9.426;17.823;7.284;10.539;19.945;8.266;11.679;21.612;9.587;12.025;22.991;10.283;12.708;23.705;10.836;12.869;18.934;8.395;10.539
2018;Junio;01. Centro;7.612;3.923;3.689;78;46;32;210;110;100;642;307;335;818;365;453;957;498;459;934;474;460;1.064;558;506;1.039;560;479;1.021;567;454;849;438;411
2018;Junio;02. Arganzuela;6.701;2.874;3.827;68;37;31;229;105;124;538;232;306;682;286;396;752;296;456;766;304;462;805;387;418;969;373;596;1.059;499;560;833;355;478
2018;Junio;03. Retiro;4.145;1.785;2.360;33;15;18;121;66;55;331;145;186;411;182;229;430;185;245;453;191;262;526;220;306;621;269;352;619;260;359;600;252;348
2018;Junio;04. Salamanca;4.767;1.951;2.816;37;23;14;144;84;60;379;162;217;466;200;266;480;183;297;550;202;348;567;246;321;711;289;422;755;299;456;678;263;415
2018;Junio;05. Chamartín;4.585;2.024;2.561;39;27;12;125;75;50;303;147;156;439;184;255;445;175;270;515;216;299;634;272;362;658;286;372;783;350;433;644;292;352
2018;Junio;06. Tetuán;8.073;3.604;4.469;136;69;67;371;179;192;684;275;409;805;322;483;838;360;478;953;390;563;1.032;493;539;1.161;553;608;1.164;538;626;929;425;504
2018;Junio;07. Chamberí;4.763;2.030;2.733;33;15;18;151;65;86;458;186;272;511;222;289;522;224;298;549;226;323;582;246;336;652;279;373;705;308;397;600;259;341
2018;Junio;08. Fuencarral-El Pardo;8.893;3.724;5.169;87;49;38;344;168;176;714;346;368;830;310;520;1.017;395;622;1.203;504;699;1.172;495;677;1.149;487;662;1.255;522;733;1.122;448;674
2018;Junio;09. Moncloa-Aravaca;4.089;1.828;2.261;42;21;21;153;77;76;357;160;197;355;147;208;448;184;264;459;182;277;531;254;277;622;285;337;652;315;337;470;203;267
2018;Junio;10. Latina;13.153;5.793;7.360;275;142;133;674;348;326;1.098;471;627;1.244;531;713;1.457;580;877;1.550;652;898;1.766;791;975;1.857;867;990;1.767;787;980;1.465;624;841
2018;Junio;11. Carabanchel;15.978;7.026;8.952;388;194;194;947;440;507;1.306;563;743;1.508;585;923;1.816;747;1.069;2.037;860;1.177;2.164;972;1.192;2.146;1.009;1.137;2.007;917;1.090;1.659;739;920
2018;Junio;12. Usera;9.336;4.104;5.232;298;144;154;573;281;292;816;354;462;918;374;544;986;390;596;1.180;488;692;1.248;540;708;1.197;544;653;1.202;555;647;918;434;484
2018;Junio;13. Puente de Vallecas;18.166;8.257;9.909;646;333;313;1.279;611;668;1.600;693;907;1.814;735;1.079;1.911;804;1.107;2.014;884;1.130;2.187;1.054;1.133;2.409;1.094;1.315;2.465;1.164;1.301;1.841;885;956
2018;Junio;14. Moratalaz;5.181;2.257;2.924;150;79;71;320;171;149;438;212;226;451;198;253;463;185;278;539;205;334;696;300;396;701;319;382;812;345;467;611;243;368
2018;Junio;15. Ciudad Lineal;10.430;4.511;5.919;155;93;62;452;211;241;785;342;443;862;352;510;1.058;421;637;1.159;492;667;1.313;599;714;1.560;684;876;1.709;765;944;1.377;552;825
2018;Junio;16. Hortaleza;7.753;3.257;4.496;120;72;48;340;185;155;567;248;319;665;253;412;820;322;498;946;358;588;1.037;401;636;1.037;412;625;1.232;544;688;989;462;527
2018;Junio;17. Villaverde;10.810;4.704;6.106;296;155;141;681;336;345;980;396;584;1.012;376;636;1.165;457;708;1.351;554;797;1.408;605;803;1.475;644;831;1.421;687;734;1.021;494;527
2018;Junio;18. Villa de Vallecas;7.042;2.942;4.100;202;108;94;413;195;218;621;261;360;802;327;475;876;323;553;1.015;414;601;852;338;514;807;339;468;798;347;451;656;290;366
