Paro registrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado en la Ciudad de Madrid (desde mayo de 2005);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Características;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.2.1. Paro registrado por Distrito, Grupo de edad y Sexo por Mes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Total;Total;Total;16 a 19 años;16 a 19 años;16 a 19 años;20 a 24 años;20 a 24 años;20 a 24 años;25 a 29 años;25 a 29 años;25 a 29 años;30 a 34 años;30 a 34 años;30 a 34 años;35 a 39 años;35 a 39 años;35 a 39 años;40 a 44 años;40 a 44 años;40 a 44 años;45 a 49 años;45 a 49 años;45 a 49 años;50 a 54 años;50 a 54 años;50 a 54 años;55 a 59 años;55 a 59 años;55 a 59 años;60 y más años;60 y más años;60 y más años
;;;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
2018;Enero;Ciudad de Madrid;179.757;81.320;98.437;3.014;1.703;1.311;9.502;4.721;4.781;15.255;6.885;8.370;17.318;7.432;9.886;19.908;8.491;11.417;22.293;9.581;12.712;23.927;10.998;12.929;24.704;11.339;13.365;24.770;11.642;13.128;19.066;8.528;10.538
2018;Enero;01. Centro;8.210;4.255;3.955;49;28;21;252;127;125;713;344;369;921;420;501;1.057;524;533;1.102;584;518;1.103;594;509;1.069;580;489;1.081;584;497;863;470;393
2018;Enero;02. Arganzuela;7.446;3.318;4.128;71;37;34;316;157;159;634;291;343;757;339;418;857;361;496;927;391;536;947;447;500;1.006;414;592;1.075;515;560;856;366;490
2018;Enero;03. Retiro;4.452;1.982;2.470;39;22;17;157;84;73;405;204;201;439;191;248;456;202;254;550;238;312;544;242;302;642;285;357;612;257;355;608;257;351
2018;Enero;04. Salamanca;5.260;2.238;3.022;40;27;13;165;81;84;456;214;242;508;223;285;564;238;326;638;263;375;629;286;343;770;304;466;776;324;452;714;278;436
2018;Enero;05. Chamartín;4.934;2.162;2.772;37;23;14;157;83;74;418;190;228;439;190;249;485;203;282;533;211;322;639;282;357;732;319;413;818;370;448;676;291;385
2018;Enero;06. Tetuán;8.834;4.020;4.814;138;79;59;432;207;225;740;298;442;910;374;536;945;416;529;1.071;462;609;1.202;594;608;1.260;611;649;1.187;552;635;949;427;522
2018;Enero;07. Chamberí;5.251;2.304;2.947;31;18;13;199;95;104;531;229;302;589;243;346;597;281;316;627;261;366;640;284;356;694;312;382;730;319;411;613;262;351
2018;Enero;08. Fuencarral-El Pardo;9.644;4.140;5.504;102;55;47;410;212;198;769;369;400;891;365;526;1.139;459;680;1.319;537;782;1.358;600;758;1.197;530;667;1.298;557;741;1.161;456;705
2018;Enero;09. Moncloa-Aravaca;4.351;1.948;2.403;45;21;24;180;83;97;385;157;228;412;182;230;471;204;267;499;219;280;557;260;297;649;291;358;667;324;343;486;207;279
2018;Enero;10. Latina;14.307;6.600;7.707;223;111;112;787;433;354;1.165;526;639;1.398;625;773;1.608;723;885;1.730;749;981;2.043;971;1.072;2.034;946;1.088;1.866;883;983;1.453;633;820
2018;Enero;11. Carabanchel;17.177;7.808;9.369;364;206;158;1.055;483;572;1.427;648;779;1.616;683;933;1.956;817;1.139;2.282;981;1.301;2.380;1.145;1.235;2.345;1.110;1.235;2.135;995;1.140;1.617;740;877
2018;Enero;12. Usera;9.886;4.578;5.308;240;139;101;664;347;317;868;399;469;938;399;539;1.116;465;651;1.244;539;705;1.356;608;748;1.281;625;656;1.254;614;640;925;443;482
2018;Enero;13. Puente de Vallecas;19.398;9.164;10.234;513;296;217;1.317;638;679;1.826;833;993;1.912;818;1.094;2.144;948;1.196;2.249;1.039;1.210;2.404;1.190;1.214;2.600;1.219;1.381;2.647;1.327;1.320;1.786;856;930
2018;Enero;14. Moratalaz;5.436;2.424;3.012;116;70;46;343;179;164;440;215;225;483;221;262;527;222;305;585;234;351;753;332;421;786;356;430;797;353;444;606;242;364
