año;mes;fecha;distrito;total;total_hombres;total_mujeres;total_16-19;total_16-19_hombres;total_16-19_mujeres;total_20-24;total_20-24_hombres;total_20-24_mujeres;total_25-29;total_25-29_hombres;total_25-29_mujeres;total_30-34;total_30-34_hombres;total_30-34_mujeres;total_35-39;total_35-39_hombres;total_35-39_mujeres;total_40-44;total_40-44_hombres;total_40-44_mujeres;total_45-49;total_45-49_hombres;total_45-49_mujeres;total_50-54;total_50-54_hombres;total_50-54_mujeres;total_55-59;total_55-59_hombres;total_55-59_mujeres;total_60omas;total_60omas_hombres;total_60omas_mujeres
2013;Febrero;Febrero 2013;03. Retiro;6.751;3.121;3.630;48;28;20;265;143;122;746;347;399;894;434;460;936;429;507;883;424;459;868;392;476;756;331;425;749;329;420;606;264;342
2013;Febrero;Febrero 2013;04. Salamanca;7.945;3.567;4.378;44;30;14;351;178;173;817;369;448;1.065;489;576;1.040;451;589;1.005;475;530;1.074;471;603;965;423;542;847;361;486;737;320;417
2013;Febrero;Febrero 2013;05. Chamartín;7.226;3.311;3.915;34;17;17;258;136;122;712;340;372;882;416;466;1.004;466;538;972;430;542;964;448;516;919;402;517;803;350;453;678;306;372
2013;Febrero;Febrero 2013;06. Tetuán;12.655;6.329;6.326;139;78;61;669;316;353;1.270;602;668;1.728;839;889;1.794;872;922;1.739;907;832;1.776;938;838;1.481;758;723;1.244;621;623;815;398;417
2013;Febrero;Febrero 2013;07. Chamberí;8.069;3.750;4.319;43;20;23;315;124;191;917;432;485;1.230;594;636;1.167;540;627;1.029;478;551;962;466;496;910;428;482;839;384;455;657;284;373
2013;Febrero;Febrero 2013;08. Fuencarral-El Pardo;14.151;6.725;7.426;140;72;68;747;373;374;1.452;724;728;1.884;877;1.007;2.176;977;1.199;1.905;941;964;1.724;832;892;1.499;692;807;1.521;722;799;1.103;515;588
2013;Febrero;Febrero 2013;09. Moncloa-Aravaca;6.470;3.080;3.390;66;37;29;347;163;184;692;318;374;870;425;445;877;405;472;853;410;443;831;405;426;784;385;399;669;302;367;481;230;251
2013;Febrero;Febrero 2013;10. Latina;20.950;10.753;10.197;281;156;125;1.458;761;697;2.146;1.099;1.047;2.688;1.393;1.295;3.072;1.611;1.461;3.061;1.593;1.468;2.820;1.455;1.365;2.259;1.173;1.086;1.938;943;995;1.227;569;658
2013;Febrero;Febrero 2013;11. Carabanchel;24.275;12.555;11.720;379;194;185;1.626;840;786;2.325;1.203;1.122;3.250;1.661;1.589;3.749;1.943;1.806;3.577;1.893;1.684;3.281;1.779;1.502;2.634;1.344;1.290;2.117;1.074;1.043;1.337;624;713
2013;Febrero;Febrero 2013;12. Usera;14.011;7.197;6.814;298;164;134;1.015;496;519;1.387;681;706;1.726;850;876;2.103;1.056;1.047;2.097;1.134;963;1.816;969;847;1.598;860;738;1.243;637;606;728;350;378
2013;Febrero;Febrero 2013;13. Puente de Vallecas;26.638;14.258;12.380;654;381;273;2.204;1.175;1.029;2.756;1.416;1.340;3.362;1.743;1.619;3.624;1.993;1.631;3.596;1.973;1.623;3.621;1.977;1.644;3.152;1.694;1.458;2.410;1.275;1.135;1.259;631;628
2013;Febrero;Febrero 2013;14. Moratalaz;7.662;3.778;3.884;131;72;59;540;280;260;758;390;368;848;407;441;999;496;503;1.089;541;548;1.141;561;580;899;425;474;763;360;403;494;246;248
2013;Febrero;Febrero 2013;15. Ciudad Lineal;16.554;8.356;8.198;160;100;60;899;481;418;1.521;731;790;2.021;1.037;984;2.305;1.178;1.127;2.317;1.188;1.129;2.344;1.210;1.134;2.026;989;1.037;1.792;891;901;1.169;551;618
2013;Febrero;Febrero 2013;16. Hortaleza;11.474;5.510;5.964;132;77;55;733;398;335;1.042;517;525;1.404;664;740;1.650;763;887;1.649;764;885;1.523;690;833;1.355;670;685;1.116;546;570;870;421;449
2013;Febrero;Febrero 2013;17. Villaverde;16.217;8.594;7.623;336;188;148;1.324;675;649;1.556;808;748;2.071;1.115;956;2.424;1.279;1.145;2.419;1.260;1.159;2.209;1.201;1.008;1.839;1.021;818;1.338;711;627;701;336;365
2013;Febrero;Febrero 2013;18. Villa de Vallecas;10.145;4.898;5.247;210;117;93;805;420;385;1.079;513;566;1.526;681;845;1.791;877;914;1.345;668;677;1.143;574;569;939;438;501;807;377;430;500;233;267
2013;Febrero;Febrero 2013;19. Vicálvaro;6.351;3.166;3.185;153;93;60;464;241;223;517;268;249;784;394;390;1.028;449;579;1.024;504;520;954;477;477;701;344;357;482;265;217;244;131;113
2013;Febrero;Febrero 2013;20. San Blas-Canillejas;12.994;6.619;6.375;205;118;87;798;419;379;1.169;591;578;1.425;712;713;1.730;852;878;1.943;922;1.021;1.995;1.059;936;1.682;900;782;1.348;705;643;699;341;358
2013;Febrero;Febrero 2013;21. Barajas;2.833;1.329;1.504;27;14;13;140;68;72;278;128;150;381;181;200;443;192;251;403;183;220;347;163;184;305;155;150;261;120;141;248;125;123
2013;Marzo;Marzo 2013;Ciudad de Madrid;257.657;129.300;128.357;3.616;2.013;1.603;16.040;8.226;7.814;25.523;12.737;12.786;33.591;16.617;16.974;37.409;18.661;18.748;36.286;18.420;17.866;34.690;17.839;16.851;29.559;14.942;14.617;24.923;12.291;12.632;16.020;7.554;8.466
2013;Marzo;Marzo 2013;01. Centro;12.265;6.500;5.765;59;39;20;464;231;233;1.221;617;604;1.943;974;969;1.963;1.051;912;1.687;916;771;1.649;922;727;1.373;747;626;1.157;624;533;749;379;370
2013;Marzo;Marzo 2013;02. Arganzuela;11.168;5.286;5.882;70;41;29;564;280;284;1.162;548;614;1.583;727;856;1.611;778;833;1.489;752;737;1.469;695;774;1.281;616;665;1.186;506;680;753;343;410
2013;Marzo;Marzo 2013;03. Retiro;6.782;3.158;3.624;50;30;20;278;148;130;751;364;387;899;438;461;921;423;498;876;415;461;878;401;477;764;335;429;753;335;418;612;269;343
2013;Marzo;Marzo 2013;04. Salamanca;7.966;3.563;4.403;45;32;13;350;186;164;816;367;449;1.052;475;577;1.049;450;599;1.004;471;533;1.074;471;603;970;422;548;868;372;496;738;317;421
2013;Marzo;Marzo 2013;05. Chamartín;7.253;3.292;3.961;31;17;14;258;137;121;722;344;378;900;411;489;995;469;526;979;435;544;966;433;533;931;408;523;805;341;464;666;297;369
2013;Marzo;Marzo 2013;06. Tetuán;12.760;6.397;6.363;152;87;65;689;333;356;1.247;602;645;1.737;847;890;1.815;888;927;1.763;910;853;1.776;940;836;1.473;746;727;1.291;647;644;817;397;420
2013;Marzo;Marzo 2013;07. Chamberí;8.076;3.750;4.326;45;20;25;322;133;189;901;429;472;1.245;595;650;1.143;533;610;1.043;472;571;987;484;503;907;426;481;859;392;467;624;266;358
2013;Marzo;Marzo 2013;08. Fuencarral-El Pardo;14.215;6.751;7.464;138;70;68;732;347;385;1.466;737;729;1.855;883;972;2.186;992;1.194;1.952;947;1.005;1.735;844;891;1.514;700;814;1.543;732;811;1.094;499;595
2013;Marzo;Marzo 2013;09. Moncloa-Aravaca;6.505;3.128;3.377;69;38;31;337;162;175;697;330;367;892;438;454;855;398;457;850;407;443;824;401;423;791;392;399;703;329;374;487;233;254
2013;Marzo;Marzo 2013;10. Latina;21.084;10.886;10.198;273;145;128;1.450;767;683;2.115;1.095;1.020;2.707;1.431;1.276;3.102;1.633;1.469;3.096;1.612;1.484;2.877;1.497;1.380;2.282;1.181;1.101;1.944;943;1.001;1.238;582;656
2013;Marzo;Marzo 2013;11. Carabanchel;24.216;12.542;11.674;382;207;175;1.611;833;778;2.317;1.190;1.127;3.247;1.655;1.592;3.717;1.932;1.785;3.583;1.874;1.709;3.265;1.781;1.484;2.644;1.372;1.272;2.117;1.076;1.041;1.333;622;711
2013;Marzo;Marzo 2013;12. Usera;14.126;7.272;6.854;286;144;142;1.064;532;532;1.378;696;682;1.748;853;895;2.114;1.063;1.051;2.115;1.131;984;1.825;987;838;1.626;869;757;1.253;650;603;717;347;370
2013;Marzo;Marzo 2013;13. Puente de Vallecas;26.510;14.223;12.287;625;357;268;2.155;1.128;1.027;2.731;1.420;1.311;3.375;1.776;1.599;3.566;1.959;1.607;3.582;1.974;1.608;3.640;1.994;1.646;3.160;1.701;1.459;2.420;1.293;1.127;1.256;621;635
2013;Marzo;Marzo 2013;14. Moratalaz;7.691;3.814;3.877;132;70;62;526;271;255;765;404;361;842;411;431;1.011;495;516;1.076;546;530;1.158;580;578;918;436;482;772;364;408;491;237;254
2013;Marzo;Marzo 2013;15. Ciudad Lineal;16.626;8.366;8.260;153;94;59;901;475;426;1.505;732;773;2.030;1.030;1.000;2.331;1.185;1.146;2.321;1.193;1.128;2.353;1.214;1.139;2.034;986;1.048;1.826;905;921;1.172;552;620
2013;Marzo;Marzo 2013;16. Hortaleza;11.478;5.512;5.966;141;87;54;733;391;342;1.045;520;525;1.389;666;723;1.632;742;890;1.680;778;902;1.527;690;837;1.338;675;663;1.131;550;581;862;413;449
2013;Marzo;Marzo 2013;17. Villaverde;16.525;8.786;7.739;364;199;165;1.370;702;668;1.599;818;781;2.080;1.097;983;2.457;1.301;1.156;2.438;1.280;1.158;2.259;1.258;1.001;1.894;1.056;838;1.362;734;628;702;341;361
2013;Marzo;Marzo 2013;18. Villa de Vallecas;10.060;4.856;5.204;202;112;90;803;427;376;1.060;502;558;1.520;649;871;1.731;841;890;1.342;679;663;1.140;572;568;944;448;496;811;386;425;507;240;267
2013;Marzo;Marzo 2013;19. Vicálvaro;6.362;3.201;3.161;149;88;61;470;253;217;530;271;259;752;376;376;1.015;459;556;1.054;516;538;965;489;476;689;346;343;497;272;225;241;131;110
2013;Marzo;Marzo 2013;20. San Blas-Canillejas;13.151;6.685;6.466;222;120;102;816;421;395;1.202;609;593;1.413;696;717;1.770;889;881;1.975;946;1.029;1.967;1.017;950;1.713;926;787;1.362;714;648;711;347;364
2013;Marzo;Marzo 2013;21. Barajas;2.838;1.332;1.506;28;16;12;147;69;78;293;142;151;382;189;193;425;180;245;381;166;215;356;169;187;313;154;159;263;126;137;250;121;129
2013;Abril;Abril 2013;Ciudad de Madrid;256.650;128.295;128.355;3.673;2.047;1.626;15.958;8.088;7.870;24.999;12.411;12.588;32.948;16.255;16.693;37.033;18.362;18.671;36.396;18.400;17.996;34.723;17.878;16.845;29.796;14.994;14.802;25.091;12.285;12.806;16.033;7.575;8.458
2013;Abril;Abril 2013;01. Centro;12.113;6.397;5.716;63;40;23;447;213;234;1.192;601;591;1.860;925;935;1.938;1.035;903;1.661;889;772;1.667;939;728;1.374;746;628;1.156;625;531;755;384;371
2013;Abril;Abril 2013;02. Arganzuela;11.134;5.253;5.881;77;46;31;574;280;294;1.138;553;585;1.551;710;841;1.579;749;830;1.510;764;746;1.476;681;795;1.283;623;660;1.188;506;682;758;341;417
2013;Abril;Abril 2013;03. Retiro;6.619;3.068;3.551;58;36;22;259;143;116;679;331;348;883;428;455;874;398;476;888;415;473;877;404;473;758;329;429;754;332;422;589;252;337
2013;Abril;Abril 2013;04. Salamanca;7.916;3.572;4.344;46;30;16;335;174;161;808;379;429;1.044;479;565;1.035;449;586;1.008;478;530;1.061;478;583;987;422;565;875;373;502;717;310;407
2013;Abril;Abril 2013;05. Chamartín;7.308;3.310;3.998;33;19;14;267;127;140;687;324;363;893;413;480;1.023;485;538;1.009;448;561;961;436;525;950;421;529;806;338;468;679;299;380
2013;Abril;Abril 2013;06. Tetuán;12.693;6.334;6.359;145;82;63;665;320;345;1.227;571;656;1.699;821;878;1.812;889;923;1.754;901;853;1.791;949;842;1.505;755;750;1.290;647;643;805;399;406
2013;Abril;Abril 2013;07. Chamberí;7.932;3.641;4.291;41;21;20;333;148;185;869;389;480;1.159;544;615;1.122;514;608;1.040;484;556;978;469;509;922;429;493;834;378;456;634;265;369
2013;Abril;Abril 2013;08. Fuencarral-El Pardo;14.192;6.731;7.461;138;67;71;764;377;387;1.439;720;719;1.846;869;977;2.187;981;1.206;1.956;959;997;1.749;854;895;1.516;689;827;1.513;722;791;1.084;493;591
2013;Abril;Abril 2013;09. Moncloa-Aravaca;6.474;3.105;3.369;71;39;32;338;156;182;657;320;337;867;428;439;824;384;440;872;407;465;837;409;428;806;405;401;717;326;391;485;231;254
2013;Abril;Abril 2013;10. Latina;20.918;10.751;10.167;281;151;130;1.439;737;702;2.068;1.051;1.017;2.675;1.410;1.265;3.053;1.618;1.435;3.047;1.566;1.481;2.869;1.503;1.366;2.281;1.189;1.092;1.961;943;1.018;1.244;583;661
2013;Abril;Abril 2013;11. Carabanchel;24.169;12.461;11.708;375;204;171;1.607;815;792;2.272;1.159;1.113;3.201;1.602;1.599;3.650;1.885;1.765;3.589;1.894;1.695;3.304;1.806;1.498;2.701;1.390;1.311;2.144;1.090;1.054;1.326;616;710
2013;Abril;Abril 2013;12. Usera;14.084;7.221;6.863;283;142;141;1.024;508;516;1.362;695;667;1.690;807;883;2.121;1.052;1.069;2.127;1.123;1.004;1.828;999;829;1.646;883;763;1.270;661;609;733;351;382
2013;Abril;Abril 2013;13. Puente de Vallecas;26.573;14.230;12.343;625;363;262;2.149;1.121;1.028;2.724;1.406;1.318;3.367;1.777;1.590;3.586;1.961;1.625;3.593;1.961;1.632;3.638;2.008;1.630;3.188;1.710;1.478;2.451;1.299;1.152;1.252;624;628
2013;Abril;Abril 2013;14. Moratalaz;7.706;3.798;3.908;134;73;61;545;284;261;737;379;358;844;420;424;993;473;520;1.088;554;534;1.153;566;587;928;441;487;793;368;425;491;240;251
2013;Abril;Abril 2013;15. Ciudad Lineal;16.520;8.226;8.294;167;102;65;869;454;415;1.437;675;762;2.009;1.025;984;2.282;1.134;1.148;2.331;1.192;1.139;2.359;1.215;1.144;2.015;971;1.044;1.853;898;955;1.198;560;638
2013;Abril;Abril 2013;16. Hortaleza;11.515;5.558;5.957;144;84;60;713;381;332;1.058;539;519;1.365;663;702;1.664;774;890;1.712;795;917;1.502;689;813;1.340;651;689;1.153;556;597;864;426;438
