año;mes;fecha;distrito;total;total_hombres;total_mujeres;total_16-19;total_16-19_hombres;total_16-19_mujeres;total_20-24;total_20-24_hombres;total_20-24_mujeres;total_25-29;total_25-29_hombres;total_25-29_mujeres;total_30-34;total_30-34_hombres;total_30-34_mujeres;total_35-39;total_35-39_hombres;total_35-39_mujeres;total_40-44;total_40-44_hombres;total_40-44_mujeres;total_45-49;total_45-49_hombres;total_45-49_mujeres;total_50-54;total_50-54_hombres;total_50-54_mujeres;total_55-59;total_55-59_hombres;total_55-59_mujeres;total_60omas;total_60omas_hombres;total_60omas_mujeres
2014;Mayo;Mayo 2014;12. Usera;12.796;6.462;6.334;240;130;110;836;421;415;1.124;552;572;1.374;651;723;1.751;854;897;1.888;937;951;1.843;960;883;1.570;833;737;1.367;724;643;803;400;403
2014;Mayo;Mayo 2014;13. Puente de Vallecas;24.923;13.186;11.737;522;301;221;1.821;952;869;2.271;1.123;1.148;2.821;1.393;1.428;3.254;1.713;1.541;3.187;1.749;1.438;3.575;1.955;1.620;3.310;1.753;1.557;2.732;1.496;1.236;1.430;751;679
2014;Mayo;Mayo 2014;14. Moratalaz;7.121;3.482;3.639;109;69;40;446;254;192;561;275;286;700;356;344;851;389;462;1.027;489;538;1.061;511;550;965;457;508;870;437;433;531;245;286
2014;Mayo;Mayo 2014;15. Ciudad Lineal;15.308;7.588;7.720;157;96;61;713;371;342;1.201;588;613;1.598;773;825;1.989;1.023;966;2.050;990;1.060;2.221;1.128;1.093;2.135;1.069;1.066;1.960;951;1.009;1.284;599;685
2014;Mayo;Mayo 2014;16. Hortaleza;10.494;4.940;5.554;114;70;44;556;304;252;831;402;429;1.039;473;566;1.467;658;809;1.503;671;832;1.478;693;785;1.387;636;751;1.247;607;640;872;426;446
2014;Mayo;Mayo 2014;17. Villaverde;15.129;7.798;7.331;349;193;156;1.116;564;552;1.283;611;672;1.657;827;830;2.110;1.076;1.034;2.234;1.114;1.120;2.172;1.168;1.004;1.923;1.057;866;1.478;799;679;807;389;418
2014;Mayo;Mayo 2014;18. Villa de Vallecas;9.370;4.442;4.928;160;95;65;666;349;317;851;396;455;1.174;519;655;1.609;733;876;1.326;632;694;1.123;552;571;1.019;480;539;906;451;455;536;235;301
2014;Mayo;Mayo 2014;19. Vicálvaro;6.038;2.965;3.073;115;53;62;404;236;168;423;223;200;659;322;337;888;398;490;1.005;443;562;958;461;497;708;377;331;601;314;287;277;138;139
2014;Mayo;Mayo 2014;20. San Blas-Canillejas;12.267;6.176;6.091;172;94;78;720;408;312;954;449;505;1.180;591;589;1.524;748;776;1.711;768;943;1.872;984;888;1.717;926;791;1.570;808;762;847;400;447
2014;Mayo;Mayo 2014;21. Barajas;2.644;1.237;1.407;20;15;5;117;56;61;190;84;106;296;142;154;350;162;188;371;161;210;348;170;178;337;153;184;325;154;171;290;140;150
2014;Junio;Junio 2014;Ciudad de Madrid;228.904;112.271;116.633;3.284;1.823;1.461;11.695;6.152;5.543;18.898;9.014;9.884;25.454;12.136;13.318;30.983;14.906;16.077;31.919;15.551;16.368;32.721;16.494;16.227;29.821;14.930;14.891;26.962;13.199;13.763;17.167;8.066;9.101
2014;Junio;Junio 2014;01. Centro;10.443;5.628;4.815;54;33;21;301;156;145;817;407;410;1.467;747;720;1.524;804;720;1.485;832;653;1.457;819;638;1.354;760;594;1.188;671;517;796;399;397
2014;Junio;Junio 2014;02. Arganzuela;9.742;4.612;5.130;62;31;31;339;175;164;809;391;418;1.224;596;628;1.326;608;718;1.268;612;656;1.371;649;722;1.275;637;638;1.237;523;714;831;390;441
2014;Junio;Junio 2014;03. Retiro;5.801;2.651;3.150;30;15;15;193;102;91;468;229;239;677;308;369;740;334;406;775;362;413;776;361;415;750;333;417;786;358;428;606;249;357
2014;Junio;Junio 2014;04. Salamanca;6.695;2.942;3.753;36;19;17;193;110;83;572;264;308;785;352;433;864;378;486;836;385;451;887;378;509;970;427;543;873;345;528;679;284;395
2014;Junio;Junio 2014;05. Chamartín;6.280;2.815;3.465;37;25;12;191;116;75;485;224;261;655;324;331;791;376;415;817;344;473;852;378;474;931;399;532;873;351;522;648;278;370
2014;Junio;Junio 2014;06. Tetuán;11.477;5.595;5.882;175;93;82;533;256;277;935;420;515;1.338;632;706;1.575;777;798;1.527;750;777;1.684;887;797;1.493;723;770;1.345;639;706;872;418;454
2014;Junio;Junio 2014;07. Chamberí;6.855;3.101;3.754;49;18;31;199;106;93;644;290;354;926;408;518;931;414;517;868;396;472;891;420;471;877;415;462;844;359;485;626;275;351
2014;Junio;Junio 2014;08. Fuencarral-El Pardo;12.600;5.844;6.756;136;83;53;505;261;244;1.065;505;560;1.375;603;772;1.832;804;1.028;1.794;878;916;1.647;764;883;1.489;717;772;1.584;691;893;1.173;538;635
2014;Junio;Junio 2014;09. Moncloa-Aravaca;5.657;2.648;3.009;39;18;21;197;97;100;463;201;262;636;308;328;705;302;403;746;362;384;833;390;443;808;395;413;737;354;383;493;221;272
2014;Junio;Junio 2014;10. Latina;18.531;9.391;9.140;288;157;131;952;492;460;1.624;816;808;2.032;1.039;993;2.525;1.312;1.213;2.710;1.373;1.337;2.686;1.399;1.287;2.301;1.163;1.138;2.116;1.026;1.090;1.297;614;683
2014;Junio;Junio 2014;11. Carabanchel;21.631;10.877;10.754;385;207;178;1.229;633;596;1.701;816;885;2.418;1.193;1.225;3.078;1.519;1.559;3.195;1.598;1.597;3.154;1.680;1.474;2.687;1.390;1.297;2.321;1.166;1.155;1.463;675;788
2014;Junio;Junio 2014;12. Usera;12.441;6.216;6.225;220;126;94;801;392;409;1.083;517;566;1.267;583;684;1.707;814;893;1.851;907;944;1.795;939;856;1.552;818;734;1.376;730;646;789;390;399
2014;Junio;Junio 2014;13. Puente de Vallecas;24.213;12.612;11.601;506;275;231;1.711;902;809;2.199;1.053;1.146;2.668;1.282;1.386;3.123;1.612;1.511;3.115;1.681;1.434;3.503;1.894;1.609;3.244;1.711;1.533;2.725;1.465;1.260;1.419;737;682
2014;Junio;Junio 2014;14. Moratalaz;6.936;3.367;3.569;111;68;43;425;247;178;540;262;278;681;341;340;782;354;428;972;456;516;1.070;509;561;960;451;509;858;428;430;537;251;286
2014;Junio;Junio 2014;15. Ciudad Lineal;14.974;7.383;7.591;184;110;74;651;359;292;1.127;550;577;1.532;728;804;1.926;973;953;2.010;985;1.025;2.210;1.103;1.107;2.079;1.013;1.066;1.955;954;1.001;1.300;608;692
2014;Junio;Junio 2014;16. Hortaleza;10.365;4.820;5.545;110;68;42;531;273;258;810;382;428;1.015;455;560;1.413;620;793;1.462;637;825;1.486;687;799;1.393;644;749;1.265;621;644;880;433;447
2014;Junio;Junio 2014;17. Villaverde;14.717;7.541;7.176;353;201;152;1.037;534;503;1.229;584;645;1.581;785;796;2.009;1.016;993;2.146;1.066;1.080;2.160;1.120;1.040;1.915;1.039;876;1.498;815;683;789;381;408
2014;Junio;Junio 2014;18. Villa de Vallecas;9.161;4.279;4.882;187;105;82;589;319;270;844;392;452;1.140;487;653;1.528;662;866;1.287;595;692;1.121;553;568;1.021;472;549;904;453;451;540;241;299
2014;Junio;Junio 2014;19. Vicálvaro;5.852;2.830;3.022;117;54;63;361;209;152;412;220;192;630;285;345;817;371;446;999;429;570;949;459;490;687;354;333;592;306;286;288;143;145
2014;Junio;Junio 2014;20. San Blas-Canillejas;11.978;5.933;6.045;187;103;84;659;364;295;884;415;469;1.123;547;576;1.458;700;758;1.695;742;953;1.847;943;904;1.713;926;787;1.557;786;771;855;407;448
2014;Junio;Junio 2014;21. Barajas;2.555;1.186;1.369;18;14;4;98;49;49;187;76;111;284;133;151;329;156;173;361;161;200;342;162;180;322;143;179;328;158;170;286;134;152
2014;Julio;Julio 2014;Ciudad de Madrid;231.333;111.654;119.679;3.604;1.997;1.607;12.497;6.472;6.025;19.265;8.994;10.271;25.514;11.909;13.605;31.213;14.664;16.549;32.043;15.288;16.755;32.914;16.255;16.659;29.931;14.851;15.080;27.131;13.198;13.933;17.221;8.026;9.195
2014;Julio;Julio 2014;01. Centro;10.575;5.648;4.927;72;47;25;323;163;160;815;399;416;1.438;723;715;1.565;813;752;1.489;810;679;1.514;855;659;1.363;775;588;1.191;670;521;805;393;412
2014;Julio;Julio 2014;02. Arganzuela;10.048;4.671;5.377;65;32;33;388;194;194;840;392;448;1.262;600;662;1.397;632;765;1.275;611;664;1.432;665;767;1.296;631;665;1.239;519;720;854;395;459
2014;Julio;Julio 2014;03. Retiro;5.945;2.664;3.281;35;17;18;201;108;93;491;226;265;690;317;373;776;329;447;783;364;419;803;355;448;754;342;412;801;349;452;611;257;354
2014;Julio;Julio 2014;04. Salamanca;6.788;2.931;3.857;38;24;14;228;120;108;570;255;315;801;355;446;891;385;506;799;361;438;897;371;526;982;430;552;897;351;546;685;279;406
2014;Julio;Julio 2014;05. Chamartín;6.460;2.875;3.585;42;28;14;213;124;89;488;219;269;709;333;376;807;374;433;838;359;479;884;388;496;931;397;534;875;366;509;673;287;386
2014;Julio;Julio 2014;06. Tetuán;11.529;5.578;5.951;197;99;98;553;274;279;942;430;512;1.325;621;704;1.571;751;820;1.543;755;788;1.666;873;793;1.500;726;774;1.360;646;714;872;403;469
2014;Julio;Julio 2014;07. Chamberí;7.057;3.118;3.939;52;18;34;215;106;109;678;290;388;918;397;521;984;440;544;891;383;508;919;419;500;905;413;492;854;369;485;641;283;358
2014;Julio;Julio 2014;08. Fuencarral-El Pardo;12.864;5.850;7.014;151;88;63;542;274;268;1.079;494;585;1.454;624;830;1.862;797;1.065;1.838;863;975;1.676;766;910;1.497;721;776;1.586;685;901;1.179;538;641
2014;Julio;Julio 2014;09. Moncloa-Aravaca;5.806;2.679;3.127;49;23;26;235;124;111;488;202;286;673;314;359;715;301;414;766;362;404;833;391;442;804;382;422;742;351;391;501;229;272
2014;Julio;Julio 2014;10. Latina;18.641;9.294;9.347;298;165;133;1.031;524;507;1.647;803;844;2.034;1.027;1.007;2.493;1.243;1.250;2.713;1.349;1.364;2.701;1.383;1.318;2.315;1.151;1.164;2.117;1.046;1.071;1.292;603;689
2014;Julio;Julio 2014;11. Carabanchel;21.666;10.727;10.939;394;212;182;1.303;666;637;1.721;806;915;2.369;1.153;1.216;3.052;1.491;1.561;3.232;1.573;1.659;3.110;1.601;1.509;2.684;1.359;1.325;2.364;1.202;1.162;1.437;664;773
2014;Julio;Julio 2014;12. Usera;12.373;6.054;6.319;236;133;103;820;395;425;1.060;497;563;1.257;563;694;1.669;758;911;1.833;875;958;1.809;937;872;1.547;805;742;1.369;714;655;773;377;396
2014;Julio;Julio 2014;13. Puente de Vallecas;24.104;12.369;11.735;570;300;270;1.785;938;847;2.186;1.042;1.144;2.590;1.200;1.390;3.056;1.542;1.514;3.128;1.667;1.461;3.461;1.825;1.636;3.203;1.681;1.522;2.710;1.442;1.268;1.415;732;683
2014;Julio;Julio 2014;14. Moratalaz;7.055;3.341;3.714;122;77;45;476;258;218;569;276;293;677;319;358;806;360;446;932;427;505;1.069;498;571;976;450;526;893;435;458;535;241;294
2014;Julio;Julio 2014;15. Ciudad Lineal;15.247;7.401;7.846;211;122;89;704;379;325;1.210;579;631;1.528;707;821;1.965;975;990;1.995;961;1.034;2.241;1.106;1.135;2.106;1.023;1.083;1.980;934;1.046;1.307;615;692
2014;Julio;Julio 2014;16. Hortaleza;10.587;4.884;5.703;134;81;53;571;297;274;851;406;445;1.054;464;590;1.455;648;807;1.487;630;857;1.488;673;815;1.382;629;753;1.285;628;657;880;428;452
2014;Julio;Julio 2014;17. Villaverde;14.640;7.382;7.258;368;213;155;1.129;561;568;1.241;565;676;1.529;740;789;1.968;973;995;2.115;1.023;1.092;2.110;1.081;1.029;1.911;1.033;878;1.484;815;669;785;378;407
2014;Julio;Julio 2014;18. Villa de Vallecas;9.273;4.273;5.000;202;115;87;617;338;279;852;385;467;1.182;491;691;1.537;661;876;1.297;581;716;1.114;530;584;1.030;477;553;899;448;451;543;247;296
2014;Julio;Julio 2014;19. Vicálvaro;5.939;2.774;3.165;135;63;72;387;211;176;430;220;210;603;265;338;836;360;476;1.020;423;597;960;447;513;686;348;338;599;300;299;283;137;146
2014;Julio;Julio 2014;20. San Blas-Canillejas;12.088;5.929;6.159;209;121;88;668;366;302;914;424;490;1.143;565;578;1.457;681;776;1.674;728;946;1.887;940;947;1.726;926;800;1.553;776;777;857;402;455
2014;Julio;Julio 2014;21. Barajas;2.648;1.212;1.436;24;19;5;108;52;56;193;84;109;278;131;147;351;150;201;395;183;212;340;151;189;333;152;181;333;152;181;293;138;155
2014;Agosto;Agosto 2014;Ciudad de Madrid;232.681;111.910;120.771;3.582;1.962;1.620;12.808;6.538;6.270;19.597;9.015;10.582;25.741;11.937;13.804;31.281;14.666;16.615;32.226;15.361;16.865;33.051;16.304;16.747;30.058;14.938;15.120;27.131;13.183;13.948;17.206;8.006;9.200
2014;Agosto;Agosto 2014;01. Centro;10.644;5.674;4.970;75;45;30;310;154;156;814;401;413;1.419;706;713;1.615;854;761;1.509;812;697;1.512;844;668;1.385;785;600;1.188;666;522;817;407;410
2014;Agosto;Agosto 2014;02. Arganzuela;10.082;4.642;5.440;67;32;35;409;193;216;854;395;459;1.267;586;681;1.400;644;756;1.305;601;704;1.403;648;755;1.293;629;664;1.236;522;714;848;392;456
2014;Agosto;Agosto 2014;03. Retiro;6.098;2.710;3.388;39;18;21;222;120;102;523;229;294;721;333;388;792;334;458;789;372;417;807;355;452;766;337;429;819;359;460;620;253;367
2014;Agosto;Agosto 2014;04. Salamanca;6.867;2.949;3.918;34;23;11;233;126;107;571;250;321;821;361;460;905;380;525;804;353;451;913;384;529;996;436;560;899;348;551;691;288;403
2014;Agosto;Agosto 2014;05. Chamartín;6.458;2.869;3.589;35;22;13;215;127;88;476;212;264;707;322;385;813;378;435;830;368;462;901;404;497;943;402;541;866;350;516;672;284;388
2014;Agosto;Agosto 2014;06. Tetuán;11.643;5.585;6.058;193;100;93;577;274;303;976;435;541;1.376;642;734;1.593;757;836;1.526;733;793;1.678;889;789;1.496;714;782;1.365;646;719;863;395;468
2014;Agosto;Agosto 2014;07. Chamberí;7.034;3.092;3.942;47;20;27;241;113;128;666;289;377;916;383;533;973;431;542;898;393;505;917;413;504;904;413;491;845;355;490;627;282;345
2014;Agosto;Agosto 2014;08. Fuencarral-El Pardo;12.893;5.843;7.050;138;78;60;584;287;297;1.097;498;599;1.479;637;842;1.827;791;1.036;1.842;851;991;1.671;772;899;1.526;723;803;1.572;684;888;1.157;522;635
2014;Agosto;Agosto 2014;09. Moncloa-Aravaca;5.866;2.700;3.166;53;25;28;245;121;124;519;214;305;664;311;353;712;294;418;755;349;406;843;400;443;818;392;426;762;361;401;495;233;262
2014;Agosto;Agosto 2014;10. Latina;18.791;9.344;9.447;312;173;139;1.069;548;521;1.677;793;884;2.065;1.048;1.017;2.495;1.236;1.259;2.736;1.359;1.377;2.716;1.376;1.340;2.325;1.172;1.153;2.096;1.033;1.063;1.300;606;694
2014;Agosto;Agosto 2014;11. Carabanchel;21.667;10.721;10.946;381;202;179;1.329;687;642;1.777;829;948;2.369;1.123;1.246;3.022;1.478;1.544;3.223;1.594;1.629;3.097;1.605;1.492;2.651;1.340;1.311;2.353;1.191;1.162;1.465;672;793
2014;Agosto;Agosto 2014;12. Usera;12.458;6.124;6.334;231;134;97;817;403;414;1.060;495;565;1.301;600;701;1.686;786;900;1.855;878;977;1.808;931;877;1.541;798;743;1.379;716;663;780;383;397
2014;Agosto;Agosto 2014;13. Puente de Vallecas;24.163;12.356;11.807;564;298;266;1.794;926;868;2.207;1.034;1.173;2.563;1.214;1.349;3.056;1.525;1.531;3.135;1.656;1.479;3.502;1.841;1.661;3.215;1.685;1.530;2.700;1.438;1.262;1.427;739;688
2014;Agosto;Agosto 2014;14. Moratalaz;7.129;3.353;3.776;130;77;53;477;245;232;586;275;311;682;314;368;816;367;449;944;432;512;1.081;501;580;1.000;470;530;885;429;456;528;243;285
2014;Agosto;Agosto 2014;15. Ciudad Lineal;15.384;7.452;7.932;212;114;98;746;395;351;1.245;597;648;1.563;710;853;1.942;952;990;2.036;992;1.044;2.227;1.092;1.135;2.124;1.045;1.079;1.970;938;1.032;1.319;617;702
2014;Agosto;Agosto 2014;16. Hortaleza;10.683;4.885;5.798;139;85;54;598;315;283;870;390;480;1.059;463;596;1.450;642;808;1.490;625;865;1.521;689;832;1.402;641;761;1.294;629;665;860;406;454
2014;Agosto;Agosto 2014;17. Villaverde;14.618;7.346;7.272;366;203;163;1.139;552;587;1.252;578;674;1.523;727;796;1.976;968;1.008;2.121;1.033;1.088;2.090;1.065;1.025;1.891;1.033;858;1.483;818;665;777;369;408
2014;Agosto;Agosto 2014;18. Villa de Vallecas;9.283;4.265;5.018;202;113;89;607;329;278;873;393;480;1.191;485;706;1.567;663;904;1.304;595;709;1.109;527;582;1.018;478;540;895;446;449;517;236;281
2014;Agosto;Agosto 2014;19. Vicálvaro;5.984;2.784;3.200;131;58;73;403;212;191;423;211;212;604;267;337;823;349;474;1.026;427;599;987;457;530;695;354;341;600;306;294;292;143;149
2014;Agosto;Agosto 2014;20. San Blas-Canillejas;12.214;5.976;6.238;209;120;89;676;357;319;927;408;519;1.152;563;589;1.456;683;773;1.699;756;943;1.919;958;961;1.731;935;796;1.590;797;793;855;399;456
2014;Agosto;Agosto 2014;21. Barajas;2.722;1.240;1.482;24;22;2;117;54;63;204;89;115;299;142;157;362;154;208;399;182;217;349;153;196;338;156;182;334;151;183;296;137;159
2014;Septiembre;Septiembre 2014;Ciudad de Madrid;232.745;112.984;119.761;3.832;2.080;1.752;13.951;7.106;6.845;19.975;9.394;10.581;25.095;11.763;13.332;30.617;14.545;16.072;31.826;15.284;16.542;32.801;16.436;16.365;30.023;15.015;15.008;27.165;13.225;13.940;17.460;8.136;9.324
2014;Septiembre;Septiembre 2014;01. Centro;10.579;5.656;4.923;92;54;38;352;169;183;818;395;423;1.386;695;691;1.586;834;752;1.461;795;666;1.496;857;639;1.375;778;597;1.183;665;518;830;414;416
2014;Septiembre;Septiembre 2014;02. Arganzuela;10.011;4.607;5.404;80;39;41;463;227;236;876;383;493;1.198;544;654;1.351;624;727;1.255;578;677;1.403;651;752;1.285;640;645;1.232;526;706;868;395;473
2014;Septiembre;Septiembre 2014;03. Retiro;6.009;2.690;3.319;38;20;18;257;133;124;564;257;307;664;309;355;751;323;428;766;348;418;800;362;438;765;338;427;781;348;433;623;252;371
2014;Septiembre;Septiembre 2014;04. Salamanca;6.774;2.963;3.811;40;30;10;245;134;111;594;278;316;775;354;421;858;373;485;778;340;438;914;380;534;971;425;546;899;358;541;700;291;409
2014;Septiembre;Septiembre 2014;05. Chamartín;6.356;2.836;3.520;45;26;19;223;118;105;483;222;261;660;299;361;800;370;430;829;379;450;856;392;464;934;403;531;856;346;510;670;281;389
2014;Septiembre;Septiembre 2014;06. Tetuán;11.485;5.600;5.885;187;93;94;587;289;298;963;456;507;1.293;593;700;1.545;745;800;1.548;768;780;1.648;883;765;1.485;719;766;1.367;656;711;862;398;464
2014;Septiembre;Septiembre 2014;07. Chamberí;6.979;3.125;3.854;51;15;36;261;134;127;712;311;401;887;378;509;924;420;504;895;400;495;872;406;466;873;404;469;851;362;489;653;295;358
2014;Septiembre;Septiembre 2014;08. Fuencarral-El Pardo;12.711;5.819;6.892;146;81;65;613;301;312;1.091;507;584;1.414;613;801;1.790;775;1.015;1.793;835;958;1.646;783;863;1.482;713;769;1.566;682;884;1.170;529;641
2014;Septiembre;Septiembre 2014;09. Moncloa-Aravaca;5.747;2.648;3.099;52;27;25;272;131;141;496;216;280;645;303;342;687;288;399;726;340;386;816;381;435;802;383;419;752;345;407;499;234;265
2014;Septiembre;Septiembre 2014;10. Latina;18.918;9.504;9.414;312;166;146;1.181;607;574;1.714;843;871;1.995;1.038;957;2.465;1.212;1.253;2.718;1.374;1.344;2.732;1.419;1.313;2.400;1.221;1.179;2.084;1.004;1.080;1.317;620;697
2014;Septiembre;Septiembre 2014;11. Carabanchel;21.889;10.828;11.061;421;218;203;1.459;741;718;1.821;850;971;2.364;1.117;1.247;2.957;1.455;1.502;3.227;1.595;1.632;3.110;1.633;1.477;2.665;1.337;1.328;2.378;1.195;1.183;1.487;687;800
2014;Septiembre;Septiembre 2014;12. Usera;12.687;6.274;6.413;244;138;106;896;435;461;1.067;510;557;1.325;601;724;1.706;822;884;1.880;904;976;1.829;946;883;1.558;808;750;1.380;721;659;802;389;413
2014;Septiembre;Septiembre 2014;13. Puente de Vallecas;24.546;12.692;11.854;643;333;310;1.939;1.000;939;2.246;1.072;1.174;2.575;1.263;1.312;3.064;1.553;1.511;3.120;1.663;1.457;3.490;1.867;1.623;3.281;1.725;1.556;2.734;1.462;1.272;1.454;754;700
2014;Septiembre;Septiembre 2014;14. Moratalaz;7.091;3.388;3.703;141;87;54;517;281;236;600;291;309;649;314;335;806;374;432;927;420;507;1.052;487;565;976;459;517;875;421;454;548;254;294
2014;Septiembre;Septiembre 2014;15. Ciudad Lineal;15.311;7.481;7.830;214;122;92;818;433;385;1.282;616;666;1.523;704;819;1.884;944;940;1.950;943;1.007;2.217;1.094;1.123;2.116;1.050;1.066;1.960;929;1.031;1.347;646;701
2014;Septiembre;Septiembre 2014;16. Hortaleza;10.577;4.906;5.671;159;101;58;630;328;302;870;410;460;1.024;439;585;1.417;644;773;1.457;627;830;1.480;685;795;1.384;648;736;1.286;618;668;870;406;464
2014;Septiembre;Septiembre 2014;17. Villaverde;14.992;7.628;7.364;374;204;170;1.267;620;647;1.312;618;694;1.560;753;807;1.978;989;989;2.151;1.058;1.093;2.125;1.100;1.025;1.920;1.059;861;1.524;849;675;781;378;403
2014;Septiembre;Septiembre 2014;18. Villa de Vallecas;9.174;4.225;4.949;198;112;86;639;340;299;873;400;473;1.146;472;674;1.501;632;869;1.308;604;704;1.110;529;581;985;457;528;893;446;447;521;233;288
2014;Septiembre;Septiembre 2014;19. Vicálvaro;5.995;2.846;3.149;148;77;71;449;235;214;442;216;226;601;279;322;799;348;451;1.009;421;588;958;456;502;688;358;330;611;315;296;290;141;149
2014;Septiembre;Septiembre 2014;20. San Blas-Canillejas;12.215;6.020;6.195;221;118;103;751;376;375;954;449;505;1.124;560;564;1.395;663;732;1.644;724;920;1.902;970;932;1.737;932;805;1.617;822;795;870;406;464
2014;Septiembre;Septiembre 2014;21. Barajas;2.699;1.248;1.451;26;19;7;132;74;58;197;94;103;287;135;152;353;157;196;384;168;216;345;155;190;341;158;183;336;155;181;298;133;165
2014;Octubre;Octubre 2014;Ciudad de Madrid;234.155;113.969;120.186;3.684;2.040;1.644;14.207;7.175;7.032;20.469;9.829;10.640;25.423;12.013;13.410;30.571;14.593;15.978;31.831;15.260;16.571;32.960;16.478;16.482;30.239;15.171;15.068;27.433;13.367;14.066;17.338;8.043;9.295
2014;Octubre;Octubre 2014;01. Centro;10.663;5.728;4.935;85;51;34;367;177;190;843;431;412;1.422;730;692;1.595;851;744;1.458;771;687;1.509;859;650;1.372;775;597;1.170;665;505;842;418;424
2014;Octubre;Octubre 2014;02. Arganzuela;9.951;4.641;5.310;79;44;35;476;233;243;872;398;474;1.203;561;642;1.307;618;689;1.261;590;671;1.390;640;750;1.282;637;645;1.215;531;684;866;389;477
2014;Octubre;Octubre 2014;03. Retiro;5.973;2.719;3.254;45;27;18;269;139;130;558;266;292;674;312;362;728;317;411;749;344;405;809;372;437;764;353;411;773;342;431;604;247;357
2014;Octubre;Octubre 2014;04. Salamanca;6.842;3.015;3.827;41;30;11;251;136;115;634;301;333;783;367;416;891;394;497;788;348;440;907;384;523;946;414;532;919;364;555;682;277;405
2014;Octubre;Octubre 2014;05. Chamartín;6.354;2.852;3.502;41;23;18;244;134;110;509;233;276;661;310;351;783;369;414;820;365;455;869;405;464;915;404;511;856;337;519;656;272;384
2014;Octubre;Octubre 2014;06. Tetuán;11.543;5.617;5.926;156;78;78;604;299;305;1.008;464;544;1.310;606;704;1.511;737;774;1.540;754;786;1.662;883;779;1.521;742;779;1.369;659;710;862;395;467
2014;Octubre;Octubre 2014;07. Chamberí;7.008;3.166;3.842;49;20;29;278;132;146;720;324;396;913;390;523;899;417;482;894;423;471;851;388;463;894;415;479;862;360;502;648;297;351
2014;Octubre;Octubre 2014;08. Fuencarral-El Pardo;12.719;5.831;6.888;156;94;62;636;314;322;1.109;526;583;1.406;604;802;1.749;755;994;1.832;848;984;1.628;782;846;1.476;708;768;1.576;683;893;1.151;517;634
2014;Octubre;Octubre 2014;09. Moncloa-Aravaca;5.787;2.682;3.105;55;31;24;288;138;150;537;236;301;620;301;319;692;300;392;726;336;390;818;385;433;802;385;417;754;345;409;495;225;270
2014;Octubre;Octubre 2014;10. Latina;18.999;9.503;9.496;311;169;142;1.205;603;602;1.753;870;883;2.013;1.034;979;2.513;1.232;1.281;2.665;1.346;1.319;2.742;1.412;1.330;2.393;1.213;1.180;2.109;1.019;1.090;1.295;605;690
2014;Octubre;Octubre 2014;11. Carabanchel;22.136;10.945;11.191;402;209;193;1.458;746;712;1.891;904;987;2.406;1.155;1.251;3.001;1.453;1.548;3.229;1.571;1.658;3.128;1.641;1.487;2.725;1.372;1.353;2.398;1.199;1.199;1.498;695;803
2014;Octubre;Octubre 2014;12. Usera;12.814;6.314;6.500;237;130;107;914;447;467;1.113;533;580;1.328;604;724;1.726;828;898;1.879;886;993;1.846;956;890;1.567;812;755;1.418;744;674;786;374;412
2014;Octubre;Octubre 2014;13. Puente de Vallecas;24.717;12.821;11.896;608;326;282;1.917;973;944;2.266;1.107;1.159;2.663;1.306;1.357;3.077;1.552;1.525;3.127;1.678;1.449;3.527;1.891;1.636;3.301;1.748;1.553;2.760;1.480;1.280;1.471;760;711
2014;Octubre;Octubre 2014;14. Moratalaz;7.172;3.475;3.697;145;93;52;528;288;240;607;306;301;675;342;333;804;371;433;949;441;508;1.057;491;566;986;464;522;891;434;457;530;245;285
2014;Octubre;Octubre 2014;15. Ciudad Lineal;15.426;7.533;7.893;204;121;83;860;441;419;1.264;610;654;1.576;732;844;1.875;939;936;1.929;948;981;2.220;1.070;1.150;2.177;1.089;1.088;1.973;937;1.036;1.348;646;702
2014;Octubre;Octubre 2014;16. Hortaleza;10.604;4.927;5.677;146;93;53;637;328;309;906;439;467;1.026;431;595;1.392;636;756;1.450;619;831;1.476;691;785;1.391;649;742;1.308;634;674;872;407;465
2014;Octubre;Octubre 2014;17. Villaverde;15.067;7.686;7.381;361;190;171;1.262;623;639;1.354;654;700;1.573;773;800;1.994;1.010;984;2.171;1.069;1.102;2.148;1.106;1.042;1.894;1.041;853;1.547;856;691;763;364;399
2014;Octubre;Octubre 2014;18. Villa de Vallecas;9.341;4.286;5.055;188;112;76;656;338;318;894;427;467;1.151;482;669;1.509;627;882;1.346;613;733;1.132;533;599;1.011;464;547;929;456;473;525;234;291
2014;Octubre;Octubre 2014;19. Vicálvaro;6.032;2.881;3.151;143;77;66;448;233;215;438;228;210;594;271;323;797;352;445;1.010;421;589;970;454;516;717;373;344;626;332;294;289;140;149
2014;Octubre;Octubre 2014;20. San Blas-Canillejas;12.316;6.093;6.223;208;105;103;781;382;399;984;477;507;1.145;566;579;1.378;673;705;1.634;720;914;1.925;977;948;1.761;956;805;1.639;834;805;861;403;458
2014;Octubre;Octubre 2014;21. Barajas;2.691;1.254;1.437;24;17;7;128;71;57;209;95;114;281;136;145;350;162;188;374;169;205;346;158;188;344;157;187;341;156;185;294;133;161
