Paro registrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado en la Ciudad de Madrid (desde mayo de 2005);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Características;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.2.1. Paro registrado por Distrito, Grupo de edad y Sexo por Mes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Total;Total;Total;16 a 19 años;16 a 19 años;16 a 19 años;20 a 24 años;20 a 24 años;20 a 24 años;25 a 29 años;25 a 29 años;25 a 29 años;30 a 34 años;30 a 34 años;30 a 34 años;35 a 39 años;35 a 39 años;35 a 39 años;40 a 44 años;40 a 44 años;40 a 44 años;45 a 49 años;45 a 49 años;45 a 49 años;50 a 54 años;50 a 54 años;50 a 54 años;55 a 59 años;55 a 59 años;55 a 59 años;60 y más años;60 y más años;60 y más años
;;;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
2023;Febrero;04. Salamanca;3.838;1.596;2.242;26;13;13;117;53;64;303;134;169;329;161;168;326;149;177;328;126;202;399;165;234;486;184;302;752;295;457;772;316;456
2023;Febrero;05. Chamartín;3.809;1.602;2.207;26;15;11;81;35;46;267;116;151;302;142;160;299;125;174;345;129;216;398;170;228;528;232;296;760;300;460;803;338;465
2023;Febrero;06. Tetuán;7.019;2.995;4.024;89;48;41;279;135;144;542;226;316;711;288;423;669;254;415;640;267;373;843;354;489;946;426;520;1.189;520;669;1.111;477;634
2023;Febrero;07. Chamberí;3.907;1.644;2.263;17;9;8;128;61;67;343;151;192;369;173;196;360;162;198;372;157;215;409;179;230;501;187;314;658;255;403;750;310;440
2023;Febrero;08. Fuencarral-El Pardo;7.791;3.237;4.554;79;42;37;340;180;160;568;258;310;627;252;375;637;254;383;822;307;515;947;389;558;1.095;476;619;1.331;569;762;1.345;510;835
2023;Febrero;09. Moncloa-Aravaca;3.515;1.544;1.971;32;19;13;127;73;54;275;118;157;296;133;163;289;124;165;342;135;207;381;174;207;468;191;277;673;295;378;632;282;350
2023;Febrero;10. Latina;11.925;5.264;6.661;216;117;99;566;285;281;913;419;494;991;429;562;1.154;507;647;1.261;540;721;1.379;618;761;1.644;719;925;1.982;840;1.142;1.819;790;1.029
2023;Febrero;11. Carabanchel;14.410;6.201;8.209;275;166;109;786;402;384;1.239;565;674;1.320;547;773;1.390;530;860;1.548;621;927;1.754;742;1.012;1.926;834;1.092;2.097;912;1.185;2.075;882;1.193
2023;Febrero;12. Usera;8.639;3.749;4.890;215;119;96;632;318;314;744;337;407;808;348;460;850;358;492;884;355;529;1.017;430;587;1.126;497;629;1.195;513;682;1.168;474;694
2023;Febrero;13. Puente de Vallecas;16.300;7.105;9.195;357;207;150;1.036;502;534;1.409;641;768;1.606;651;955;1.662;683;979;1.710;690;1.020;1.786;782;1.004;1.873;867;1.006;2.485;1.064;1.421;2.376;1.018;1.358
2023;Febrero;14. Moratalaz;4.497;1.915;2.582;80;43;37;257;144;113;384;188;196;370;163;207;365;149;216;419;176;243;458;166;292;612;248;364;793;333;460;759;305;454
2023;Febrero;15. Ciudad Lineal;9.277;3.990;5.287;104;72;32;401;214;187;663;299;364;795;358;437;746;277;469;870;343;527;1.021;464;557;1.294;531;763;1.692;729;963;1.691;703;988
2023;Febrero;16. Hortaleza;6.915;2.781;4.134;85;46;39;282;147;135;427;193;234;535;232;303;591;214;377;652;237;415;873;312;561;951;384;567;1.247;493;754;1.272;523;749
2023;Febrero;17. Villaverde;9.928;4.227;5.701;232;140;92;598;317;281;815;354;461;971;376;595;972;369;603;1.114;478;636;1.139;452;687;1.276;537;739;1.394;585;809;1.417;619;798
2023;Febrero;18. Villa de Vallecas;6.619;2.601;4.018;134;64;70;420;205;215;570;257;313;680;265;415;703;259;444;786;280;506;882;344;538;778;279;499;831;320;511;835;328;507
2023;Febrero;19. Vicálvaro;4.475;1.832;2.643;87;44;43;273;145;128;407;186;221;431;166;265;400;154;246;417;178;239;544;204;340;633;218;415;686;286;400;597;251;346
2023;Febrero;20. San Blas-Canillejas;8.090;3.384;4.706;152;99;53;414;211;203;584;265;319;698;302;396;701;278;423;680;256;424;834;313;521;1.093;424;669;1.471;608;863;1.463;628;835
2023;Febrero;21. Barajas;1.588;638;950;24;14;10;65;34;31;107;52;55;115;42;73;133;42;91;152;55;97;226;88;138;203;81;122;295;122;173;268;108;160
2023;Marzo;Ciudad de Madrid;149.263;63.847;85.416;2.524;1.430;1.094;7.747;3.892;3.855;12.055;5.441;6.614;13.515;5.800;7.715;13.821;5.607;8.214;15.001;6.051;8.950;17.077;7.097;9.980;19.491;8.204;11.287;24.186;10.226;13.960;23.846;10.099;13.747
2023;Marzo;01. Centro;6.590;3.405;3.185;51;23;28;219;116;103;496;245;251;682;326;356;697;366;331;743;389;354;797;410;387;892;462;430;1.039;564;475;974;504;470
2023;Marzo;02. Arganzuela;5.734;2.455;3.279;50;32;18;238;121;117;470;211;259;565;263;302;546;218;328;571;209;362;645;256;389;678;302;376;972;400;572;999;443;556
2023;Marzo;03. Retiro;3.400;1.401;1.999;22;15;7;96;51;45;267;124;143;294;148;146;264;104;160;318;131;187;377;141;236;468;180;288;668;257;411;626;250;376
2023;Marzo;04. Salamanca;3.886;1.628;2.258;30;18;12;125;55;70;303;138;165;337;163;174;323;146;177;330;126;204;414;175;239;486;189;297;764;302;462;774;316;458
2023;Marzo;05. Chamartín;3.838;1.615;2.223;29;14;15;87;41;46;268;119;149;321;144;177;287;122;165;360;136;224;390;170;220;530;229;301;759;307;452;807;333;474
2023;Marzo;06. Tetuán;7.061;3.024;4.037;98;50;48;316;145;171;572;260;312;704;298;406;660;257;403;651;268;383;816;343;473;935;405;530;1.184;523;661;1.125;475;650
2023;Marzo;07. Chamberí;3.900;1.659;2.241;17;10;7;136;68;68;330;142;188;392;183;209;354;165;189;369;151;218;418;185;233;504;190;314;640;258;382;740;307;433
2023;Marzo;08. Fuencarral-El Pardo;7.881;3.265;4.616;93;44;49;349;183;166;561;264;297;639;249;390;641;251;390;822;321;501;954;391;563;1.123;476;647;1.347;577;770;1.352;509;843
2023;Marzo;09. Moncloa-Aravaca;3.514;1.550;1.964;35;24;11;126;70;56;281;121;160;284;136;148;292;112;180;343;138;205;383;170;213;464;193;271;681;299;382;625;287;338
2023;Marzo;10. Latina;11.998;5.265;6.733;234;121;113;595;306;289;921;406;515;1.021;464;557;1.118;483;635;1.276;539;737;1.383;619;764;1.644;713;931;1.989;828;1.161;1.817;786;1.031
2023;Marzo;11. Carabanchel;14.551;6.217;8.334;303;184;119;830;389;441;1.248;555;693;1.320;549;771;1.404;556;848;1.571;623;948;1.746;733;1.013;1.933;825;1.108;2.113;903;1.210;2.083;900;1.183
2023;Marzo;12. Usera;8.780;3.800;4.980;224;131;93;663;328;335;780;360;420;793;334;459;853;366;487;904;354;550;1.016;426;590;1.130;497;633;1.223;524;699;1.194;480;714
2023;Marzo;13. Puente de Vallecas;16.489;7.187;9.302;374;215;159;1.099;534;565;1.501;661;840;1.601;671;930;1.691;695;996;1.670;676;994;1.784;772;1.012;1.898;863;1.035;2.470;1.068;1.402;2.401;1.032;1.369
2023;Marzo;14. Moratalaz;4.543;1.925;2.618;87;50;37;267;151;116;409;199;210;363;152;211;378;158;220;420;170;250;464;172;292;610;244;366;784;321;463;761;308;453
2023;Marzo;15. Ciudad Lineal;9.282;3.973;5.309;121;81;40;413;205;208;662;310;352;795;360;435;752;288;464;876;348;528;997;445;552;1.287;522;765;1.684;712;972;1.695;702;993
2023;Marzo;16. Hortaleza;6.906;2.751;4.155;84;48;36;299;158;141;431;198;233;537;223;314;603;208;395;651;234;417;878;304;574;934;383;551;1.218;475;743;1.271;520;751
2023;Marzo;17. Villaverde;10.032;4.228;5.804;232;136;96;634;322;312;858;366;492;976;378;598;997;375;622;1.106;468;638;1.147;461;686;1.282;532;750;1.392;585;807;1.408;605;803
2023;Marzo;18. Villa de Vallecas;6.645;2.627;4.018;146;70;76;436;229;207;578;263;315;648;255;393;695;253;442;766;269;497;891;345;546;799;286;513;834;322;512;852;335;517
2023;Marzo;19. Vicálvaro;4.517;1.855;2.662;106;49;57;301;161;140;408;179;229;434;171;263;405;155;250;422;183;239;544;203;341;629;228;401;669;281;388;599;245;354
2023;Marzo;20. San Blas-Canillejas;8.118;3.382;4.736;162;99;63;447;217;230;604;275;329;696;300;396;736;288;448;673;263;410;818;299;519;1.066;403;663;1.453;593;860;1.463;645;818
2023;Marzo;21. Barajas;1.598;635;963;26;16;10;71;42;29;107;45;62;113;33;80;125;41;84;159;55;104;215;77;138;199;82;117;303;127;176;280;117;163
2023;Abril;Ciudad de Madrid;146.359;62.513;83.846;2.371;1.336;1.035;7.042;3.582;3.460;11.713;5.272;6.441;13.229;5.668;7.561;13.646;5.524;8.122;14.681;5.866;8.815;16.823;7.036;9.787;19.140;8.046;11.094;23.881;10.125;13.756;23.833;10.058;13.775
2023;Abril;01. Centro;6.506;3.360;3.146;46;24;22;186;88;98;480;225;255;675;326;349;684;352;332;745;395;350;793;423;370;881;459;422;1.039;566;473;977;502;475
2023;Abril;02. Arganzuela;5.583;2.435;3.148;40;25;15;190;101;89;465;217;248;554;270;284;538;218;320;555;212;343;632;265;367;668;299;369;942;388;554;999;440;559
2023;Abril;03. Retiro;3.263;1.326;1.937;17;13;4;74;41;33;258;118;140;282;138;144;277;109;168;307;126;181;366;137;229;427;163;264;641;241;400;614;240;374
2023;Abril;04. Salamanca;3.812;1.605;2.207;35;23;12;104;51;53;296;133;163;339;164;175;318;134;184;313;115;198;405;161;244;496;214;282;742;302;440;764;308;456
2023;Abril;05. Chamartín;3.744;1.572;2.172;28;15;13;84;46;38;247;112;135;301;127;174;280;119;161;336;131;205;390;167;223;527;218;309;747;304;443;804;333;471
2023;Abril;06. Tetuán;6.893;2.938;3.955;91;49;42;290;139;151;534;235;299;672;285;387;664;258;406;643;261;382;786;320;466;932;406;526;1.147;499;648;1.134;486;648
2023;Abril;07. Chamberí;3.806;1.611;2.195;12;6;6;118;57;61;317;131;186;379;186;193;345;154;191;368;150;218;411;179;232;486;181;305;642;262;380;728;305;423
2023;Abril;08. Fuencarral-El Pardo;7.679;3.192;4.487;81;43;38;295;156;139;535;260;275;629;243;386;656;256;400;777;302;475;954;390;564;1.104;466;638;1.297;573;724;1.351;503;848
2023;Abril;09. Moncloa-Aravaca;3.500;1.526;1.974;41;27;14;109;60;49;288;119;169;272;125;147;312;128;184;332;129;203;372;165;207;461;195;266;684;298;386;629;280;349
2023;Abril;10. Latina;11.731;5.126;6.605;212;103;109;551;289;262;921;403;518;987;452;535;1.082;462;620;1.262;530;732;1.350;598;752;1.599;690;909;1.965;823;1.142;1.802;776;1.026
2023;Abril;11. Carabanchel;14.361;6.122;8.239;290;174;116;758;363;395;1.215;543;672;1.312;544;768;1.414;549;865;1.579;621;958;1.719;744;975;1.896;797;1.099;2.091;885;1.206;2.087;902;1.185
2023;Abril;12. Usera;8.564;3.712;4.852;212;118;94;617;301;316;773;355;418;773;333;440;833;373;460;885;335;550;981;417;564;1.099;482;617;1.203;517;686;1.188;481;707
2023;Abril;13. Puente de Vallecas;16.159;7.011;9.148;368;210;158;1.018;500;518;1.436;644;792;1.573;665;908;1.627;656;971;1.612;644;968;1.798;767;1.031;1.859;835;1.024;2.454;1.057;1.397;2.414;1.033;1.381
2023;Abril;14. Moratalaz;4.482;1.876;2.606;91;50;41;245;138;107;395;182;213;359;150;209;372;147;225;413;169;244;446;166;280;595;244;351;804;330;474;762;300;462
2023;Abril;15. Ciudad Lineal;9.152;3.939;5.213;113;76;37;361;184;177;667;312;355;771;351;420;766;296;470;838;331;507;997;463;534;1.275;515;760;1.662;703;959;1.702;708;994
2023;Abril;16. Hortaleza;6.817;2.731;4.086;67;37;30;255;139;116;461;222;239;531;216;315;584;209;375;646;230;416;867;314;553;923;371;552;1.197;470;727;1.286;523;763
2023;Abril;17. Villaverde;9.835;4.110;5.725;219;125;94;622;314;308;817;335;482;948;352;596;987;384;603;1.067;438;629;1.138;453;685;1.271;527;744;1.384;583;801;1.382;599;783
2023;Abril;18. Villa de Vallecas;6.566;2.578;3.988;128;61;67;424;216;208;549;253;296;633;245;388;681;247;434;759;261;498;904;351;553;806;285;521;830;327;503;852;332;520
2023;Abril;19. Vicálvaro;4.378;1.801;2.577;99;48;51;265;141;124;386;179;207;424;171;253;403;162;241;411;170;241;530;196;334;607;215;392;658;274;384;595;245;350
