fecha,distrito,precio_m2,variacion_mensual,variacion_trimestral,variacion_anual
06-2017,ARGANZUELA,"13,6",-1,"1,9","11,9"
05-2017,ARGANZUELA,"13,7","0,6","3,2","12,8"
04-2017,ARGANZUELA,"13,6","2,3","5,2","12,3"
03-2017,ARGANZUELA,"13,3","0,3","3,1","9,5"
02-2017,ARGANZUELA,"13,3","2,6",5,"8,8"
01-2017,ARGANZUELA,13,"0,2","3,7","7,1"
12-2016,ARGANZUELA,"12,9","2,1","5,4","7,7"
11-2016,ARGANZUELA,"12,7","1,3","4,3","5,9"
10-2016,ARGANZUELA,"12,5","1,9","3,4","7,1"
09-2016,ARGANZUELA,"12,3","1,1","1,1","6,4"
08-2016,ARGANZUELA,"12,1","0,5","-0,2","5,2"
07-2016,ARGANZUELA,"12,1","-0,5","-0,5","4,7"
06-2016,ARGANZUELA,"12,1","-0,2","-0,3","4,7"
05-2016,ARGANZUELA,"12,2","0,2","-0,5","4,9"
04-2016,ARGANZUELA,"12,1","-0,3","0,3",5
03-2016,ARGANZUELA,"12,2","-0,3","1,4","6,4"
02-2016,ARGANZUELA,"12,2",1,"2,2","6,9"
01-2016,ARGANZUELA,"12,1","0,8","3,8","6,5"
12-2015,ARGANZUELA,12,"0,5","4,1","6,8"
11-2015,ARGANZUELA,12,"2,5","3,6",8
10-2015,ARGANZUELA,"11,7","1,1","1,1","5,7"
09-2015,ARGANZUELA,"11,5",0,"-0,5","4,9"
08-2015,ARGANZUELA,"11,5",0,"-0,5","4,9"
07-2015,ARGANZUELA,"11,5","-0,5","-0,2","4,9"
06-2015,ARGANZUELA,"11,6",0,"1,3","5,4"
05-2015,ARGANZUELA,"11,6","0,3","1,4","4,3"
04-2015,ARGANZUELA,"11,6",1,"1,8","4,1"
03-2015,ARGANZUELA,"11,4","0,2","1,7","3,7"
02-2015,ARGANZUELA,"11,4","0,6","3,2",4
01-2015,ARGANZUELA,"11,4",1,3,"4,3"
12-2014,ARGANZUELA,"11,3","1,6","2,3","3,2"
11-2014,ARGANZUELA,"11,1","0,3","0,7",0
10-2014,ARGANZUELA,11,"0,3","0,3","0,3"
09-2014,ARGANZUELA,11,0,0,0
08-2014,ARGANZUELA,11,0,-1,-1
07-2014,ARGANZUELA,11,0,-1,"-1,8"
06-2014,ARGANZUELA,11,-1,"-0,4","-1,7"
05-2014,ARGANZUELA,"11,1",0,"1,1","-1,2"
04-2014,ARGANZUELA,"11,1","0,6",2,"-1,2"
03-2014,ARGANZUELA,11,"0,5","1,3","-2,8"
02-2014,ARGANZUELA,11,"0,9","-0,7",-3
01-2014,ARGANZUELA,"10,9",0,-1,"-3,2"
12-2013,ARGANZUELA,"10,9","-1,6","-0,9","-2,5"
11-2013,ARGANZUELA,"11,1","0,6","-0,3","-2,7"
10-2013,ARGANZUELA,11,0,"-1,8","-4,4"
09-2013,ARGANZUELA,11,-1,"-1,7","-4,7"
08-2013,ARGANZUELA,"11,1","-0,8","-1,2","-3,4"
07-2013,ARGANZUELA,"11,2",0,"-0,5",-3
06-2013,ARGANZUELA,"11,2","-0,5","-1,5","-4,1"
05-2013,ARGANZUELA,"11,3",0,"-0,7","-3,2"
04-2013,ARGANZUELA,"11,3",-1,0,-4
