año,mes,distrito,total,hombres_total,mujeres_total,16_19_total,16_19_hombres,16_19_mujeres,20_24_total,20_24_hombres,20_24_mujeres,25_29_total,25_29_hombres,25_29_mujeres,30_34_total,30_34_hombres,30_34_mujeres,35_39_total,35_39_hombres,35_39_mujeres,40_44_total,40_44_hombres,40_44_mujeres,45_49_total,45_49_hombres,45_49_mujeres,50_54_total,50_54_hombres,50_54_mujeres,55_59_total,55_59_hombres,55_59_mujeres,60_mas_total,60_mas_hombres,60_mas_mujeres
2013,Febrero,MONCLOA - ARAVACA,6470,3080,3390,66,37,29,347,163,184,692,318,374,870,425,445,877,405,472,853,410,443,831,405,426,784,385,399,669,302,367,481,230,251
2013,Febrero,LATINA,20950,10753,10197,281,156,125,1458,761,697,2146,1099,1047,2688,1393,1295,3072,1611,1461,3061,1593,1468,2820,1455,1365,2259,1173,1086,1938,943,995,1227,569,658
2013,Febrero,CARABANCHEL,24275,12555,11720,379,194,185,1626,840,786,2325,1203,1122,3250,1661,1589,3749,1943,1806,3577,1893,1684,3281,1779,1502,2634,1344,1290,2117,1074,1043,1337,624,713
2013,Febrero,USERA,14011,7197,6814,298,164,134,1015,496,519,1387,681,706,1726,850,876,2103,1056,1047,2097,1134,963,1816,969,847,1598,860,738,1243,637,606,728,350,378
2013,Febrero,PUENTE DE VALLECAS,26638,14258,12380,654,381,273,2204,1175,1029,2756,1416,1340,3362,1743,1619,3624,1993,1631,3596,1973,1623,3621,1977,1644,3152,1694,1458,2410,1275,1135,1259,631,628
2013,Febrero,MORATALAZ,7662,3778,3884,131,72,59,540,280,260,758,390,368,848,407,441,999,496,503,1089,541,548,1141,561,580,899,425,474,763,360,403,494,246,248
2013,Febrero,CIUDAD LINEAL,16554,8356,8198,160,100,60,899,481,418,1521,731,790,2021,1037,984,2305,1178,1127,2317,1188,1129,2344,1210,1134,2026,989,1037,1792,891,901,1169,551,618
2013,Febrero,HORTALEZA,11474,5510,5964,132,77,55,733,398,335,1042,517,525,1404,664,740,1650,763,887,1649,764,885,1523,690,833,1355,670,685,1116,546,570,870,421,449
2013,Febrero,VILLAVERDE,16217,8594,7623,336,188,148,1324,675,649,1556,808,748,2071,1115,956,2424,1279,1145,2419,1260,1159,2209,1201,1008,1839,1021,818,1338,711,627,701,336,365
2013,Febrero,VILLA DE VALLECAS,10145,4898,5247,210,117,93,805,420,385,1079,513,566,1526,681,845,1791,877,914,1345,668,677,1143,574,569,939,438,501,807,377,430,500,233,267
2013,Febrero,VICÁLVARO,6351,3166,3185,153,93,60,464,241,223,517,268,249,784,394,390,1028,449,579,1024,504,520,954,477,477,701,344,357,482,265,217,244,131,113
2013,Febrero,SAN BLAS-CANILLEJAS,12994,6619,6375,205,118,87,798,419,379,1169,591,578,1425,712,713,1730,852,878,1943,922,1021,1995,1059,936,1682,900,782,1348,705,643,699,341,358
2013,Febrero,BARAJAS,2833,1329,1504,27,14,13,140,68,72,278,128,150,381,181,200,443,192,251,403,183,220,347,163,184,305,155,150,261,120,141,248,125,123
2013,Marzo,MADRID,257657,129300,128357,3616,2013,1603,16040,8226,7814,25523,12737,12786,33591,16617,16974,37409,18661,18748,36286,18420,17866,34690,17839,16851,29559,14942,14617,24923,12291,12632,16020,7554,8466
2013,Marzo,CENTRO,12265,6500,5765,59,39,20,464,231,233,1221,617,604,1943,974,969,1963,1051,912,1687,916,771,1649,922,727,1373,747,626,1157,624,533,749,379,370
2013,Marzo,ARGANZUELA,11168,5286,5882,70,41,29,564,280,284,1162,548,614,1583,727,856,1611,778,833,1489,752,737,1469,695,774,1281,616,665,1186,506,680,753,343,410
2013,Marzo,RETIRO,6782,3158,3624,50,30,20,278,148,130,751,364,387,899,438,461,921,423,498,876,415,461,878,401,477,764,335,429,753,335,418,612,269,343
2013,Marzo,SALAMANCA,7966,3563,4403,45,32,13,350,186,164,816,367,449,1052,475,577,1049,450,599,1004,471,533,1074,471,603,970,422,548,868,372,496,738,317,421
2013,Marzo,CHAMARTÍN,7253,3292,3961,31,17,14,258,137,121,722,344,378,900,411,489,995,469,526,979,435,544,966,433,533,931,408,523,805,341,464,666,297,369
2013,Marzo,TETUÁN,12760,6397,6363,152,87,65,689,333,356,1247,602,645,1737,847,890,1815,888,927,1763,910,853,1776,940,836,1473,746,727,1291,647,644,817,397,420
2013,Marzo,CHAMBERÍ,8076,3750,4326,45,20,25,322,133,189,901,429,472,1245,595,650,1143,533,610,1043,472,571,987,484,503,907,426,481,859,392,467,624,266,358
2013,Marzo,FUENCARRAL - EL PARDO,14215,6751,7464,138,70,68,732,347,385,1466,737,729,1855,883,972,2186,992,1194,1952,947,1005,1735,844,891,1514,700,814,1543,732,811,1094,499,595
2013,Marzo,MONCLOA - ARAVACA,6505,3128,3377,69,38,31,337,162,175,697,330,367,892,438,454,855,398,457,850,407,443,824,401,423,791,392,399,703,329,374,487,233,254
2013,Marzo,LATINA,21084,10886,10198,273,145,128,1450,767,683,2115,1095,1020,2707,1431,1276,3102,1633,1469,3096,1612,1484,2877,1497,1380,2282,1181,1101,1944,943,1001,1238,582,656
2013,Marzo,CARABANCHEL,24216,12542,11674,382,207,175,1611,833,778,2317,1190,1127,3247,1655,1592,3717,1932,1785,3583,1874,1709,3265,1781,1484,2644,1372,1272,2117,1076,1041,1333,622,711
2013,Marzo,USERA,14126,7272,6854,286,144,142,1064,532,532,1378,696,682,1748,853,895,2114,1063,1051,2115,1131,984,1825,987,838,1626,869,757,1253,650,603,717,347,370
2013,Marzo,PUENTE DE VALLECAS,26510,14223,12287,625,357,268,2155,1128,1027,2731,1420,1311,3375,1776,1599,3566,1959,1607,3582,1974,1608,3640,1994,1646,3160,1701,1459,2420,1293,1127,1256,621,635
2013,Marzo,MORATALAZ,7691,3814,3877,132,70,62,526,271,255,765,404,361,842,411,431,1011,495,516,1076,546,530,1158,580,578,918,436,482,772,364,408,491,237,254
2013,Marzo,CIUDAD LINEAL,16626,8366,8260,153,94,59,901,475,426,1505,732,773,2030,1030,1000,2331,1185,1146,2321,1193,1128,2353,1214,1139,2034,986,1048,1826,905,921,1172,552,620
2013,Marzo,HORTALEZA,11478,5512,5966,141,87,54,733,391,342,1045,520,525,1389,666,723,1632,742,890,1680,778,902,1527,690,837,1338,675,663,1131,550,581,862,413,449
2013,Marzo,VILLAVERDE,16525,8786,7739,364,199,165,1370,702,668,1599,818,781,2080,1097,983,2457,1301,1156,2438,1280,1158,2259,1258,1001,1894,1056,838,1362,734,628,702,341,361
2013,Marzo,VILLA DE VALLECAS,10060,4856,5204,202,112,90,803,427,376,1060,502,558,1520,649,871,1731,841,890,1342,679,663,1140,572,568,944,448,496,811,386,425,507,240,267
2013,Marzo,VICÁLVARO,6362,3201,3161,149,88,61,470,253,217,530,271,259,752,376,376,1015,459,556,1054,516,538,965,489,476,689,346,343,497,272,225,241,131,110
2013,Marzo,SAN BLAS-CANILLEJAS,13151,6685,6466,222,120,102,816,421,395,1202,609,593,1413,696,717,1770,889,881,1975,946,1029,1967,1017,950,1713,926,787,1362,714,648,711,347,364
2013,Marzo,BARAJAS,2838,1332,1506,28,16,12,147,69,78,293,142,151,382,189,193,425,180,245,381,166,215,356,169,187,313,154,159,263,126,137,250,121,129
2013,Abril,MADRID,256650,128295,128355,3673,2047,1626,15958,8088,7870,24999,12411,12588,32948,16255,16693,37033,18362,18671,36396,18400,17996,34723,17878,16845,29796,14994,14802,25091,12285,12806,16033,7575,8458
2013,Abril,CENTRO,12113,6397,5716,63,40,23,447,213,234,1192,601,591,1860,925,935,1938,1035,903,1661,889,772,1667,939,728,1374,746,628,1156,625,531,755,384,371
2013,Abril,ARGANZUELA,11134,5253,5881,77,46,31,574,280,294,1138,553,585,1551,710,841,1579,749,830,1510,764,746,1476,681,795,1283,623,660,1188,506,682,758,341,417
2013,Abril,RETIRO,6619,3068,3551,58,36,22,259,143,116,679,331,348,883,428,455,874,398,476,888,415,473,877,404,473,758,329,429,754,332,422,589,252,337
