año,mes,distrito,total,hombres_total,mujeres_total,no_estudios_total,no_estudios_hombres,no_estudios_mujeres,estudios_primarios_incompletos_total,estudios_primarios_incompletos_hombres,estudios_primarios_incompletos_mujeres,estudios_primarios_total,estudios_primarios_hombres,estudios_primarios_mujeres,programa_fp_total,programa_fp_hombres,programa_fp_mujeres,educacion_general_total,educacion_general_hombres,educacion_general_mujeres,estudios_tecnico_profesionales_superiores_total,estudios_tecnico_profesionales_superiores_hombres,estudios_tecnico_profesionales_superiores_mujeres,estudios_universitarios_ciclo1_total,estudios_universitarios_ciclo1_hombres,estudios_universitarios_ciclo1_mujeres,estudios_universitarios_ciclo2y3_total,estudios_universitarios_ciclo2y3_hombres,estudios_universitarios_ciclo2y3_mujeres,otros_total,otros_hombres,otros_mujeres,otro_fp_total,otro_fp_hombres,otro_fp_mujeres,fecha
2013,Febrero,CHAMARTÍN,7226,3311,3915,19,8,11,237,115,122,269,133,136,281,135,146,3115,1463,1652,431,223,208,603,268,335,2238,959,1279,33,7,26,0,0,0,Febrero 2013
2013,Febrero,TETUÁN,12655,6329,6326,51,36,15,2099,1166,933,1597,854,743,624,278,346,5348,2756,2592,619,307,312,563,207,356,1732,720,1012,22,5,17,0,0,0,Febrero 2013
2013,Febrero,CHAMBERÍ,8069,3750,4319,65,29,36,268,149,119,768,394,374,277,110,167,3241,1626,1615,372,180,192,589,226,363,2460,1022,1438,29,14,15,0,0,0,Febrero 2013
2013,Febrero,FUENCARRAL - EL PARDO,14151,6725,7426,25,16,9,748,388,360,2198,1211,987,813,344,469,5782,2849,2933,879,438,441,938,335,603,2710,1124,1586,58,20,38,0,0,0,Febrero 2013
2013,Febrero,MONCLOA - ARAVACA,6470,3080,3390,33,17,16,343,199,144,572,301,271,312,145,167,2722,1351,1371,354,185,169,472,194,278,1633,680,953,29,8,21,0,0,0,Febrero 2013
2013,Febrero,LATINA,20950,10753,10197,204,119,85,2211,1342,869,2619,1502,1117,1514,686,828,10112,5349,4763,1382,659,723,1057,376,681,1836,712,1124,15,8,7,0,0,0,Febrero 2013
2013,Febrero,CARABANCHEL,24275,12555,11720,236,132,104,1475,856,619,5050,2845,2205,1520,639,881,12259,6642,5617,1265,571,694,911,311,600,1540,550,990,19,9,10,0,0,0,Febrero 2013
2013,Febrero,USERA,14011,7197,6814,67,35,32,1141,638,503,2627,1508,1119,900,374,526,7610,4020,3590,586,239,347,381,123,258,690,254,436,9,6,3,0,0,0,Febrero 2013
2013,Febrero,PUENTE DE VALLECAS,26638,14258,12380,2035,1180,855,3262,1889,1373,3670,2085,1585,1638,744,894,13519,7374,6145,1017,459,558,558,177,381,936,349,587,3,1,2,0,0,0,Febrero 2013
2013,Febrero,MORATALAZ,7662,3778,3884,296,155,141,519,272,247,621,341,280,491,215,276,3949,2034,1915,519,261,258,443,166,277,816,331,485,8,3,5,0,0,0,Febrero 2013
2013,Febrero,CIUDAD LINEAL,16554,8356,8198,214,126,88,423,240,183,3366,1935,1431,921,401,520,7550,3929,3621,932,436,496,959,365,594,2158,912,1246,31,12,19,0,0,0,Febrero 2013
2013,Febrero,HORTALEZA,11474,5510,5964,49,25,24,509,285,224,665,385,280,753,307,446,5899,3002,2897,762,368,394,785,290,495,2033,843,1190,19,5,14,0,0,0,Febrero 2013
2013,Febrero,VILLAVERDE,16217,8594,7623,145,67,78,744,447,297,2872,1706,1166,1031,417,614,9715,5319,4396,692,301,391,437,132,305,572,202,370,9,3,6,0,0,0,Febrero 2013
2013,Febrero,VILLA DE VALLECAS,10145,4898,5247,168,84,84,1512,855,657,1659,904,755,642,252,390,4591,2223,2368,553,222,331,406,134,272,602,220,382,12,4,8,0,0,0,Febrero 2013
2013,Febrero,VICÁLVARO,6351,3166,3185,367,211,156,534,313,221,580,321,259,470,201,269,3263,1705,1558,408,167,241,283,90,193,442,156,286,4,2,2,0,0,0,Febrero 2013
2013,Febrero,SAN BLAS-CANILLEJAS,12994,6619,6375,154,98,56,435,258,177,2026,1154,872,863,366,497,7028,3769,3259,779,349,430,639,220,419,1054,399,655,16,6,10,0,0,0,Febrero 2013
2013,Febrero,BARAJAS,2833,1329,1504,38,19,19,125,61,64,234,134,100,136,76,60,1493,702,791,182,92,90,210,83,127,412,161,251,3,1,2,0,0,0,Febrero 2013
2013,Marzo,MADRID,257657,129300,128357,4357,2475,1882,17853,10205,7648,36229,20510,15719,14952,6534,8418,124261,64937,59324,13972,6591,7381,12881,4815,8066,32705,13066,19639,447,167,280,0,0,0,Marzo 2013
2013,Marzo,CENTRO,12265,6500,5765,91,57,34,465,300,165,1884,1172,712,519,256,263,5411,3032,2379,613,311,302,708,290,418,2547,1070,1477,27,12,15,0,0,0,Marzo 2013
2013,Marzo,ARGANZUELA,11168,5286,5882,55,29,26,353,194,159,1560,923,637,569,250,319,4675,2329,2346,731,348,383,883,333,550,2280,854,1426,62,26,36,0,0,0,Marzo 2013
2013,Marzo,RETIRO,6782,3158,3624,28,21,7,107,60,47,683,351,332,300,154,146,2779,1340,1439,411,204,207,541,249,292,1912,774,1138,21,5,16,0,0,0,Marzo 2013
2013,Marzo,SALAMANCA,7966,3563,4403,26,14,12,219,114,105,559,251,308,338,147,191,3551,1680,1871,456,212,244,584,242,342,2204,888,1316,29,15,14,0,0,0,Marzo 2013
2013,Marzo,CHAMARTÍN,7253,3292,3961,18,8,10,272,131,141,276,130,146,278,123,155,3088,1430,1658,428,226,202,598,269,329,2262,969,1293,33,6,27,0,0,0,Marzo 2013
2013,Marzo,TETUÁN,12760,6397,6363,47,31,16,2130,1177,953,1590,864,726,647,284,363,5420,2817,2603,622,309,313,580,204,376,1703,706,997,21,5,16,0,0,0,Marzo 2013
2013,Marzo,CHAMBERÍ,8076,3750,4326,64,27,37,272,152,120,777,398,379,265,103,162,3262,1655,1607,385,191,194,583,224,359,2441,990,1451,27,10,17,0,0,0,Marzo 2013
2013,Marzo,FUENCARRAL - EL PARDO,14215,6751,7464,28,14,14,734,384,350,2229,1232,997,827,363,464,5834,2881,2953,866,430,436,932,327,605,2711,1102,1609,54,18,36,0,0,0,Marzo 2013
2013,Marzo,MONCLOA - ARAVACA,6505,3128,3377,33,17,16,328,192,136,598,322,276,301,137,164,2740,1366,1374,352,177,175,479,202,277,1652,706,946,22,9,13,0,0,0,Marzo 2013
2013,Marzo,LATINA,21084,10886,10198,201,119,82,2251,1364,887,2628,1521,1107,1545,687,858,10215,5432,4783,1371,674,697,1051,381,670,1804,700,1104,18,8,10,0,0,0,Marzo 2013
2013,Marzo,CARABANCHEL,24216,12542,11674,222,123,99,1480,859,621,5074,2858,2216,1530,650,880,12219,6626,5593,1271,578,693,873,305,568,1531,536,995,16,7,9,0,0,0,Marzo 2013
2013,Marzo,USERA,14126,7272,6854,69,36,33,1188,671,517,2591,1496,1095,924,387,537,7682,4057,3625,606,249,357,376,121,255,684,250,434,6,5,1,0,0,0,Marzo 2013
2013,Marzo,PUENTE DE VALLECAS,26510,14223,12287,2045,1185,860,3207,1845,1362,3627,2072,1555,1645,758,887,13519,7375,6144,1015,475,540,520,164,356,929,348,581,3,1,2,0,0,0,Marzo 2013
2013,Marzo,MORATALAZ,7691,3814,3877,275,151,124,524,277,247,658,354,304,477,209,268,3989,2061,1928,525,268,257,426,160,266,809,331,478,8,3,5,0,0,0,Marzo 2013
2013,Marzo,CIUDAD LINEAL,16626,8366,8260,217,128,89,431,249,182,3398,1936,1462,890,395,495,7605,3951,3654,926,430,496,971,368,603,2157,899,1258,31,10,21,0,0,0,Marzo 2013
2013,Marzo,HORTALEZA,11478,5512,5966,48,25,23,539,301,238,664,382,282,762,323,439,5891,2999,2892,761,359,402,805,297,508,1990,820,1170,18,6,12,0,0,0,Marzo 2013
2013,Marzo,VILLAVERDE,16525,8786,7739,155,73,82,761,456,305,2915,1742,1173,1040,417,623,9906,5438,4468,705,311,394,437,140,297,592,203,389,14,6,8,0,0,0,Marzo 2013
2013,Marzo,VILLA DE VALLECAS,10060,4856,5204,172,87,85,1499,851,648,1646,894,752,627,254,373,4542,2189,2353,557,227,330,401,133,268,603,216,387,13,5,8,0,0,0,Marzo 2013
2013,Marzo,VICÁLVARO,6362,3201,3161,359,209,150,538,316,222,594,334,260,467,197,270,3267,1724,1543,419,174,245,284,91,193,431,154,277,3,2,1,0,0,0,Marzo 2013
2013,Marzo,SAN BLAS-CANILLEJAS,13151,6685,6466,160,99,61,436,255,181,2043,1148,895,864,368,496,7175,3833,3342,773,350,423,636,230,406,1046,395,651,18,7,11,0,0,0,Marzo 2013
2013,Marzo,BARAJAS,2838,1332,1506,44,22,22,119,57,62,235,130,105,137,72,65,1491,722,769,179,88,91,213,85,128,417,155,262,3,1,2,0,0,0,Marzo 2013
2013,Abril,MADRID,256650,128295,128355,4317,2466,1851,17757,10059,7698,36885,20644,16241,14870,6471,8399,123494,64281,59213,13939,6569,7370,12772,4782,7990,32197,12866,19331,419,157,262,0,0,0,Abril 2013
