Paro registrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado en la Ciudad de Madrid (desde mayo de 2005);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Características;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.2.5. Paro registrado por Distrito, Nivel formativo y Sexo, por Mes (desde 2012);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Total;Total;Total;Sin estudios;Sin estudios;Sin estudios;Estudios primarios incompletos;Estudios primarios incompletos;Estudios primarios incompletos;Estudios primarios completos;Estudios primarios completos;Estudios primarios completos;Programas de formación profesional;Programas de formación profesional;Programas de formación profesional;Educación general;Educación general;Educación general;Estudios técnico-profesionales superiores;Estudios técnico-profesionales superiores;Estudios técnico-profesionales superiores;Estudios universitarios Primer ciclo;Estudios universitarios Primer ciclo;Estudios universitarios Primer ciclo;Estudios universitarios Segundo y Tercer ciclo;Estudios universitarios Segundo y Tercer ciclo;Estudios universitarios Segundo y Tercer ciclo;Otros;Otros;Otros;Otras titulaciones de F.P. n.c.o.p.;Otras titulaciones de F.P. n.c.o.p.;Otras titulaciones de F.P. n.c.o.p.
;;;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
2018;Enero;Ciudad de Madrid;179.757;81.320;98.437;2.962;1.378;1.584;12.692;6.059;6.633;39.759;19.245;20.514;10.438;4.123;6.315;72.625;34.420;38.205;9.696;4.115;5.581;6.737;2.337;4.400;24.546;9.562;14.984;302;81;221;0;0;0
2018;Enero;01. Centro;8.210;4.255;3.955;121;73;48;461;259;202;1.944;1.078;866;348;184;164;2.788;1.593;1.195;403;186;217;372;145;227;1.750;728;1.022;23;9;14;0;0;0
2018;Enero;02. Arganzuela;7.446;3.318;4.128;44;24;20;251;132;119;1.268;632;636;415;167;248;2.773;1.324;1.449;495;223;272;462;170;292;1.710;638;1.072;28;8;20;0;0;0
2018;Enero;03. Retiro;4.452;1.982;2.470;43;22;21;218;92;126;822;384;438;187;80;107;1.344;634;710;278;141;137;308;124;184;1.232;499;733;20;6;14;0;0;0
2018;Enero;04. Salamanca;5.260;2.238;3.022;21;13;8;123;59;64;1.537;700;837;180;56;124;1.342;606;736;271;127;144;275;96;179;1.482;574;908;29;7;22;0;0;0
2018;Enero;05. Chamartín;4.934;2.162;2.772;29;12;17;149;75;74;997;451;546;157;56;101;1.374;637;737;272;126;146;304;109;195;1.632;689;943;20;7;13;0;0;0
2018;Enero;06. Tetuán;8.834;4.020;4.814;39;17;22;990;459;531;1.786;832;954;502;203;299;3.448;1.658;1.790;448;198;250;298;102;196;1.308;545;763;15;6;9;0;0;0
2018;Enero;07. Chamberí;5.251;2.304;2.947;32;14;18;163;73;90;825;411;414;193;72;121;1.718;806;912;274;127;147;312;121;191;1.713;675;1.038;21;5;16;0;0;0
2018;Enero;08. Fuencarral-El Pardo;9.644;4.140;5.504;40;15;25;429;185;244;1.736;825;911;546;208;338;3.597;1.617;1.980;591;242;349;540;196;344;2.135;844;1.291;30;8;22;0;0;0
2018;Enero;09. Moncloa-Aravaca;4.351;1.948;2.403;11;5;6;206;105;101;492;231;261;190;81;109;1.650;777;873;239;106;133;246;96;150;1.299;543;756;18;4;14;0;0;0
2018;Enero;10. Latina;14.307;6.600;7.707;177;77;100;1.472;712;760;2.185;1.067;1.118;1.095;466;629;6.379;3.096;3.283;1.007;432;575;511;177;334;1.468;567;901;13;6;7;0;0;0
2018;Enero;11. Carabanchel;17.177;7.808;9.369;140;65;75;1.225;566;659;5.727;2.774;2.953;1.063;417;646;6.542;3.085;3.457;832;356;476;466;144;322;1.169;400;769;13;1;12;0;0;0
2018;Enero;12. Usera;9.886;4.578;5.308;74;36;38;937;429;508;1.972;966;1.006;663;264;399;5.150;2.465;2.685;407;159;248;184;61;123;492;195;297;7;3;4;0;0;0
2018;Enero;13. Puente de Vallecas;19.398;9.164;10.234;1.372;654;718;2.320;1.107;1.213;3.314;1.653;1.661;1.233;522;711;9.343;4.525;4.818;742;320;422;285;98;187;780;284;496;9;1;8;0;0;0
2018;Enero;14. Moratalaz;5.436;2.424;3.012;113;57;56;263;117;146;1.565;711;854;328;137;191;2.087;989;1.098;310;124;186;190;62;128;576;225;351;4;2;2;0;0;0
2018;Enero;15. Ciudad Lineal;11.557;5.116;6.441;104;42;62;283;140;143;3.071;1.418;1.653;650;260;390;4.593;2.135;2.458;684;297;387;503;167;336;1.655;654;1.001;14;3;11;0;0;0
2018;Enero;16. Hortaleza;8.379;3.630;4.749;117;43;74;483;243;240;1.361;629;732;496;180;316;3.240;1.522;1.718;587;246;341;470;170;300;1.611;595;1.016;14;2;12;0;0;0
2018;Enero;17. Villaverde;11.450;5.129;6.321;91;31;60;767;365;402;3.652;1.769;1.883;702;249;453;5.073;2.317;2.756;474;179;295;222;63;159;462;155;307;7;1;6;0;0;0
2018;Enero;18. Villa de Vallecas;7.493;3.232;4.261;130;56;74;1.186;579;607;1.588;801;787;443;141;302;3.065;1.301;1.764;378;134;244;206;48;158;491;171;320;6;1;5;0;0;0
2018;Enero;19. Vicálvaro;4.775;2.113;2.662;156;78;78;374;193;181;1.418;680;738;309;106;203;1.779;842;937;264;85;179;135;36;99;338;93;245;2;0;2;0;0;0
2018;Enero;20. San Blas-Canillejas;9.543;4.256;5.287;82;34;48;327;143;184;2.214;1.096;1.118;626;226;400;4.442;2.075;2.367;600;242;358;339;116;223;906;323;583;7;1;6;0;0;0
2018;Enero;21. Barajas;1.974;903;1.071;26;10;16;65;26;39;285;137;148;112;48;64;898;416;482;140;65;75;109;36;73;337;165;172;2;0;2;0;0;0
2018;Febrero;Ciudad de Madrid;181.056;81.837;99.219;3.003;1.368;1.635;12.855;6.139;6.716;40.474;19.542;20.932;10.650;4.212;6.438;73.093;34.599;38.494;9.691;4.111;5.580;6.638;2.303;4.335;24.385;9.483;14.902;267;80;187;0;0;0
2018;Febrero;01. Centro;8.241;4.277;3.964;114;67;47;441;248;193;2.028;1.140;888;347;174;173;2.779;1.582;1.197;401;192;209;361;140;221;1.752;728;1.024;18;6;12;0;0;0
2018;Febrero;02. Arganzuela;7.416;3.304;4.112;36;21;15;246;122;124;1.287;628;659;421;172;249;2.747;1.310;1.437;493;227;266;456;172;284;1.710;646;1.064;20;6;14;0;0;0
