Paro registrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado en la Ciudad de Madrid (desde mayo de 2005);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Características;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.2.5. Paro registrado por Distrito, Nivel formativo y Sexo, por Mes (desde 2012);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Total;Total;Total;Sin estudios;Sin estudios;Sin estudios;Estudios primarios incompletos;Estudios primarios incompletos;Estudios primarios incompletos;Estudios primarios completos;Estudios primarios completos;Estudios primarios completos;Programas de formación profesional;Programas de formación profesional;Programas de formación profesional;Educación general;Educación general;Educación general;Estudios técnico-profesionales superiores;Estudios técnico-profesionales superiores;Estudios técnico-profesionales superiores;Estudios universitarios Primer ciclo;Estudios universitarios Primer ciclo;Estudios universitarios Primer ciclo;Estudios universitarios Segundo y Tercer ciclo;Estudios universitarios Segundo y Tercer ciclo;Estudios universitarios Segundo y Tercer ciclo;Otros;Otros;Otros;Otras titulaciones de F.P. n.c.o.p.;Otras titulaciones de F.P. n.c.o.p.;Otras titulaciones de F.P. n.c.o.p.
;;;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
2017;Enero;Ciudad de Madrid;192.905;89.761;103.144;3.545;1.721;1.824;14.043;7.115;6.928;37.655;18.929;18.726;11.375;4.643;6.732;81.519;39.630;41.889;10.492;4.601;5.891;7.750;2.775;4.975;26.194;10.249;15.945;332;98;234;0;0;0
2017;Enero;01. Centro;8.942;4.703;4.239;144;79;65;541;322;219;1.990;1.158;832;385;199;186;3.094;1.781;1.313;424;203;221;381;150;231;1.959;803;1.156;24;8;16;0;0;0
2017;Enero;02. Arganzuela;8.093;3.662;4.431;54;32;22;281;147;134;1.424;733;691;454;183;271;2.989;1.443;1.546;535;253;282;502;185;317;1.818;678;1.140;36;8;28;0;0;0
2017;Enero;03. Retiro;4.773;2.134;2.639;59;32;27;306;143;163;689;328;361;181;76;105;1.509;707;802;295;147;148;338;148;190;1.382;550;832;14;3;11;0;0;0
2017;Enero;04. Salamanca;5.640;2.445;3.195;23;11;12;128;59;69;1.610;723;887;213;84;129;1.421;664;757;286;141;145;313;127;186;1.626;632;994;20;4;16;0;0;0
2017;Enero;05. Chamartín;5.452;2.410;3.042;24;11;13;126;69;57;1.148;552;596;189;66;123;1.526;682;844;300;130;170;338;132;206;1.784;761;1.023;17;7;10;0;0;0
2017;Enero;06. Tetuán;9.559;4.492;5.067;40;15;25;1.227;621;606;1.512;749;763;500;205;295;4.055;1.989;2.066;464;207;257;368;136;232;1.386;568;818;7;2;5;0;0;0
2017;Enero;07. Chamberí;5.549;2.425;3.124;60;19;41;177;85;92;778;387;391;197;62;135;1.803;865;938;284;124;160;344;138;206;1.883;737;1.146;23;8;15;0;0;0
2017;Enero;08. Fuencarral-El Pardo;10.493;4.642;5.851;41;15;26;463;208;255;1.852;907;945;590;234;356;4.011;1.846;2.165;649;285;364;604;215;389;2.254;923;1.331;29;9;20;0;0;0
2017;Enero;09. Moncloa-Aravaca;4.630;2.126;2.504;27;11;16;225;126;99;475;234;241;225;95;130;1.824;886;938;250;114;136;281;98;183;1.297;555;742;26;7;19;0;0;0
2017;Enero;10. Latina;15.512;7.371;8.141;204;100;104;1.641;836;805;2.160;1.127;1.033;1.258;548;710;6.966;3.479;3.487;1.035;459;576;653;218;435;1.570;593;977;25;11;14;0;0;0
