Paro registrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado en la Ciudad de Madrid (desde mayo de 2005);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Características;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.2.5. Paro registrado por Distrito, Nivel formativo y Sexo, por Mes (desde 2012);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Total;Total;Total;Sin estudios;Sin estudios;Sin estudios;Estudios primarios incompletos;Estudios primarios incompletos;Estudios primarios incompletos;Estudios primarios completos;Estudios primarios completos;Estudios primarios completos;Programas de formación profesional;Programas de formación profesional;Programas de formación profesional;Educación general;Educación general;Educación general;Estudios técnico-profesionales superiores;Estudios técnico-profesionales superiores;Estudios técnico-profesionales superiores;Estudios universitarios Primer ciclo;Estudios universitarios Primer ciclo;Estudios universitarios Primer ciclo;Estudios universitarios Segundo y Tercer ciclo;Estudios universitarios Segundo y Tercer ciclo;Estudios universitarios Segundo y Tercer ciclo;Otros;Otros;Otros;Otras titulaciones de F.P. n.c.o.p.;Otras titulaciones de F.P. n.c.o.p.;Otras titulaciones de F.P. n.c.o.p.
;;;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
2020;Febrero;01. Centro;7.595;3.974;3.621;57;33;24;305;176;129;2.320;1.293;1.027;299;152;147;2.290;1.285;1.005;359;169;190;297;146;151;1.650;714;936;18;6;12;0;0;0
2020;Febrero;02. Arganzuela;6.802;3.076;3.726;43;23;20;196;99;97;1.329;647;682;364;155;209;2.344;1.113;1.231;472;226;246;393;155;238;1.637;651;986;24;7;17;0;0;0
2020;Febrero;03. Retiro;4.097;1.787;2.310;11;5;6;111;50;61;1.099;520;579;158;73;85;1.129;516;613;253;123;130;220;75;145;1.106;423;683;10;2;8;0;0;0
2020;Febrero;04. Salamanca;4.717;1.961;2.756;11;5;6;92;29;63;1.586;681;905;164;59;105;1.146;537;609;238;114;124;228;70;158;1.228;460;768;24;6;18;0;0;0
2020;Febrero;05. Chamartín;4.577;1.948;2.629;24;6;18;99;47;52;1.294;605;689;152;51;101;1.150;505;645;234;89;145;224;84;140;1.389;558;831;11;3;8;0;0;0
2020;Febrero;06. Tetuán;8.193;3.623;4.570;27;11;16;611;262;349;3.082;1.445;1.637;381;141;240;2.359;1.083;1.276;343;151;192;211;73;138;1.171;456;715;8;1;7;0;0;0
2020;Febrero;07. Chamberí;4.832;2.077;2.755;19;7;12;167;78;89;940;469;471;176;59;117;1.398;639;759;244;110;134;247;88;159;1.623;620;1.003;18;7;11;0;0;0
2020;Febrero;08. Fuencarral-El Pardo;8.951;3.827;5.124;44;20;24;341;151;190;2.397;1.119;1.278;496;186;310;2.816;1.255;1.561;549;232;317;419;150;269;1.868;707;1.161;21;7;14;0;0;0
2020;Febrero;09. Moncloa-Aravaca;4.191;1.841;2.350;15;6;9;167;78;89;834;404;430;204;85;119;1.263;596;667;235;95;140;224;91;133;1.236;482;754;13;4;9;0;0;0
2020;Febrero;10. Latina;13.138;5.923;7.215;183;74;109;1.280;581;699;2.544;1.163;1.381;989;410;579;5.367;2.588;2.779;954;415;539;428;154;274;1.373;532;841;20;6;14;0;0;0
