Paro registrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado en la Ciudad de Madrid (desde mayo de 2005);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Características;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.2.5. Paro registrado por Distrito, Nivel formativo y Sexo, por Mes (desde 2012);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Total;Total;Total;Sin estudios;Sin estudios;Sin estudios;Estudios primarios incompletos;Estudios primarios incompletos;Estudios primarios incompletos;Estudios primarios completos;Estudios primarios completos;Estudios primarios completos;Programas de formación profesional;Programas de formación profesional;Programas de formación profesional;Educación general;Educación general;Educación general;Estudios técnico-profesionales superiores;Estudios técnico-profesionales superiores;Estudios técnico-profesionales superiores;Estudios universitarios Primer ciclo;Estudios universitarios Primer ciclo;Estudios universitarios Primer ciclo;Estudios universitarios Segundo y Tercer ciclo;Estudios universitarios Segundo y Tercer ciclo;Estudios universitarios Segundo y Tercer ciclo;Otros;Otros;Otros;Otras titulaciones de F.P. n.c.o.p.;Otras titulaciones de F.P. n.c.o.p.;Otras titulaciones de F.P. n.c.o.p.
;;;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
2019;Enero;Ciudad de Madrid;165.911;73.029;92.882;2.392;1.020;1.372;12.077;5.566;6.511;42.871;20.001;22.870;9.427;3.641;5.786;62.126;28.642;33.484;8.829;3.721;5.108;5.673;1.894;3.779;22.265;8.465;13.800;251;79;172;0;0;0
2019;Enero;01. Centro;7.571;3.865;3.706;78;44;34;371;201;170;2.172;1.207;965;302;146;156;2.323;1.274;1.049;372;177;195;326;144;182;1.604;663;941;23;9;14;0;0;0
2019;Enero;02. Arganzuela;6.727;2.902;3.825;40;21;19;214;103;111;1.186;550;636;387;167;220;2.433;1.109;1.324;475;217;258;376;133;243;1.593;596;997;23;6;17;0;0;0
2019;Enero;03. Retiro;4.074;1.753;2.321;25;12;13;147;58;89;989;451;538;157;77;80;1.127;499;628;234;119;115;247;93;154;1.137;441;696;11;3;8;0;0;0
2019;Enero;04. Salamanca;4.730;1.948;2.782;20;8;12;128;44;84;1.518;677;841;162;47;115;1.120;506;614;219;104;115;221;72;149;1.322;486;836;20;4;16;0;0;0
2019;Enero;05. Chamartín;4.542;1.995;2.547;40;20;20;127;59;68;978;448;530;161;61;100;1.281;606;675;251;116;135;257;94;163;1.431;583;848;16;8;8;0;0;0
2019;Enero;06. Tetuán;7.947;3.527;4.420;32;9;23;745;345;400;2.205;1.007;1.198;395;156;239;2.736;1.286;1.450;373;162;211;236;76;160;1.215;483;732;10;3;7;0;0;0
2019;Enero;07. Chamberí;4.778;2.068;2.710;21;10;11;133;64;69;808;378;430;168;55;113;1.524;706;818;219;99;120;271;100;171;1.613;649;964;21;7;14;0;0;0
2019;Enero;08. Fuencarral-El Pardo;8.851;3.707;5.144;60;19;41;384;158;226;1.876;840;1.036;475;180;295;3.137;1.383;1.754;564;235;329;472;160;312;1.865;728;1.137;18;4;14;0;0;0
2019;Enero;09. Moncloa-Aravaca;4.082;1.822;2.260;12;3;9;162;85;77;592;285;307;180;82;98;1.459;692;767;247;112;135;244;89;155;1.171;469;702;15;5;10;0;0;0
2019;Enero;10. Latina;13.154;5.919;7.235;175;75;100;1.503;709;794;2.061;967;1.094;1.010;397;613;5.647;2.716;2.931;956;400;556;429;146;283;1.357;502;855;16;7;9;0;0;0
2019;Enero;11. Carabanchel;15.870;7.053;8.817;121;52;69;1.105;499;606;6.304;2.927;3.377;941;359;582;5.187;2.421;2.766;769;311;458;377;113;264;1.060;370;690;6;1;5;0;0;0
2019;Enero;12. Usera;9.527;4.216;5.311;63;26;37;1.528;710;818;2.324;1.064;1.260;565;209;356;4.079;1.851;2.228;352;129;223;161;54;107;450;170;280;5;3;2;0;0;0
2019;Enero;13. Puente de Vallecas;18.101;8.250;9.851;958;426;532;2.163;994;1.169;3.933;1.907;2.026;1.126;470;656;8.247;3.811;4.436;692;300;392;252;84;168;719;254;465;11;4;7;0;0;0
2019;Enero;14. Moratalaz;5.003;2.174;2.829;70;27;43;266;113;153;1.497;669;828;305;118;187;1.864;884;980;302;119;183;163;44;119;531;198;333;5;2;3;0;0;0
2019;Enero;15. Ciudad Lineal;10.447;4.500;5.947;94;32;62;249;112;137;3.025;1.368;1.657;591;220;371;3.934;1.817;2.117;609;245;364;433;135;298;1.499;570;929;13;1;12;0;0;0
2019;Enero;16. Hortaleza;7.705;3.273;4.432;138;61;77;390;190;200;1.534;684;850;462;170;292;2.826;1.281;1.545;492;212;280;381;132;249;1.470;541;929;12;2;10;0;0;0
2019;Enero;17. Villaverde;10.707;4.673;6.034;79;24;55;680;305;375;3.893;1.781;2.112;643;238;405;4.401;1.975;2.426;438;169;269;171;39;132;398;140;258;4;2;2;0;0;0
2019;Enero;18. Villa de Vallecas;7.065;2.931;4.134;128;53;75;1.068;509;559;1.835;849;986;454;148;306;2.637;1.056;1.581;352;143;209;160;39;121;425;133;292;6;1;5;0;0;0
2019;Enero;19. Vicálvaro;4.437;1.872;2.565;124;57;67;364;176;188;1.392;635;757;281;101;180;1.623;710;913;244;79;165;114;27;87;294;86;208;1;1;0;0;0;0
2019;Enero;20. San Blas-Canillejas;8.739;3.805;4.934;88;31;57;279;106;173;2.432;1.164;1.268;569;199;370;3.747;1.728;2.019;550;219;331;272;84;188;789;268;521;13;6;7;0;0;0
2019;Enero;21. Barajas;1.854;776;1.078;26;10;16;71;26;45;317;143;174;93;41;52;794;331;463;119;54;65;110;36;74;322;135;187;2;0;2;0;0;0
2019;Febrero;Ciudad de Madrid;167.880;73.906;93.974;2.365;989;1.376;12.301;5.668;6.633;44.121;20.529;23.592;9.546;3.670;5.876;62.789;28.973;33.816;8.856;3.748;5.108;5.648;1.898;3.750;22.020;8.360;13.660;234;71;163;0;0;0
2019;Febrero;01. Centro;7.589;3.901;3.688;78;46;32;367;201;166;2.206;1.223;983;311;156;155;2.357;1.313;1.044;376;167;209;315;143;172;1.561;644;917;18;8;10;0;0;0
2019;Febrero;02. Arganzuela;6.856;2.959;3.897;39;20;19;216;110;106;1.208;555;653;405;166;239;2.475;1.119;1.356;472;214;258;384;152;232;1.636;618;1.018;21;5;16;0;0;0
2019;Febrero;03. Retiro;4.079;1.757;2.322;26;12;14;141;56;85;1.017;474;543;164;72;92;1.120;484;636;241;127;114;234;88;146;1.125;441;684;11;3;8;0;0;0
