Paro registrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado en la Ciudad de Madrid (desde mayo de 2005);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Características;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.2.5. Paro registrado por Distrito, Nivel formativo y Sexo, por Mes (desde 2012);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Total;Total;Total;Sin estudios;Sin estudios;Sin estudios;Estudios primarios incompletos;Estudios primarios incompletos;Estudios primarios incompletos;Estudios primarios completos;Estudios primarios completos;Estudios primarios completos;Programas de formación profesional;Programas de formación profesional;Programas de formación profesional;Educación general;Educación general;Educación general;Estudios técnico-profesionales superiores;Estudios técnico-profesionales superiores;Estudios técnico-profesionales superiores;Estudios universitarios Primer ciclo;Estudios universitarios Primer ciclo;Estudios universitarios Primer ciclo;Estudios universitarios Segundo y Tercer ciclo;Estudios universitarios Segundo y Tercer ciclo;Estudios universitarios Segundo y Tercer ciclo;Otros;Otros;Otros;Otras titulaciones de F.P. n.c.o.p.;Otras titulaciones de F.P. n.c.o.p.;Otras titulaciones de F.P. n.c.o.p.
;;;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
2023;Enero;Ciudad de Madrid;145.707;62.459;83.248;1.278;524;754;12.745;5.716;7.029;45.062;20.420;24.642;8.434;3.036;5.398;47.107;21.220;25.887;7.873;3.252;4.621;4.333;1.363;2.970;18.678;6.848;11.830;197;80;117;0;0;0
2023;Enero;01. Centro;6.424;3.312;3.112;32;14;18;377;196;181;2.089;1.153;936;269;131;138;1.820;992;828;313;177;136;237;99;138;1.274;547;727;13;3;10;0;0;0
2023;Enero;02. Arganzuela;5.642;2.422;3.220;29;14;15;236;125;111;1.165;537;628;304;101;203;1.847;864;983;389;179;210;283;98;185;1.364;492;872;25;12;13;0;0;0
2023;Enero;03. Retiro;3.392;1.372;2.020;11;5;6;123;50;73;941;393;548;139;51;88;871;386;485;192;81;111;170;46;124;934;353;581;11;7;4;0;0;0
2023;Enero;04. Salamanca;3.872;1.592;2.280;12;7;5;176;79;97;1.113;436;677;149;45;104;980;440;540;215;109;106;165;60;105;1.054;413;641;8;3;5;0;0;0
2023;Enero;05. Chamartín;3.763;1.596;2.167;11;5;6;170;72;98;958;426;532;135;45;90;1.008;461;547;193;73;120;185;62;123;1.094;445;649;9;7;2;0;0;0
2023;Enero;06. Tetuán;6.860;2.948;3.912;23;13;10;467;201;266;2.580;1.187;1.393;334;103;231;1.952;876;1.076;318;129;189;190;64;126;989;372;617;7;3;4;0;0;0
2023;Enero;07. Chamberí;3.835;1.616;2.219;11;4;7;160;68;92;1.049;470;579;140;48;92;977;449;528;190;91;99;174;60;114;1.120;421;699;14;5;9;0;0;0
2023;Enero;08. Fuencarral-El Pardo;7.770;3.187;4.583;29;9;20;362;147;215;2.117;930;1.187;439;157;282;2.341;1.031;1.310;525;221;304;369;116;253;1.573;569;1.004;15;7;8;0;0;0
2023;Enero;09. Moncloa-Aravaca;3.516;1.530;1.986;3;1;2;158;70;88;912;419;493;153;61;92;1.020;503;517;204;93;111;162;60;102;899;323;576;5;0;5;0;0;0
2023;Enero;10. Latina;11.690;5.145;6.545;189;85;104;1.143;516;627;2.531;1.179;1.352;875;324;551;4.510;2.146;2.364;859;356;503;349;107;242;1.219;424;795;15;8;7;0;0;0
2023;Enero;11. Carabanchel;14.028;6.017;8.011;82;35;47;1.375;625;750;5.460;2.449;3.011;911;328;583;4.140;1.872;2.268;718;279;439;310;80;230;1.026;347;679;6;2;4;0;0;0
2023;Enero;12. Usera;8.465;3.654;4.811;42;16;26;2.416;1.063;1.353;1.951;861;1.090;496;196;300;2.718;1.198;1.520;328;122;206;116;37;79;395;159;236;3;2;1;0;0;0
2023;Enero;13. Puente de Vallecas;16.042;7.044;8.998;396;160;236;2.089;933;1.156;4.631;2.125;2.506;990;387;603;6.389;2.846;3.543;645;275;370;204;63;141;687;251;436;11;4;7;0;0;0
2023;Enero;14. Moratalaz;4.468;1.890;2.578;45;17;28;458;203;255;1.245;568;677;283;102;181;1.557;692;865;280;110;170;144;42;102;451;152;299;5;4;1;0;0;0
2023;Enero;15. Ciudad Lineal;9.151;3.960;5.191;26;8;18;264;135;129;3.462;1.575;1.887;506;192;314;2.768;1.264;1.504;561;229;332;306;85;221;1.242;467;775;16;5;11;0;0;0
2023;Enero;16. Hortaleza;6.875;2.816;4.059;77;23;54;420;196;224;1.887;857;1.030;419;140;279;2.067;880;1.187;428;159;269;301;107;194;1.264;451;813;12;3;9;0;0;0
2023;Enero;17. Villaverde;9.578;4.064;5.514;47;18;29;606;244;362;4.062;1.819;2.243;618;222;396;3.259;1.425;1.834;399;153;246;146;41;105;435;140;295;6;2;4;0;0;0
2023;Enero;18. Villa de Vallecas;6.388;2.529;3.859;89;39;50;947;428;519;2.025;869;1.156;388;111;277;2.101;813;1.288;307;109;198;137;30;107;393;130;263;1;0;1;0;0;0
2023;Enero;19. Vicálvaro;4.422;1.784;2.638;79;35;44;488;229;259;1.377;596;781;292;88;204;1.508;645;863;260;81;179;107;26;81;304;83;221;7;1;6;0;0;0
2023;Enero;20. San Blas-Canillejas;7.951;3.341;4.610;35;14;21;239;108;131;3.084;1.385;1.699;519;176;343;2.701;1.177;1.524;451;186;265;204;62;142;711;231;480;7;2;5;0;0;0
2023;Enero;21. Barajas;1.575;640;935;10;2;8;71;28;43;423;186;237;75;28;47;573;260;313;98;40;58;74;18;56;250;78;172;1;0;1;0;0;0
2023;Febrero;Ciudad de Madrid;148.294;63.566;84.728;1.246;500;746;13.065;5.833;7.232;46.693;21.002;25.691;8.504;3.122;5.382;47.822;21.533;26.289;7.944;3.305;4.639;4.333;1.366;2.967;18.487;6.823;11.664;200;82;118;0;0;0
2023;Febrero;01. Centro;6.608;3.387;3.221;27;12;15;389;202;187;2.226;1.207;1.019;272;133;139;1.873;1.037;836;311;173;138;231;94;137;1.264;526;738;15;3;12;0;0;0
2023;Febrero;02. Arganzuela;5.723;2.479;3.244;29;15;14;252;133;119;1.245;581;664;304;104;200;1.846;885;961;405;183;222;268;88;180;1.350;479;871;24;11;13;0;0;0
2023;Febrero;03. Retiro;3.421;1.395;2.026;10;4;6;127;51;76;954;405;549;138;53;85;873;393;480;194;78;116;176;52;124;938;351;587;11;8;3;0;0;0
2023;Febrero;04. Salamanca;3.838;1.596;2.242;9;5;4;162;68;94;1.164;472;692;139;46;93;958;436;522;210;108;102;162;60;102;1.024;397;627;10;4;6;0;0;0
2023;Febrero;05. Chamartín;3.809;1.602;2.207;11;4;7;176;71;105;991;422;569;132;47;85;1.018;462;556;195;80;115;183;61;122;1.094;449;645;9;6;3;0;0;0
2023;Febrero;06. Tetuán;7.019;2.995;4.024;23;12;11;489;216;273;2.674;1.212;1.462;341;106;235;1.971;865;1.106;340;137;203;200;68;132;977;376;601;4;3;1;0;0;0
2023;Febrero;07. Chamberí;3.907;1.644;2.263;10;3;7;170;71;99;1.078;476;602;145;51;94;986;444;542;209;96;113;177;58;119;1.115;439;676;17;6;11;0;0;0
2023;Febrero;08. Fuencarral-El Pardo;7.791;3.237;4.554;30;8;22;361;150;211;2.162;945;1.217;435;164;271;2.337;1.040;1.297;508;215;293;357;113;244;1.586;596;990;15;6;9;0;0;0
2023;Febrero;09. Moncloa-Aravaca;3.515;1.544;1.971;5;1;4;146;62;84;919;440;479;152;63;89;1.040;513;527;210;93;117;166;59;107;869;312;557;8;1;7;0;0;0
2023;Febrero;10. Latina;11.925;5.264;6.661;164;70;94;1.148;521;627;2.701;1.270;1.431;883;330;553;4.638;2.194;2.444;855;362;493;361;111;250;1.160;398;762;15;8;7;0;0;0
2023;Febrero;11. Carabanchel;14.410;6.201;8.209;89;38;51;1.439;662;777;5.640;2.527;3.113;911;338;573;4.246;1.904;2.342;745;294;451;314;90;224;1.020;346;674;6;2;4;0;0;0
2023;Febrero;12. Usera;8.639;3.749;4.890;40;15;25;2.516;1.122;1.394;1.982;867;1.115;496;209;287;2.758;1.204;1.554;332;129;203;113;35;78;398;165;233;4;3;1;0;0;0
2023;Febrero;13. Puente de Vallecas;16.300;7.105;9.195;402;162;240;2.072;915;1.157;4.844;2.176;2.668;995;388;607;6.470;2.865;3.605;635;269;366;194;66;128;679;259;420;9;5;4;0;0;0
2023;Febrero;14. Moratalaz;4.497;1.915;2.582;47;17;30;454;201;253;1.279;575;704;274;108;166;1.572;697;875;280;111;169;150;47;103;437;156;281;4;3;1;0;0;0
2023;Febrero;15. Ciudad Lineal;9.277;3.990;5.287;20;4;16;280;129;151;3.519;1.594;1.925;514;189;325;2.821;1.286;1.535;537;212;325;324;95;229;1.249;477;772;13;4;9;0;0;0
