Paro registrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado en la Ciudad de Madrid (desde mayo de 2005);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Características;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.2.5. Paro registrado por Distrito, Nivel formativo y Sexo, por Mes (desde 2012);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Total;Total;Total;Sin estudios;Sin estudios;Sin estudios;Estudios primarios incompletos;Estudios primarios incompletos;Estudios primarios incompletos;Estudios primarios completos;Estudios primarios completos;Estudios primarios completos;Programas de formación profesional;Programas de formación profesional;Programas de formación profesional;Educación general;Educación general;Educación general;Estudios técnico-profesionales superiores;Estudios técnico-profesionales superiores;Estudios técnico-profesionales superiores;Estudios universitarios Primer ciclo;Estudios universitarios Primer ciclo;Estudios universitarios Primer ciclo;Estudios universitarios Segundo y Tercer ciclo;Estudios universitarios Segundo y Tercer ciclo;Estudios universitarios Segundo y Tercer ciclo;Otros;Otros;Otros;Otras titulaciones de F.P. n.c.o.p.;Otras titulaciones de F.P. n.c.o.p.;Otras titulaciones de F.P. n.c.o.p.
;;;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
2024;Enero;Ciudad de Madrid;145.086;61.913;83.173;1.024;409;615;12.104;5.383;6.721;49.007;21.600;27.407;8.084;2.883;5.201;44.266;19.880;24.386;7.905;3.384;4.521;3.887;1.287;2.600;18.633;7.023;11.610;176;64;112;0;0;0
2024;Enero;01. Centro;6.508;3.389;3.119;34;16;18;511;267;244;2.163;1.174;989;233;114;119;1.771;982;789;305;175;130;201;86;115;1.277;573;704;13;2;11;0;0;0
2024;Enero;02. Arganzuela;5.591;2.454;3.137;15;7;8;327;157;170;1.244;573;671;304;118;186;1.686;805;881;396;174;222;234;88;146;1.365;525;840;20;7;13;0;0;0
2024;Enero;03. Retiro;3.267;1.379;1.888;10;6;4;213;96;117;827;348;479;127;46;81;826;376;450;183;69;114;143;52;91;930;384;546;8;2;6;0;0;0
2024;Enero;04. Salamanca;3.934;1.628;2.306;16;7;9;202;86;116;1.249;502;747;132;44;88;881;378;503;194;102;92;160;65;95;1.090;442;648;10;2;8;0;0;0
2024;Enero;05. Chamartín;3.763;1.599;2.164;13;4;9;167;66;101;1.097;498;599;115;39;76;906;415;491;212;91;121;167;60;107;1.078;422;656;8;4;4;0;0;0
2024;Enero;06. Tetuán;6.919;2.976;3.943;6;4;2;418;180;238;2.804;1.216;1.588;318;111;207;1.837;846;991;328;141;187;154;53;101;1.049;422;627;5;3;2;0;0;0
2024;Enero;07. Chamberí;3.936;1.643;2.293;9;1;8;127;56;71;1.162;525;637;142;46;96;934;433;501;191;90;101;167;59;108;1.195;430;765;9;3;6;0;0;0
2024;Enero;08. Fuencarral-El Pardo;7.562;3.161;4.401;20;7;13;374;160;214;2.158;929;1.229;418;157;261;2.208;973;1.235;471;211;260;308;92;216;1.591;625;966;14;7;7;0;0;0
2024;Enero;09. Moncloa-Aravaca;3.484;1.506;1.978;7;3;4;132;68;64;1.028;457;571;141;57;84;917;451;466;185;78;107;154;52;102;911;336;575;9;4;5;0;0;0
2024;Enero;10. Latina;11.629;5.018;6.611;137;46;91;958;457;501;3.177;1.410;1.767;836;295;541;4.179;1.919;2.260;857;371;486;340;111;229;1.135;405;730;10;4;6;0;0;0
2024;Enero;11. Carabanchel;14.191;6.011;8.180;73;31;42;1.305;573;732;5.895;2.538;3.357;857;311;546;4.050;1.814;2.236;731;309;422;270;80;190;1.005;352;653;5;3;2;0;0;0
2024;Enero;12. Usera;8.314;3.510;4.804;29;15;14;2.140;926;1.214;2.188;949;1.239;493;177;316;2.592;1.120;1.472;349;136;213;109;37;72;407;148;259;7;2;5;0;0;0
2024;Enero;13. Puente de Vallecas;15.860;6.898;8.962;303;121;182;1.826;794;1.032;5.284;2.372;2.912;992;368;624;5.968;2.654;3.314;657;299;358;160;46;114;662;240;422;8;4;4;0;0;0
2024;Enero;14. Moratalaz;4.383;1.837;2.546;39;17;22;342;140;202;1.410;624;786;260;106;154;1.455;650;805;267;107;160;131;37;94;477;155;322;2;1;1;0;0;0
2024;Enero;15. Ciudad Lineal;9.109;3.831;5.278;26;11;15;262;118;144;3.637;1.567;2.070;467;171;296;2.605;1.177;1.428;545;225;320;322;105;217;1.235;453;782;10;4;6;0;0;0
2024;Enero;16. Hortaleza;6.655;2.743;3.912;59;20;39;435;197;238;1.913;856;1.057;373;119;254;1.944;841;1.103;429;165;264;270;97;173;1.223;446;777;9;2;7;0;0;0
2024;Enero;17. Villaverde;9.741;4.084;5.657;45;18;27;748;323;425;4.204;1.826;2.378;656;218;438;3.110;1.338;1.772;434;174;260;111;30;81;427;154;273;6;3;3;0;0;0
2024;Enero;18. Villa de Vallecas;6.479;2.546;3.933;82;33;49;869;390;479;2.270;947;1.323;372;109;263;2.058;795;1.263;316;122;194;129;37;92;378;112;266;5;1;4;0;0;0
