Paro registrado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paro registrado en la Ciudad de Madrid (desde mayo de 2005);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Características;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3.2.5. Paro registrado por Distrito, Nivel formativo y Sexo, por Mes (desde 2012);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Total;Total;Total;Sin estudios;Sin estudios;Sin estudios;Estudios primarios incompletos;Estudios primarios incompletos;Estudios primarios incompletos;Estudios primarios completos;Estudios primarios completos;Estudios primarios completos;Programas de formación profesional;Programas de formación profesional;Programas de formación profesional;Educación general;Educación general;Educación general;Estudios técnico-profesionales superiores;Estudios técnico-profesionales superiores;Estudios técnico-profesionales superiores;Estudios universitarios Primer ciclo;Estudios universitarios Primer ciclo;Estudios universitarios Primer ciclo;Estudios universitarios Segundo y Tercer ciclo;Estudios universitarios Segundo y Tercer ciclo;Estudios universitarios Segundo y Tercer ciclo;Otros;Otros;Otros;Otras titulaciones de F.P. n.c.o.p.;Otras titulaciones de F.P. n.c.o.p.;Otras titulaciones de F.P. n.c.o.p.
;;;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres;Ambos sexos;Hombres;Mujeres
2016;Febrero;01. Centro;9.683;5.114;4.569;130;69;61;404;248;156;2.214;1.298;916;399;188;211;3.588;2.072;1.516;485;250;235;416;162;254;2.027;822;1.205;20;5;15;0;0;0
2016;Febrero;02. Arganzuela;9.030;4.136;4.894;59;37;22;319;160;159;1.708;906;802;526;211;315;3.343;1.622;1.721;617;294;323;609;218;391;1.809;678;1.131;40;10;30;0;0;0
2016;Febrero;03. Retiro;5.190;2.312;2.878;47;20;27;85;49;36;730;353;377;211;97;114;1.928;889;1.039;348;166;182;364;143;221;1.455;591;864;22;4;18;0;0;0
2016;Febrero;04. Salamanca;6.142;2.663;3.479;18;6;12;139;60;79;1.827;860;967;225;90;135;1.609;751;858;295;134;161;342;127;215;1.663;631;1.032;24;4;20;0;0;0
2016;Febrero;05. Chamartín;5.839;2.553;3.286;10;3;7;138;67;71;1.195;552;643;201;80;121;1.776;822;954;311;138;173;393;143;250;1.794;740;1.054;21;8;13;0;0;0
2016;Febrero;06. Tetuán;10.497;5.053;5.444;46;22;24;1.384;718;666;1.683;878;805;565;236;329;4.457;2.223;2.234;490;214;276;440;165;275;1.427;594;833;5;3;2;0;0;0
2016;Febrero;07. Chamberí;6.214;2.766;3.448;58;22;36;199;101;98;959;461;498;241;92;149;2.117;1.051;1.066;292;138;154;360;136;224;1.956;754;1.202;32;11;21;0;0;0
2016;Febrero;08. Fuencarral-El Pardo;11.290;5.002;6.288;31;8;23;518;246;272;1.747;857;890;658;260;398;4.681;2.177;2.504;704;309;395;673;241;432;2.250;893;1.357;28;11;17;0;0;0
2016;Febrero;09. Moncloa-Aravaca;5.164;2.344;2.820;25;11;14;265;154;111;503;247;256;266;115;151;2.063;1.002;1.061;289;129;160;359;131;228;1.365;548;817;29;7;22;0;0;0
2016;Febrero;10. Latina;17.235;8.403;8.832;227;122;105;1.862;991;871;2.356;1.265;1.091;1.350;580;770;7.946;4.048;3.898;1.141;517;624;750;245;505;1.577;625;952;26;10;16;0;0;0
2016;Febrero;11. Carabanchel;20.164;9.811;10.353;205;104;101;1.519;784;735;5.086;2.645;2.441;1.257;548;709;9.146;4.647;4.499;1.041;451;590;655;206;449;1.239;420;819;16;6;10;0;0;0
2016;Febrero;12. Usera;11.980;5.850;6.130;86;48;38;1.078;546;532;2.275;1.198;1.077;798;340;458;6.398;3.231;3.167;498;187;311;256;94;162;579;201;378;12;5;7;0;0;0
2016;Febrero;13. Puente de Vallecas;22.894;11.451;11.443;2.017;1.055;962;2.724;1.444;1.280;3.381;1.792;1.589;1.588;703;885;11.036;5.592;5.444;850;393;457;392;125;267;897;343;554;9;4;5;0;0;0
2016;Febrero;14. Moratalaz;6.430;2.977;3.453;158;70;88;354;167;187;1.403;704;699;362;158;204;2.784;1.339;1.445;385;175;210;295;98;197;680;263;417;9;3;6;0;0;0
2016;Febrero;15. Ciudad Lineal;13.876;6.490;7.386;91;43;48;401;186;215;3.564;1.799;1.765;780;338;442;5.605;2.737;2.868;831;383;448;661;248;413;1.925;752;1.173;18;4;14;0;0;0
2016;Febrero;16. Hortaleza;9.715;4.337;5.378;42;20;22;467;243;224;1.697;829;868;603;226;377;3.994;1.881;2.113;653;282;371;551;200;351;1.692;653;1.039;16;3;13;0;0;0
2016;Febrero;17. Villaverde;13.654;6.710;6.944;131;58;73;1.228;682;546;2.547;1.327;1.220;844;350;494;7.512;3.784;3.728;559;231;328;322;95;227;501;180;321;10;3;7;0;0;0
2016;Febrero;18. Villa de Vallecas;8.421;3.738;4.683;133;61;72;1.255;628;627;1.479;736;743;554;196;358;3.736;1.693;2.043;476;185;291;253;69;184;532;170;362;3;0;3;0;0;0
2016;Febrero;19. Vicálvaro;5.457;2.520;2.937;203;103;100;451;246;205;1.289;671;618;355;132;223;2.292;1.082;1.210;326;124;202;195;66;129;345;95;250;1;1;0;0;0;0
2016;Febrero;20. San Blas-Canillejas;11.347;5.495;5.852;96;51;45;429;213;216;2.377;1.303;1.074;771;318;453;5.535;2.776;2.759;734;299;435;422;154;268;977;379;598;6;2;4;0;0;0
2016;Febrero;21. Barajas;2.381;1.108;1.273;22;7;15;105;56;49;297;145;152;123;58;65;1.144;543;601;163;87;76;143;57;86;380;154;226;4;1;3;0;0;0
2016;Marzo;Ciudad de Madrid;211.046;99.892;111.154;3.772;1.903;1.869;15.569;8.101;7.468;40.412;20.821;19.591;12.444;5.175;7.269;91.734;45.350;46.384;11.403;5.047;6.356;8.641;3.005;5.636;26.750;10.392;16.358;321;98;223;0;0;0
2016;Marzo;01. Centro;9.613;5.031;4.582;122;68;54;539;328;211;2.224;1.279;945;397;179;218;3.449;1.977;1.472;478;238;240;408;161;247;1.978;796;1.182;18;5;13;0;0;0
2016;Marzo;02. Arganzuela;8.925;4.070;4.855;63;37;26;335;171;164;1.680;881;799;520;208;312;3.285;1.591;1.694;608;295;313;580;206;374;1.820;672;1.148;34;9;25;0;0;0
2016;Marzo;03. Retiro;5.133;2.306;2.827;51;22;29;191;94;97;728;352;376;214;98;116;1.774;837;937;358;169;189;359;133;226;1.435;596;839;23;5;18;0;0;0
2016;Marzo;04. Salamanca;6.116;2.653;3.463;20;7;13;123;55;68;1.853;865;988;219;85;134;1.595;733;862;286;138;148;324;119;205;1.672;648;1.024;24;3;21;0;0;0
2016;Marzo;05. Chamartín;5.768;2.490;3.278;10;3;7;138;68;70;1.205;545;660;195;77;118;1.744;801;943;309;131;178;402;143;259;1.751;717;1.034;14;5;9;0;0;0
2016;Marzo;06. Tetuán;10.449;5.013;5.436;43;18;25;1.343;689;654;1.708;890;818;571;236;335;4.446;2.206;2.240;491;214;277;422;159;263;1.419;599;820;6;2;4;0;0;0
2016;Marzo;07. Chamberí;6.153;2.731;3.422;59;22;37;209;108;101;944;455;489;225;84;141;2.092;1.020;1.072;304;148;156;356;130;226;1.935;754;1.181;29;10;19;0;0;0
2016;Marzo;08. Fuencarral-El Pardo;11.249;4.990;6.259;29;7;22;505;233;272;1.756;873;883;653;262;391;4.681;2.184;2.497;698;312;386;665;230;435;2.238;881;1.357;24;8;16;0;0;0
2016;Marzo;09. Moncloa-Aravaca;5.132;2.348;2.784;19;7;12;255;145;110;525;262;263;278;115;163;2.043;997;1.046;279;133;146;333;113;220;1.376;570;806;24;6;18;0;0;0
2016;Marzo;10. Latina;17.067;8.322;8.745;218;124;94;1.833;976;857;2.358;1.254;1.104;1.318;577;741;7.881;4.012;3.869;1.152;516;636;730;249;481;1.550;603;947;27;11;16;0;0;0
2016;Marzo;11. Carabanchel;20.185;9.793;10.392;186;94;92;1.598;828;770;5.142;2.645;2.497;1.223;516;707;9.144;4.642;4.502;1.025;446;579;644;204;440;1.213;413;800;10;5;5;0;0;0
2016;Marzo;12. Usera;11.863;5.761;6.102;88;51;37;1.072;543;529;2.276;1.190;1.086;796;349;447;6.324;3.163;3.161;495;186;309;243;87;156;563;189;374;6;3;3;0;0;0
2016;Marzo;13. Puente de Vallecas;22.742;11.379;11.363;1.982;1.024;958;2.751;1.462;1.289;3.356;1.777;1.579;1.560;682;878;10.956;5.574;5.382;869;400;469;383;122;261;876;335;541;9;3;6;0;0;0
2016;Marzo;14. Moratalaz;6.365;2.936;3.429;166;74;92;340;161;179;1.380;708;672;368;158;210;2.744;1.299;1.445;380;169;211;300;97;203;678;265;413;9;5;4;0;0;0
2016;Marzo;15. Ciudad Lineal;13.771;6.414;7.357;93;43;50;411;194;217;3.524;1.784;1.740;743;312;431;5.634;2.706;2.928;818;381;437;655;249;406;1.872;741;1.131;21;4;17;0;0;0
2016;Marzo;16. Hortaleza;9.680;4.344;5.336;38;17;21;450;241;209;1.716;841;875;599;224;375;4.027;1.916;2.111;634;266;368;529;188;341;1.668;645;1.023;19;6;13;0;0;0
2016;Marzo;17. Villaverde;13.524;6.610;6.914;141;61;80;1.217;663;554;2.581;1.362;1.219;833;342;491;7.374;3.669;3.705;557;235;322;303;92;211;510;184;326;8;2;6;0;0;0
2016;Marzo;18. Villa de Vallecas;8.374;3.737;4.637;123;57;66;1.278;637;641;1.464;742;722;530;192;338;3.718;1.689;2.029;474;179;295;253;67;186;530;173;357;4;1;3;0;0;0
2016;Marzo;19. Vicálvaro;5.391;2.480;2.911;201;105;96;437;233;204;1.316;680;636;345;124;221;2.233;1.063;1.170;321;122;199;187;57;130;350;95;255;1;1;0;0;0;0
2016;Marzo;20. San Blas-Canillejas;11.195;5.390;5.805;94;51;43;429;210;219;2.366;1.286;1.080;740;302;438;5.471;2.730;2.741;711;288;423;426;150;276;951;370;581;7;3;4;0;0;0
2016;Marzo;21. Barajas;2.351;1.094;1.257;26;11;15;115;62;53;310;150;160;117;53;64;1.119;541;578;156;81;75;139;49;90;365;146;219;4;1;3;0;0;0
2016;Abril;Ciudad de Madrid;207.183;97.542;109.641;3.709;1.862;1.847;15.794;8.150;7.644;39.754;20.349;19.405;12.169;5.021;7.148;89.675;44.038;45.637;11.148;4.906;6.242;8.449;2.966;5.483;26.170;10.147;16.023;315;103;212;0;0;0
2016;Abril;01. Centro;9.368;4.866;4.502;126;68;58;673;400;273;2.147;1.225;922;402;182;220;3.186;1.815;1.371;457;229;228;418;161;257;1.938;781;1.157;21;5;16;0;0;0
2016;Abril;02. Arganzuela;8.741;3.995;4.746;60;34;26;360;179;181;1.642;857;785;505;208;297;3.204;1.558;1.646;596;278;318;562;204;358;1.779;667;1.112;33;10;23;0;0;0
2016;Abril;03. Retiro;4.973;2.227;2.746;50;25;25;391;188;203;682;325;357;210;95;115;1.537;715;822;343;164;179;354;140;214;1.383;569;814;23;6;17;0;0;0
2016;Abril;04. Salamanca;5.956;2.598;3.358;16;6;10;121;54;67;1.798;848;950;209;75;134;1.583;732;851;283;129;154;296;115;181;1.629;634;995;21;5;16;0;0;0
2016;Abril;05. Chamartín;5.699;2.504;3.195;10;4;6;146;69;77;1.185;559;626;192;74;118;1.714;795;919;313;134;179;375;139;236;1.747;725;1.022;17;5;12;0;0;0
2016;Abril;06. Tetuán;10.347;4.950;5.397;41;17;24;1.287;659;628;1.731;889;842;536;221;315;4.446;2.200;2.246;480;209;271;429;158;271;1.393;596;797;4;1;3;0;0;0
2016;Abril;07. Chamberí;6.025;2.667;3.358;59;21;38;215;107;108;909;448;461;219;80;139;2.054;996;1.058;309;147;162;340;121;219;1.897;737;1.160;23;10;13;0;0;0
2016;Abril;08. Fuencarral-El Pardo;11.037;4.836;6.201;29;7;22;480;224;256;1.723;851;872;639;257;382;4.567;2.120;2.447;690;296;394;667;221;446;2.217;850;1.367;25;10;15;0;0;0
2016;Abril;09. Moncloa-Aravaca;4.999;2.249;2.750;24;13;11;238;135;103;497;241;256;273;120;153;2.008;941;1.067;259;122;137;319;114;205;1.358;558;800;23;5;18;0;0;0
2016;Abril;10. Latina;16.772;8.113;8.659;215;118;97;1.837;955;882;2.356;1.248;1.108;1.294;561;733;7.691;3.893;3.798;1.119;498;621;715;241;474;1.519;588;931;26;11;15;0;0;0
2016;Abril;11. Carabanchel;19.876;9.628;10.248;172;91;81;1.688;876;812;5.100;2.638;2.462;1.184;499;685;8.923;4.480;4.443;994;445;549;614;181;433;1.191;413;778;10;5;5;0;0;0
2016;Abril;12. Usera;11.557;5.560;5.997;82;40;42;1.035;515;520;2.222;1.148;1.074;781;337;444;6.165;3.045;3.120;492;192;300;234;86;148;540;193;347;6;4;2;0;0;0
2016;Abril;13. Puente de Vallecas;22.276;11.052;11.224;1.929;991;938;2.705;1.421;1.284;3.344;1.728;1.616;1.545;670;875;10.733;5.437;5.296;827;375;452;365;123;242;820;304;516;8;3;5;0;0;0
2016;Abril;14. Moratalaz;6.269;2.866;3.403;159;68;91;332;157;175;1.385;706;679;367;154;213;2.694;1.257;1.437;371;166;205;291;99;192;661;254;407;9;5;4;0;0;0
2016;Abril;15. Ciudad Lineal;13.542;6.254;7.288;95;45;50;396;186;210;3.429;1.700;1.729;739;306;433;5.615;2.699;2.916;784;354;430;640;246;394;1.821;712;1.109;23;6;17;0;0;0
2016;Abril;16. Hortaleza;9.504;4.222;5.282;41;17;24;443;228;215;1.685;826;859;582;213;369;3.942;1.857;2.085;637;269;368;532;193;339;1.623;615;1.008;19;4;15;0;0;0
2016;Abril;17. Villaverde;13.277;6.459;6.818;136;61;75;1.204;665;539;2.546;1.333;1.213;793;321;472;7.261;3.585;3.676;545;230;315;305;95;210;480;167;313;7;2;5;0;0;0
2016;Abril;18. Villa de Vallecas;8.213;3.660;4.553;128;62;66;1.261;633;628;1.427;732;695;523;183;340;3.612;1.631;1.981;479;180;299;257;69;188;522;170;352;4;0;4;0;0;0
2016;Abril;19. Vicálvaro;5.300;2.419;2.881;211;109;102;439;232;207;1.321;657;664;331;122;209;2.167;1.028;1.139;314;120;194;188;58;130;327;92;235;2;1;1;0;0;0
2016;Abril;20. San Blas-Canillejas;11.129;5.327;5.802;101;55;46;431;211;220;2.317;1.241;1.076;734;291;443;5.462;2.709;2.753;698;287;411;419;153;266;960;376;584;7;4;3;0;0;0
2016;Abril;21. Barajas;2.323;1.090;1.233;25;10;15;112;56;56;308;149;159;111;52;59;1.111;545;566;158;82;76;129;49;80;365;146;219;4;1;3;0;0;0
2016;Mayo;Ciudad de Madrid;201.605;94.337;107.268;3.647;1.819;1.828;15.290;7.795;7.495;38.580;19.563;19.017;11.763;4.832;6.931;87.030;42.540;44.490;10.841;4.738;6.103;8.245;2.914;5.331;25.677;9.974;15.703;532;162;370;0;0;0
2016;Mayo;01. Centro;9.184;4.777;4.407;129;67;62;653;386;267;2.072;1.193;879;389;189;200;3.139;1.777;1.362;441;217;224;411;162;249;1.894;769;1.125;56;17;39;0;0;0
2016;Mayo;02. Arganzuela;8.437;3.829;4.608;60;33;27;336;171;165;1.548;789;759;473;199;274;3.097;1.505;1.592;568;265;303;547;201;346;1.757;653;1.104;51;13;38;0;0;0
2016;Mayo;03. Retiro;4.868;2.184;2.684;46;24;22;371;175;196;667;320;347;203;96;107;1.524;710;814;318;154;164;357;139;218;1.349;556;793;33;10;23;0;0;0
2016;Mayo;04. Salamanca;5.760;2.472;3.288;18;7;11;112;51;61;1.721;784;937;192;69;123;1.524;698;826;263;121;142;300;117;183;1.587;613;974;43;12;31;0;0;0
2016;Mayo;05. Chamartín;5.591;2.436;3.155;10;5;5;139;65;74;1.154;522;632;194;74;120;1.665;772;893;292;120;172;357;140;217;1.746;728;1.018;34;10;24;0;0;0
2016;Mayo;06. Tetuán;10.068;4.777;5.291;35;14;21;1.244;641;603;1.658;835;823;531;219;312;4.341;2.143;2.198;466;198;268;409;143;266;1.368;579;789;16;5;11;0;0;0
2016;Mayo;07. Chamberí;5.873;2.581;3.292;55;24;31;189;92;97;866;428;438;216;84;132;1.982;945;1.037;302;133;169;345;122;223;1.860;735;1.125;58;18;40;0;0;0
2016;Mayo;08. Fuencarral-El Pardo;10.856;4.760;6.096;28;8;20;475;227;248;1.718;852;866;626;251;375;4.486;2.066;2.420;670;281;389;623;211;412;2.188;851;1.337;42;13;29;0;0;0
2016;Mayo;09. Moncloa-Aravaca;4.913;2.203;2.710;24;12;12;241;131;110;488;234;254;263;113;150;1.974;926;1.048;261;123;138;313;110;203;1.311;545;766;38;9;29;0;0;0
2016;Mayo;10. Latina;16.242;7.816;8.426;206;105;101;1.790;914;876;2.274;1.195;1.079;1.257;544;713;7.425;3.757;3.668;1.084;494;590;696;241;455;1.482;555;927;28;11;17;0;0;0
2016;Mayo;11. Carabanchel;19.225;9.181;10.044;163;85;78;1.701;854;847;4.946;2.549;2.397;1.139;468;671;8.526;4.221;4.305;976;422;554;601;180;421;1.159;399;760;14;3;11;0;0;0
2016;Mayo;12. Usera;11.213;5.352;5.861;74;36;38;1.031;488;543;2.177;1.135;1.042;770;326;444;5.918;2.898;3.020;470;183;287;234;88;146;532;195;337;7;3;4;0;0;0
2016;Mayo;13. Puente de Vallecas;21.705;10.760;10.945;1.914;979;935;2.564;1.336;1.228;3.272;1.682;1.590;1.485;644;841;10.480;5.316;5.164;817;376;441;347;113;234;818;311;507;8;3;5;0;0;0
2016;Mayo;14. Moratalaz;6.132;2.795;3.337;169;72;97;321;150;171;1.344;670;674;366;152;214;2.624;1.231;1.393;371;171;200;292;97;195;632;247;385;13;5;8;0;0;0
